District,Poll Number,Poll Name,Michael James Baldasaro,David Christopherson,Stephen Downey,Jamilé Ghaddar,Stan Keyes,Leon Patrick O'Connor,Anne Marie Pavlov,Rejected Ballots,Total Vote,Electors
Hamilton Centre/Hamilton-Centre,1,Hamilton,1,56,0,0,21,10,0,1,89,289
Hamilton Centre/Hamilton-Centre,2,Hamilton,0,81,0,0,23,15,3,0,122,332
Hamilton Centre/Hamilton-Centre,3,Hamilton,7,93,1,0,36,31,5,0,173,439
Hamilton Centre/Hamilton-Centre,4,Hamilton,3,84,1,0,21,14,4,1,128,317
Hamilton Centre/Hamilton-Centre,5,Hamilton,4,95,1,0,40,25,9,1,175,391
Hamilton Centre/Hamilton-Centre,6,Hamilton,4,125,1,0,42,40,10,0,222,477
Hamilton Centre/Hamilton-Centre,7,Hamilton,3,123,6,0,44,28,1,0,205,372
Hamilton Centre/Hamilton-Centre,8,Hamilton,1,119,2,0,55,20,4,3,204,461
Hamilton Centre/Hamilton-Centre,9,Hamilton,0,97,1,0,44,22,11,0,175,332
Hamilton Centre/Hamilton-Centre,10,Hamilton,3,105,5,1,71,25,8,0,218,402
Hamilton Centre/Hamilton-Centre,11,Hamilton,2,103,1,0,76,36,13,1,232,391
Hamilton Centre/Hamilton-Centre,12,Hamilton,0,142,0,0,80,35,4,2,263,416
Hamilton Centre/Hamilton-Centre,13,Hamilton,2,91,2,0,43,19,5,2,164,331
Hamilton Centre/Hamilton-Centre,14,Hamilton,4,106,1,0,33,23,5,0,172,448
Hamilton Centre/Hamilton-Centre,15,Hamilton,3,92,1,0,31,12,5,0,144,324
Hamilton Centre/Hamilton-Centre,16,Hamilton,1,107,1,0,40,14,4,1,168,328
Hamilton Centre/Hamilton-Centre,17,Hamilton,2,85,1,0,43,15,1,0,147,377
Hamilton Centre/Hamilton-Centre,18,Hamilton,3,94,2,0,56,16,2,1,174,396
Hamilton Centre/Hamilton-Centre,19,Hamilton,0,51,0,1,36,9,2,2,101,219
Hamilton Centre/Hamilton-Centre,20,Hamilton,2,120,2,1,50,25,13,2,215,420
Hamilton Centre/Hamilton-Centre,21,Hamilton,1,67,1,0,47,31,5,2,154,347
Hamilton Centre/Hamilton-Centre,22,Hamilton,0,94,1,1,17,32,3,0,148,321
Hamilton Centre/Hamilton-Centre,23,Hamilton,4,108,3,1,65,37,3,0,221,340
Hamilton Centre/Hamilton-Centre,24,Hamilton,2,93,3,0,25,16,3,0,142,369
Hamilton Centre/Hamilton-Centre,25,Hamilton,0,119,1,0,40,28,4,2,194,380
Hamilton Centre/Hamilton-Centre,26,Hamilton,2,104,2,1,34,23,8,3,177,335
Hamilton Centre/Hamilton-Centre,27,Hamilton,0,103,4,0,47,32,6,1,193,386
Hamilton Centre/Hamilton-Centre,28,Hamilton,0,93,3,0,73,26,11,1,207,407
Hamilton Centre/Hamilton-Centre,29,Hamilton,0,85,3,1,38,36,7,1,171,429
Hamilton Centre/Hamilton-Centre,30,Hamilton,1,67,0,0,43,19,6,2,138,379
Hamilton Centre/Hamilton-Centre,31,Hamilton,2,71,2,0,54,20,5,0,154,366
Hamilton Centre/Hamilton-Centre,32,Hamilton,1,99,0,2,52,24,3,5,186,388
Hamilton Centre/Hamilton-Centre,33,Hamilton,3,95,1,0,55,17,3,1,175,370
Hamilton Centre/Hamilton-Centre,34,Hamilton,4,91,1,0,58,20,7,0,181,400
Hamilton Centre/Hamilton-Centre,35,Hamilton,2,62,0,1,18,16,5,0,104,296
Hamilton Centre/Hamilton-Centre,36,Hamilton,6,103,4,1,47,17,2,1,181,457
Hamilton Centre/Hamilton-Centre,37,Hamilton,3,99,0,0,34,22,9,0,167,361
Hamilton Centre/Hamilton-Centre,38,Hamilton,6,99,3,2,42,24,3,0,179,398
Hamilton Centre/Hamilton-Centre,39,Hamilton,4,75,2,1,44,18,3,0,147,496
Hamilton Centre/Hamilton-Centre,40,Hamilton,7,79,3,1,30,8,6,0,134,292
Hamilton Centre/Hamilton-Centre,41,Hamilton,1,92,2,0,23,24,8,1,151,363
