District,Poll Number,Poll Name,Lise Bissonnette,Marc Bissonnette,Lyse Généreux,Nancy Girard,Serge Ménard,Rejected Ballots,Total Vote,Electors
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,1,Bois-des-Filion,9,17,11,59,196,6,298,540
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,2,Bois-des-Filion,7,8,8,55,173,8,259,457
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,3,Bois-des-Filion,2,5,6,28,119,10,170,372
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,4,Bois-des-Filion,7,12,4,43,125,4,195,352
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,5,Bois-des-Filion,11,13,8,52,179,4,267,432
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,6,Bois-des-Filion,14,12,8,38,104,3,179,285
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,7,Bois-des-Filion,11,13,4,58,216,5,307,506
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,8,Bois-des-Filion,5,21,8,32,159,9,234,394
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,9,Bois-des-Filion,4,8,2,22,78,2,116,260
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,10,Bois-des-Filion,11,22,7,40,119,5,204,384
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,11,Bois-des-Filion,17,12,7,38,161,1,236,415
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,12,Bois-des-Filion,11,9,5,34,173,6,238,450
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,13,Bois-des-Filion,7,9,6,16,140,10,188,335
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,14,Bois-des-Filion,11,19,6,45,162,5,248,425
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,15,Bois-des-Filion,5,9,5,29,135,4,187,378
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,16,Lorraine,10,10,15,49,145,0,229,384
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,17,Lorraine,21,13,21,67,189,7,318,472
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,18,Lorraine,10,15,4,71,111,0,211,314
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,19,Lorraine,18,9,15,57,164,2,265,375
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,20,Lorraine,17,12,9,76,155,2,271,409
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,21,Lorraine,6,8,8,61,147,2,232,362
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,22,Lorraine,9,11,14,88,186,5,313,443
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,23,Lorraine,8,28,4,106,101,1,248,389
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,24,Lorraine,10,18,4,115,84,5,236,393
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,25,Lorraine,13,13,5,91,106,2,230,353
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,26,Lorraine,13,17,16,68,154,4,272,421
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,27,Lorraine,15,35,7,117,93,4,271,402
Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,28,Lorraine,6,11,7,75,120,3,222,341
