District,Poll Number,Poll Name,Dody Crane,Baird Judson,Will McFadden,Shawn Murphy,Darren Peters,Rejected Ballots,Total Vote,Electors
Charlottetown/Charlottetown,1,Charlottetown,49,4,15,166,120,0,354,516
Charlottetown/Charlottetown,2,Charlottetown,38,0,9,129,54,1,231,326
Charlottetown/Charlottetown,3,Charlottetown,52,4,9,141,68,1,275,436
Charlottetown/Charlottetown,4A,Charlottetown,39,0,7,100,54,0,200,291
Charlottetown/Charlottetown,4B,Charlottetown,47,2,7,123,71,0,250,362
Charlottetown/Charlottetown,5,Charlottetown,27,1,8,98,61,0,195,333
Charlottetown/Charlottetown,6,Charlottetown,33,3,6,113,59,1,215,367
Charlottetown/Charlottetown,7,Charlottetown,61,3,14,176,51,2,307,534
Charlottetown/Charlottetown,8,Charlottetown,26,1,8,72,33,1,141,255
Charlottetown/Charlottetown,9,Charlottetown,23,1,1,100,35,3,163,219
Charlottetown/Charlottetown,10,Charlottetown,33,2,8,124,50,0,217,316
Charlottetown/Charlottetown,11,Charlottetown,36,1,7,72,33,2,151,359
Charlottetown/Charlottetown,12,Charlottetown,49,0,14,101,38,0,202,323
Charlottetown/Charlottetown,13,Charlottetown,41,3,5,105,44,2,200,279
Charlottetown/Charlottetown,14,Charlottetown,41,0,6,89,54,1,191,305
Charlottetown/Charlottetown,15,Charlottetown,41,1,3,110,44,1,200,327
Charlottetown/Charlottetown,16,Charlottetown,19,0,3,60,31,0,113,225
Charlottetown/Charlottetown,17,Charlottetown,28,0,4,79,37,3,151,293
Charlottetown/Charlottetown,18A,Charlottetown,21,3,9,78,47,1,159,212
Charlottetown/Charlottetown,18B,Charlottetown,6,0,1,48,36,3,94,130
Charlottetown/Charlottetown,19,Charlottetown,54,0,9,136,69,3,271,384
Charlottetown/Charlottetown,20,Charlottetown,43,0,12,183,84,3,325,485
Charlottetown/Charlottetown,21,Charlottetown,18,1,2,112,30,1,164,254
Charlottetown/Charlottetown,22,Charlottetown,21,0,6,67,46,4,144,262
