District,Poll Number,Poll Name,Jim Abbott,Brent Bush,Carmen Gustafson,Ross Priest,Rejected Ballots,Total Vote,Electors
Kootenay--Columbia/Kootenay--Columbia,1,Mica Creek--Mount Cartier,73,74,11,44,1,203,312
Kootenay--Columbia/Kootenay--Columbia,2,Revelstoke,122,50,18,50,0,240,480
Kootenay--Columbia/Kootenay--Columbia,3,Revelstoke,107,66,17,43,0,233,445
Kootenay--Columbia/Kootenay--Columbia,4,Revelstoke,88,58,18,70,3,237,248
Kootenay--Columbia/Kootenay--Columbia,5,Revelstoke,Merged with No. 4,,,,,,178
Kootenay--Columbia/Kootenay--Columbia,6,Revelstoke,45,67,12,44,0,168,353
Kootenay--Columbia/Kootenay--Columbia,7,Revelstoke,43,52,13,30,1,139,345
Kootenay--Columbia/Kootenay--Columbia,8,Revelstoke,53,62,26,36,0,177,349
Kootenay--Columbia/Kootenay--Columbia,9,Revelstoke,75,87,18,71,2,253,480
Kootenay--Columbia/Kootenay--Columbia,10,Revelstoke,89,86,9,56,0,240,403
Kootenay--Columbia/Kootenay--Columbia,11,Revelstoke,54,71,17,56,1,199,355
Kootenay--Columbia/Kootenay--Columbia,12,Revelstoke,82,74,12,45,1,214,474
Kootenay--Columbia/Kootenay--Columbia,13,Revelstoke,93,49,11,40,0,193,361
Kootenay--Columbia/Kootenay--Columbia,14,Revelstoke,98,74,6,61,1,240,423
Kootenay--Columbia/Kootenay--Columbia,15,Revelstoke,71,54,8,74,0,207,396
Kootenay--Columbia/Kootenay--Columbia,16,Donald,83,56,21,29,0,189,345
Kootenay--Columbia/Kootenay--Columbia,17,McMurdo,81,54,17,31,1,184,388
Kootenay--Columbia/Kootenay--Columbia,18,Moberly,87,30,12,20,0,149,252
Kootenay--Columbia/Kootenay--Columbia,19,Golden,81,38,19,25,1,164,409
Kootenay--Columbia/Kootenay--Columbia,20,Golden,119,63,30,47,3,262,457
Kootenay--Columbia/Kootenay--Columbia,21,Golden,60,68,10,27,0,165,325
Kootenay--Columbia/Kootenay--Columbia,22,Golden,141,79,37,63,1,321,554
Kootenay--Columbia/Kootenay--Columbia,23,Golden,66,47,14,23,2,152,333
Kootenay--Columbia/Kootenay--Columbia,24,Golden,89,51,10,29,1,180,340
Kootenay--Columbia/Kootenay--Columbia,25,Golden,113,61,23,33,0,230,511
Kootenay--Columbia/Kootenay--Columbia,26,Golden,79,49,15,11,1,155,338
Kootenay--Columbia/Kootenay--Columbia,27,Glenogle,46,32,20,25,0,123,277
