District,Poll Number,Poll Name,Janis Crawford,Marie Henretta,Carole Lavallée,Jean-François Mongeau,Marc Savard,David Vachon,Rejected Ballots,Total Vote,Electors
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,1A,Saint-Bruno-de-Montarville,3,16,103,13,96,4,2,237,330
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,1B,Saint-Bruno-de-Montarville,12,9,118,11,81,2,4,237,326
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,2,Saint-Bruno-de-Montarville,14,16,145,17,114,4,1,311,459
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,3,Saint-Bruno-de-Montarville,17,10,129,10,78,0,0,244,386
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,4,Saint-Bruno-de-Montarville,13,19,138,12,107,2,2,293,415
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,5A,Saint-Bruno-de-Montarville,1,7,86,5,69,5,5,178,259
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,5B,Saint-Bruno-de-Montarville,9,7,69,14,69,1,0,169,259
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,6,Saint-Bruno-de-Montarville,7,8,116,13,79,2,3,228,322
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,7,Saint-Bruno-de-Montarville,9,19,130,11,87,2,3,261,372
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,8,Saint-Bruno-de-Montarville,6,14,141,21,93,1,4,280,428
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,9,Saint-Bruno-de-Montarville,11,19,110,17,85,0,4,246,394
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,10,Saint-Bruno-de-Montarville,9,7,102,13,118,1,5,255,411
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,11,Saint-Bruno-de-Montarville,11,14,133,12,91,5,6,272,403
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,12,Saint-Bruno-de-Montarville,11,18,103,15,103,1,4,255,388
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,13,Saint-Bruno-de-Montarville,17,12,130,12,84,7,2,264,398
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,14,Saint-Bruno-de-Montarville,11,14,129,21,111,0,3,289,428
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,15,Saint-Bruno-de-Montarville,5,3,83,7,65,1,2,166,284
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,16,Saint-Bruno-de-Montarville,5,7,102,11,116,1,2,244,402
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,17,Saint-Bruno-de-Montarville,4,11,130,25,65,0,3,238,377
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,18,Saint-Bruno-de-Montarville,6,15,101,11,102,1,1,237,337
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,19,Saint-Bruno-de-Montarville,12,18,120,10,85,2,5,252,382
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,20,Saint-Bruno-de-Montarville,14,21,113,8,92,0,2,250,389
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,21,Saint-Bruno-de-Montarville,7,11,93,8,98,2,1,220,310
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,22,Saint-Bruno-de-Montarville,6,14,95,16,83,3,4,221,326
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,23A,Saint-Bruno-de-Montarville,3,4,46,12,83,2,3,153,257
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,23B,Saint-Bruno-de-Montarville,3,8,69,10,60,1,2,153,268
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,24,Saint-Bruno-de-Montarville,16,18,101,23,146,3,4,311,488
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,25,Saint-Bruno-de-Montarville,10,12,75,20,125,0,2,244,350
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,26,Saint-Bruno-de-Montarville,11,13,83,9,121,3,1,241,348
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,27,Saint-Bruno-de-Montarville,6,8,132,17,111,2,0,276,404
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,28,Saint-Bruno-de-Montarville,8,12,91,17,93,4,3,228,355
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,29,Saint-Bruno-de-Montarville,11,20,89,16,85,2,4,227,324
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,30,Saint-Bruno-de-Montarville,12,12,93,21,131,1,1,271,374
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,31,Saint-Bruno-de-Montarville,11,12,135,17,111,3,1,290,440
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,32,Saint-Bruno-de-Montarville,13,16,90,21,111,4,2,257,377
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,33,Saint-Bruno-de-Montarville,22,19,91,11,74,1,0,218,318
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,34,Saint-Bruno-de-Montarville,13,18,93,12,109,1,3,249,365
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,35,Saint-Bruno-de-Montarville,10,19,81,12,117,3,4,246,380
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,36,Saint-Bruno-de-Montarville,20,16,124,18,100,3,3,284,426
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,37,Saint-Bruno-de-Montarville,8,14,181,14,128,7,3,355,612
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,38,Saint-Bruno-de-Montarville,12,8,106,12,98,1,4,241,389
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,39,Saint-Bruno-de-Montarville,8,10,61,16,64,0,2,161,283
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,40,Saint-Bruno-de-Montarville,7,11,81,13,59,1,1,173,311
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,41,Saint-Bruno-de-Montarville,8,19,85,9,72,1,5,199,298
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,42,Saint-Bruno-de-Montarville,14,19,124,15,90,2,6,270,396
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,43A,Saint-Bruno-de-Montarville,9,18,118,16,59,1,3,224,362
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,43B,Saint-Bruno-de-Montarville,12,9,103,18,97,2,4,245,371
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,44A,Saint-Bruno-de-Montarville,16,9,109,11,81,3,3,232,382
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,44B,Saint-Bruno-de-Montarville,6,4,133,14,107,1,4,269,447
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,45,Saint-Hubert,2,13,90,12,41,0,4,162,335
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,46,Saint-Hubert,2,5,47,13,25,0,0,92,269
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,47,Saint-Hubert,3,5,123,15,36,2,2,186,372
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,48,Saint-Hubert,4,12,164,8,24,5,5,222,444
Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,49,Saint-Hubert,7,5,121,17,59,6,5,220,386
