District,Poll Number,Poll Name,Carole-Marie Allard,Robert Carrier,Yves Desbois,Benjamin Le Bel,Régent Millette,Rosane Raymond,Louis-Philippe Verenka,Rejected Ballots,Total Vote,Electors
Alfred-Pellan/Alfred-Pellan,1,Laval,78,177,2,13,2,18,8,9,307,538
Alfred-Pellan/Alfred-Pellan,2,Laval,41,109,1,7,1,7,7,1,174,256
Alfred-Pellan/Alfred-Pellan,3,Laval,34,70,1,6,1,9,3,3,127,221
Alfred-Pellan/Alfred-Pellan,4,Laval,68,87,1,4,1,10,3,3,177,311
Alfred-Pellan/Alfred-Pellan,5,Laval,39,180,0,3,0,10,4,6,242,388
Alfred-Pellan/Alfred-Pellan,6,Laval,29,100,1,5,0,6,8,9,158,273
Alfred-Pellan/Alfred-Pellan,7,Laval,64,166,0,6,0,8,6,6,256,386
Alfred-Pellan/Alfred-Pellan,8,Laval,60,163,2,5,0,12,6,3,251,365
Alfred-Pellan/Alfred-Pellan,9,Laval,63,126,1,7,0,10,3,3,213,359
Alfred-Pellan/Alfred-Pellan,10,Laval,66,188,1,6,1,16,4,5,287,481
Alfred-Pellan/Alfred-Pellan,11,Laval,47,143,3,6,0,7,5,3,214,326
Alfred-Pellan/Alfred-Pellan,12,Laval,27,88,0,2,0,5,9,6,137,290
Alfred-Pellan/Alfred-Pellan,13,Laval,69,170,3,12,0,16,6,5,281,608
Alfred-Pellan/Alfred-Pellan,14,Laval,45,136,0,8,0,6,6,5,206,365
Alfred-Pellan/Alfred-Pellan,15,Laval,46,143,0,9,0,13,4,17,232,405
Alfred-Pellan/Alfred-Pellan,16,Laval,51,87,0,7,0,4,6,5,160,260
Alfred-Pellan/Alfred-Pellan,17,Laval,49,139,0,9,0,7,6,7,217,331
Alfred-Pellan/Alfred-Pellan,18,Laval,92,73,2,3,0,5,1,4,180,262
Alfred-Pellan/Alfred-Pellan,19,Laval,47,103,0,6,0,5,1,6,168,321
Alfred-Pellan/Alfred-Pellan,20,Laval,155,157,0,17,0,12,8,3,352,514
Alfred-Pellan/Alfred-Pellan,21,Laval,42,145,0,9,0,12,11,5,224,373
Alfred-Pellan/Alfred-Pellan,22,Laval,48,118,1,4,1,10,3,3,188,295
Alfred-Pellan/Alfred-Pellan,23,Laval,67,155,1,7,1,13,8,8,260,447
Alfred-Pellan/Alfred-Pellan,24,Laval,80,131,0,7,1,19,3,4,245,395
Alfred-Pellan/Alfred-Pellan,25,Laval,85,127,1,9,0,9,7,3,241,338
Alfred-Pellan/Alfred-Pellan,26,Laval,88,122,0,6,0,11,4,4,235,400
Alfred-Pellan/Alfred-Pellan,27,Laval,50,70,0,4,0,4,3,2,133,286
Alfred-Pellan/Alfred-Pellan,28,Laval,47,162,1,9,1,13,6,8,247,449
Alfred-Pellan/Alfred-Pellan,29,Laval,48,131,1,8,1,10,13,9,221,418
Alfred-Pellan/Alfred-Pellan,30,Laval,69,202,0,5,0,19,10,7,312,517
Alfred-Pellan/Alfred-Pellan,31,Laval,79,164,1,12,1,11,4,9,281,522
Alfred-Pellan/Alfred-Pellan,32,Laval,41,109,0,0,1,7,1,7,166,320
Alfred-Pellan/Alfred-Pellan,33,Laval,39,80,0,11,0,9,6,4,149,351
Alfred-Pellan/Alfred-Pellan,34,Laval,82,128,0,10,0,8,0,2,230,511
Alfred-Pellan/Alfred-Pellan,35,Laval,83,183,3,14,0,13,5,8,309,568
Alfred-Pellan/Alfred-Pellan,36,Laval,59,135,3,9,2,12,6,3,229,415
Alfred-Pellan/Alfred-Pellan,37,Laval,80,126,1,5,1,11,4,8,236,438
Alfred-Pellan/Alfred-Pellan,38,Laval,86,171,0,10,0,11,4,9,291,529
Alfred-Pellan/Alfred-Pellan,39,Laval,74,119,0,6,0,16,4,7,226,418
Alfred-Pellan/Alfred-Pellan,40,Laval,145,223,2,9,3,16,11,10,419,677
Alfred-Pellan/Alfred-Pellan,41,Laval,103,160,0,16,0,16,13,5,313,498
Alfred-Pellan/Alfred-Pellan,42,Laval,98,197,2,16,1,23,10,10,357,568
Alfred-Pellan/Alfred-Pellan,43,Laval,48,101,2,10,0,12,3,6,182,320
Alfred-Pellan/Alfred-Pellan,44,Laval,70,170,2,5,0,11,5,6,269,447
Alfred-Pellan/Alfred-Pellan,45,Laval,30,105,0,7,1,8,3,4,158,314
Alfred-Pellan/Alfred-Pellan,46,Laval,50,199,1,7,0,10,6,9,282,485
Alfred-Pellan/Alfred-Pellan,47,Laval,30,89,0,9,0,9,4,6,147,318
Alfred-Pellan/Alfred-Pellan,48,Laval,46,92,3,1,0,10,3,5,160,321
Alfred-Pellan/Alfred-Pellan,49,Laval,89,162,3,3,0,20,7,14,298,498
Alfred-Pellan/Alfred-Pellan,50,Laval,46,136,0,10,1,12,8,5,218,416
Alfred-Pellan/Alfred-Pellan,51,Laval,72,132,2,11,0,19,4,7,247,474
