District,Poll Number,Poll Name,James Allum,Andy Caisse,Andrew Dalgliesh,Raj Joshi,Anita Neville,Ian Scott,Magnus Thompson,Rejected Ballots,Total Vote,Electors
Winnipeg South Centre/Winnipeg-Centre-Sud,1A,Winnipeg,14,0,0,100,174,5,1,0,294,443
Winnipeg South Centre/Winnipeg-Centre-Sud,1B,Winnipeg,17,0,0,75,151,5,1,0,249,382
Winnipeg South Centre/Winnipeg-Centre-Sud,2,Winnipeg,41,0,2,58,92,5,1,0,199,342
Winnipeg South Centre/Winnipeg-Centre-Sud,3,Winnipeg,28,4,1,59,82,3,0,0,177,456
Winnipeg South Centre/Winnipeg-Centre-Sud,4,Winnipeg,14,1,0,147,229,17,2,1,411,612
Winnipeg South Centre/Winnipeg-Centre-Sud,5,Winnipeg,14,1,0,57,76,4,0,2,154,470
Winnipeg South Centre/Winnipeg-Centre-Sud,6,Winnipeg,10,3,0,105,153,4,0,1,276,468
Winnipeg South Centre/Winnipeg-Centre-Sud,7,Winnipeg,10,0,0,105,143,8,0,0,266,403
Winnipeg South Centre/Winnipeg-Centre-Sud,8,Winnipeg,33,1,2,73,80,9,0,0,198,592
Winnipeg South Centre/Winnipeg-Centre-Sud,9,Winnipeg,8,3,0,169,197,6,0,0,383,607
Winnipeg South Centre/Winnipeg-Centre-Sud,10,Winnipeg,13,1,1,108,169,4,0,0,296,463
Winnipeg South Centre/Winnipeg-Centre-Sud,11,Winnipeg,17,0,0,116,177,3,0,1,314,454
Winnipeg South Centre/Winnipeg-Centre-Sud,12A,Winnipeg,22,0,0,60,94,3,0,0,179,361
Winnipeg South Centre/Winnipeg-Centre-Sud,12B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,,,144
Winnipeg South Centre/Winnipeg-Centre-Sud,13,Winnipeg,9,0,0,45,75,2,0,1,132,253
Winnipeg South Centre/Winnipeg-Centre-Sud,14,Winnipeg,22,3,0,49,65,7,2,0,148,454
Winnipeg South Centre/Winnipeg-Centre-Sud,15,Winnipeg,4,0,0,100,96,5,0,0,205,360
Winnipeg South Centre/Winnipeg-Centre-Sud,16,Winnipeg,10,1,1,95,137,2,0,0,246,403
Winnipeg South Centre/Winnipeg-Centre-Sud,17,Winnipeg,38,2,1,78,123,15,0,0,257,385
Winnipeg South Centre/Winnipeg-Centre-Sud,18,Winnipeg,35,1,0,86,105,6,0,3,236,382
Winnipeg South Centre/Winnipeg-Centre-Sud,19,Winnipeg,52,4,0,64,104,2,8,0,234,386
Winnipeg South Centre/Winnipeg-Centre-Sud,20,Winnipeg,43,3,0,67,83,4,1,2,203,351
