District,Poll Number,Poll Name,Dean Allison,David Bylsma,Tom Ferguson,Dave Heatley,Phil Rose,Debbie Zimmerman,Rejected Ballots,Total Vote,Electors
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,1,Glanbrook,83,3,2,42,0,141,2,273,498
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,2A,Glanbrook,103,1,9,43,0,141,1,298,359
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,2B,Glanbrook,93,2,3,24,1,156,2,281,356
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,3A,Glanbrook,94,1,6,36,0,126,2,265,361
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,3B,Glanbrook,100,0,2,35,0,144,0,281,346
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,3C,Glanbrook,89,4,1,46,0,117,1,258,352
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,4,Glanbrook,50,3,1,17,0,34,1,106,214
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,5,Glanbrook,101,0,4,45,3,140,3,296,501
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,6,Glanbrook,75,4,9,38,1,88,0,215,345
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,7,Glanbrook,85,4,11,62,1,79,0,242,398
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,8,Glanbrook,50,2,3,25,2,52,1,135,261
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,9,Glanbrook,61,3,4,41,0,42,4,155,270
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,10,Glanbrook,56,5,2,19,0,41,1,124,215
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,11,Glanbrook,68,7,7,52,1,59,0,194,378
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,12,Glanbrook,85,2,9,25,1,63,1,186,332
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,13,Glanbrook,60,5,9,31,1,68,0,174,353
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,14,Glanbrook,67,6,4,54,0,59,3,193,343
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,15,Glanbrook,67,2,8,41,1,60,1,180,387
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,16,Glanbrook,74,4,11,53,0,84,2,228,384
Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,17,Glanbrook,105,5,9,64,1,83,2,269,472
