District,Poll Number,Poll Name,Claude Bachand,Michel Fecteau,Claude Genest,Joseph Khoury,Jonathan Trépanier,Rejected Ballots,Total Vote,Electors
Saint-Jean/Saint-Jean,1,Saint-Luc,209,62,4,29,15,2,321,578
Saint-Jean/Saint-Jean,2,Saint-Luc,166,69,5,20,9,7,276,489
Saint-Jean/Saint-Jean,3,Saint-Luc,115,52,10,11,6,2,196,319
Saint-Jean/Saint-Jean,4,Saint-Luc,169,103,11,21,9,5,318,499
Saint-Jean/Saint-Jean,5,Saint-Luc,163,62,5,19,6,9,264,519
Saint-Jean/Saint-Jean,6,Saint-Luc,212,52,6,25,15,7,317,582
Saint-Jean/Saint-Jean,7,Saint-Luc,144,53,5,20,10,5,237,383
Saint-Jean/Saint-Jean,8,Saint-Luc,229,59,11,33,23,12,367,572
Saint-Jean/Saint-Jean,9,Saint-Luc,129,36,6,12,8,6,197,315
Saint-Jean/Saint-Jean,10,Saint-Luc,71,43,1,15,4,5,139,241
Saint-Jean/Saint-Jean,11,Saint-Luc,178,70,11,16,11,5,291,511
Saint-Jean/Saint-Jean,12,Saint-Luc,174,53,10,19,14,10,280,380
Saint-Jean/Saint-Jean,13,Saint-Luc,157,77,7,29,11,4,285,408
Saint-Jean/Saint-Jean,14,Saint-Luc,94,36,6,24,8,6,174,249
Saint-Jean/Saint-Jean,15,Saint-Luc,179,67,9,9,16,6,286,417
Saint-Jean/Saint-Jean,16,Saint-Luc,150,64,9,20,9,4,256,390
Saint-Jean/Saint-Jean,17,Saint-Luc,123,35,1,13,12,10,194,298
Saint-Jean/Saint-Jean,18,Saint-Luc,229,62,10,27,10,9,347,551
Saint-Jean/Saint-Jean,19,Saint-Luc,220,78,7,30,12,11,358,571
Saint-Jean/Saint-Jean,20,Saint-Luc,248,93,10,30,15,9,405,632
Saint-Jean/Saint-Jean,21A,Saint-Luc,184,58,3,17,9,11,282,430
Saint-Jean/Saint-Jean,21B,Saint-Luc,125,39,6,14,9,5,198,331
Saint-Jean/Saint-Jean,22,Saint-Luc,176,48,6,12,8,8,258,457
Saint-Jean/Saint-Jean,23,Saint-Luc,159,38,8,16,10,5,236,407
Saint-Jean/Saint-Jean,24,Saint-Luc,224,80,11,16,7,6,344,511
Saint-Jean/Saint-Jean,25,Saint-Luc,210,73,8,17,12,4,324,513
Saint-Jean/Saint-Jean,26,Saint-Luc,157,66,6,20,11,15,275,467
Saint-Jean/Saint-Jean,27,Saint-Luc,200,67,8,17,13,8,313,457
Saint-Jean/Saint-Jean,28,Saint-Luc,182,98,9,17,9,8,323,434
Saint-Jean/Saint-Jean,29,Saint-Luc,182,80,8,19,7,6,302,447
Saint-Jean/Saint-Jean,30,Saint-Luc,195,108,11,18,8,8,348,491
Saint-Jean/Saint-Jean,31,Saint-Luc,211,107,8,22,18,14,380,584
Saint-Jean/Saint-Jean,32A,Saint-Luc,123,52,8,11,13,1,208,303
Saint-Jean/Saint-Jean,32B,Saint-Luc,103,51,3,10,7,8,182,316
Saint-Jean/Saint-Jean,33,Saint-Luc,266,84,9,12,9,9,389,585
Saint-Jean/Saint-Jean,34,Saint-Luc,263,84,13,20,16,5,401,617
Saint-Jean/Saint-Jean,35,Saint-Luc,189,53,9,22,11,3,287,494
Saint-Jean/Saint-Jean,36,Saint-Athanase,184,39,10,19,9,4,265,440
Saint-Jean/Saint-Jean,37,Saint-Athanase,162,35,3,16,6,6,228,462
Saint-Jean/Saint-Jean,38,Saint-Athanase,99,66,6,28,7,5,211,456
Saint-Jean/Saint-Jean,39,Saint-Athanase,146,53,6,14,9,7,235,369
Saint-Jean/Saint-Jean,40,Saint-Athanase,236,90,11,31,16,9,393,648
Saint-Jean/Saint-Jean,41,Saint-Athanase,106,56,4,17,7,4,194,358
Saint-Jean/Saint-Jean,42,Saint-Athanase,177,59,11,27,3,6,283,458
Saint-Jean/Saint-Jean,43,Saint-Athanase,173,42,6,14,11,5,251,457
Saint-Jean/Saint-Jean,44,Saint-Athanase,153,59,2,20,4,3,241,513
Saint-Jean/Saint-Jean,45,Saint-Athanase,122,43,6,16,2,3,192,358
Saint-Jean/Saint-Jean,46,Saint-Athanase,132,29,2,10,2,4,179,475
Saint-Jean/Saint-Jean,47,Saint-Athanase,99,37,2,8,1,2,149,345
Saint-Jean/Saint-Jean,48,Saint-Grégoire-le-Grand,157,66,6,32,7,8,276,414
Saint-Jean/Saint-Jean,49,Saint-Grégoire-le-Grand,157,43,11,24,9,5,249,401
Saint-Jean/Saint-Jean,50,Saint-Grégoire-le-Grand,186,59,8,13,13,10,289,384
Saint-Jean/Saint-Jean,51,Saint-Grégoire-le-Grand,149,77,7,14,10,4,261,397
