District,Poll Number,Poll Name,Gérard Asselin,Anthony Detroio,Pierre Ducasse,Pierre Paradis,Les Parsons,Rejected Ballots,Total Vote,Electors
Manicouagan/Manicouagan,75,Chute-aux-Outardes,140,8,4,9,0,0,161,345
Manicouagan/Manicouagan,76,Ragueneau,210,13,6,15,2,2,248,448
Manicouagan/Manicouagan,77,Pointe-aux-Outardes,127,18,16,13,4,2,180,348
Manicouagan/Manicouagan,78,Pointe-aux-Outardes,134,12,8,5,7,2,168,348
Manicouagan/Manicouagan,79,Ragueneau,143,17,11,4,3,1,179,432
Manicouagan/Manicouagan,80,Betsiamites,11,31,1,4,0,2,49,428
Manicouagan/Manicouagan,81,Betsiamites,12,47,3,11,1,1,75,685
Manicouagan/Manicouagan,82,Betsiamites,8,27,0,1,1,0,37,421
Manicouagan/Manicouagan,83,Port-Cartier,122,34,7,10,4,1,178,490
Manicouagan/Manicouagan,84,Port-Cartier,119,67,17,6,0,2,211,461
Manicouagan/Manicouagan,85,Port-Cartier,111,50,18,6,3,0,188,427
Manicouagan/Manicouagan,86,Port-Cartier,52,19,8,4,0,0,83,229
Manicouagan/Manicouagan,87,Port-Cartier,120,58,8,3,2,2,193,467
Manicouagan/Manicouagan,88,Port-Cartier,125,64,13,3,3,4,212,380
Manicouagan/Manicouagan,89,Port-Cartier,106,65,17,5,1,3,197,388
Manicouagan/Manicouagan,90,Port-Cartier,85,30,3,6,1,0,125,334
Manicouagan/Manicouagan,91,Port-Cartier,84,42,8,8,2,2,146,318
Manicouagan/Manicouagan,92,Port-Cartier,111,38,13,13,3,2,180,350
Manicouagan/Manicouagan,93,Port-Cartier,83,65,18,5,3,2,176,355
Manicouagan/Manicouagan,94,Port-Cartier,65,44,16,12,2,4,143,330
Manicouagan/Manicouagan,95,Port-Cartier,82,30,15,10,2,1,140,317
Manicouagan/Manicouagan,96,Gallix,200,68,27,9,3,1,308,543
Manicouagan/Manicouagan,97,Sept-Îles,141,54,18,7,2,1,223,452
Manicouagan/Manicouagan,98,Sept-Îles,7,92,13,3,1,0,116,654
Manicouagan/Manicouagan,99,Sept-Îles,43,54,20,12,2,5,136,303
Manicouagan/Manicouagan,100,Sept-Îles,70,37,28,8,1,2,146,285
Manicouagan/Manicouagan,101,Sept-Îles,86,53,20,3,1,2,165,307
Manicouagan/Manicouagan,102,Sept-Îles,122,41,45,2,2,0,212,354
Manicouagan/Manicouagan,103,Sept-Îles,73,54,31,6,3,4,171,348
Manicouagan/Manicouagan,104,Sept-Îles,105,55,33,17,5,2,217,430
Manicouagan/Manicouagan,105,Sept-Îles,76,43,26,5,1,4,155,318
Manicouagan/Manicouagan,106,Sept-Îles,83,61,46,17,1,0,208,390
Manicouagan/Manicouagan,107,Sept-Îles,74,34,17,4,2,2,133,314
Manicouagan/Manicouagan,108,Sept-Îles,60,40,10,4,0,2,116,279
Manicouagan/Manicouagan,109,Sept-Îles,119,62,65,6,1,8,261,479
Manicouagan/Manicouagan,110,Sept-Îles,75,41,27,8,0,2,153,305
Manicouagan/Manicouagan,111,Sept-Îles,59,43,24,3,2,3,134,370
Manicouagan/Manicouagan,112,Sept-Îles,67,48,23,2,1,3,144,357
Manicouagan/Manicouagan,113,Sept-Îles,64,40,20,2,6,4,136,369
Manicouagan/Manicouagan,114,Sept-Îles,70,32,19,2,3,5,131,349
Manicouagan/Manicouagan,115,Sept-Îles,54,19,15,3,1,3,95,205
Manicouagan/Manicouagan,116,Sept-Îles,113,143,26,11,4,6,303,484
Manicouagan/Manicouagan,117,Sept-Îles,62,41,23,5,1,2,134,288
Manicouagan/Manicouagan,118,Sept-Îles,94,48,23,9,3,0,177,402
Manicouagan/Manicouagan,119,Sept-Îles,75,63,35,1,4,5,183,427
Manicouagan/Manicouagan,120,Sept-Îles,94,30,15,11,0,2,152,366
Manicouagan/Manicouagan,121,Sept-Îles,85,20,24,4,0,3,136,256
Manicouagan/Manicouagan,122,Sept-Îles,101,27,17,4,1,4,154,325
Manicouagan/Manicouagan,123,Sept-Îles,115,35,36,6,0,4,196,397
Manicouagan/Manicouagan,124,Sept-Îles,140,35,27,5,1,4,212,453
Manicouagan/Manicouagan,125,Sept-Îles,140,49,21,10,3,4,227,476
Manicouagan/Manicouagan,126,Sept-Îles,134,33,30,5,4,2,208,451
Manicouagan/Manicouagan,127,Sept-Îles,133,34,33,9,3,5,217,430
Manicouagan/Manicouagan,128,Sept-Îles,115,47,33,9,5,6,215,425
Manicouagan/Manicouagan,129,Sept-Îles,100,38,18,5,1,1,163,409
Manicouagan/Manicouagan,130,Sept-Îles,125,38,25,6,0,6,200,430
Manicouagan/Manicouagan,131,Sept-Îles,99,40,26,5,0,8,178,345
Manicouagan/Manicouagan,132,Sept-Îles,114,77,33,7,5,10,246,494
Manicouagan/Manicouagan,133,Sept-Îles,100,40,35,8,0,4,187,351
Manicouagan/Manicouagan,134,Sept-Îles,84,43,32,8,0,1,168,405
Manicouagan/Manicouagan,135,Sept-Îles,55,27,9,6,2,3,102,368
Manicouagan/Manicouagan,136,Sept-Îles,107,56,22,6,2,4,197,400
Manicouagan/Manicouagan,137,Sept-Îles,74,28,20,6,1,1,130,368
Manicouagan/Manicouagan,138,Sept-Îles,85,35,28,4,1,3,156,509
Manicouagan/Manicouagan,139,Sept-Îles,59,15,12,1,1,1,89,256
Manicouagan/Manicouagan,140,Sept-Îles,122,58,57,8,2,3,250,514
Manicouagan/Manicouagan,141,Sept-Îles,79,40,41,6,3,1,170,299
Manicouagan/Manicouagan,142,Sept-Îles,103,60,54,6,2,2,227,399
Manicouagan/Manicouagan,143,Sept-Îles,79,41,40,11,2,2,175,296
Manicouagan/Manicouagan,144,Sept-Îles,73,43,35,3,1,1,156,278
Manicouagan/Manicouagan,145,Sept-Îles,114,48,41,6,2,0,211,401
Manicouagan/Manicouagan,146,Sept-Îles,91,37,26,6,2,0,162,363
Manicouagan/Manicouagan,147,Sept-Îles,119,59,45,8,8,3,242,410
Manicouagan/Manicouagan,148,Moisie,83,37,7,11,0,2,140,266
Manicouagan/Manicouagan,149A,Lac Daigle,19,19,4,0,1,0,43,69
Manicouagan/Manicouagan,149B,Moisie,135,34,34,11,3,3,220,451
Manicouagan/Manicouagan,150,Maliotenam 27A,8,63,7,4,1,0,83,244
Manicouagan/Manicouagan,151,Maliotenam 27A,12,97,8,6,4,0,127,524
Manicouagan/Manicouagan,152,Sheldrake,28,14,3,7,0,3,55,75
Manicouagan/Manicouagan,153,Rivière-au-Tonnerre,77,36,2,4,2,1,122,326
Manicouagan/Manicouagan,154,Magpie,55,14,3,2,1,1,76,211
Manicouagan/Manicouagan,155,Longue-Pointe,85,43,9,1,4,3,145,458
Manicouagan/Manicouagan,156,Havre-Saint-Pierre,114,39,19,6,0,3,181,450
Manicouagan/Manicouagan,157,Havre-Saint-Pierre,159,10,14,0,4,4,191,434
Manicouagan/Manicouagan,158,Havre-Saint-Pierre,154,36,35,5,1,4,235,519
Manicouagan/Manicouagan,159,Havre-Saint-Pierre,108,14,10,0,2,0,134,404
Manicouagan/Manicouagan,160,Havre-Saint-Pierre,75,18,8,4,0,1,106,248
Manicouagan/Manicouagan,161,Havre-Saint-Pierre,57,22,4,3,1,1,88,189
Manicouagan/Manicouagan,162,Havre-Saint-Pierre,81,25,10,4,0,1,121,273
Manicouagan/Manicouagan,163,Aguanish,61,29,5,8,1,2,106,262
Manicouagan/Manicouagan,164,Natashquan,59,39,4,5,5,38,150,362
Manicouagan/Manicouagan,165,Natashquan 1,15,110,2,4,4,0,135,342
Manicouagan/Manicouagan,166,Port-Menier,14,6,2,1,1,116,140,206
Manicouagan/Manicouagan,167,La Tabatière,7,107,10,14,5,0,143,343
