District,Poll Number,Poll Name,Patrick Brown,Peter Bursztyn,Aileen Carroll,Erich Jacoby-Hawkins,Rejected Ballots,Total Vote,Electors
Barrie/Barrie,38,Barrie,71,27,47,34,1,180,392
Barrie/Barrie,39,Barrie,89,20,107,14,0,230,456
Barrie/Barrie,40,Barrie,35,7,21,9,1,73,309
Barrie/Barrie,41,Barrie,39,29,41,3,1,113,262
Barrie/Barrie,42,Barrie,58,19,80,16,0,173,298
Barrie/Barrie,43,Barrie,47,9,40,9,0,105,194
Barrie/Barrie,44,Barrie,52,16,60,5,1,134,289
Barrie/Barrie,45,Barrie,43,23,41,19,1,127,270
Barrie/Barrie,46,Barrie,62,23,73,11,1,170,378
Barrie/Barrie,47,Barrie,38,24,60,12,1,135,278
Barrie/Barrie,48,Barrie,36,16,34,12,1,99,290
Barrie/Barrie,49,Barrie,45,26,46,19,4,140,347
Barrie/Barrie,50,Barrie,30,11,33,2,0,76,251
Barrie/Barrie,51,Barrie,53,19,45,9,0,126,238
Barrie/Barrie,52,Barrie,32,28,44,6,0,110,256
Barrie/Barrie,53,Barrie,25,14,51,14,0,104,334
Barrie/Barrie,54,Barrie,Void,,,,,,
Barrie/Barrie,55,Barrie,Merged with No. 56,,,,,,120
Barrie/Barrie,56,Barrie,52,17,42,13,2,126,204
Barrie/Barrie,57,Barrie,56,12,84,4,2,158,217
Barrie/Barrie,58,Barrie,49,13,67,6,0,135,219
Barrie/Barrie,59,Barrie,104,21,121,10,3,259,417
Barrie/Barrie,60A,Barrie,63,27,75,9,2,176,324
Barrie/Barrie,60B,Barrie,72,29,85,11,0,197,357
Barrie/Barrie,61,Barrie,120,28,79,20,2,249,499
Barrie/Barrie,62A,Barrie,88,13,72,8,0,181,339
Barrie/Barrie,62B,Barrie,64,7,60,6,0,137,240
Barrie/Barrie,63,Barrie,117,23,55,13,0,208,408
Barrie/Barrie,64,Barrie,89,23,104,18,1,235,414
Barrie/Barrie,65,Barrie,72,15,68,18,0,173,357
Barrie/Barrie,66,Barrie,106,19,120,12,0,257,456
Barrie/Barrie,67,Barrie,92,22,97,14,0,225,407
Barrie/Barrie,68,Barrie,75,23,50,7,0,155,330
Barrie/Barrie,69,Barrie,70,21,63,15,0,169,323
Barrie/Barrie,70,Barrie,51,23,52,26,0,152,304
Barrie/Barrie,71,Barrie,110,35,68,18,0,231,500
Barrie/Barrie,72,Barrie,65,30,80,20,1,196,356
Barrie/Barrie,73,Barrie,51,21,52,13,1,138,279
Barrie/Barrie,74,Barrie,91,13,106,21,1,232,364
Barrie/Barrie,75,Barrie,57,24,83,12,1,177,393
Barrie/Barrie,76,Barrie,72,29,107,24,1,233,401
Barrie/Barrie,77,Barrie,54,19,52,18,1,144,306
Barrie/Barrie,78,Barrie,42,16,62,17,1,138,277
Barrie/Barrie,79,Barrie,31,35,62,12,0,140,408
Barrie/Barrie,80,Barrie,51,17,58,12,1,139,290
Barrie/Barrie,81,Barrie,45,18,60,11,0,134,301
Barrie/Barrie,82,Barrie,58,33,61,11,0,163,419
Barrie/Barrie,83,Barrie,26,31,74,15,3,149,341
Barrie/Barrie,84,Barrie,47,23,91,25,0,186,381
Barrie/Barrie,85,Barrie,41,24,95,14,4,178,355
Barrie/Barrie,86,Barrie,69,17,143,10,1,240,347
Barrie/Barrie,87,Barrie,41,33,54,12,1,141,257
Barrie/Barrie,88,Barrie,66,7,106,22,1,202,363
Barrie/Barrie,89,Barrie,109,15,95,13,0,232,419
Barrie/Barrie,90,Barrie,115,15,133,13,0,276,521
Barrie/Barrie,91,Barrie,100,11,81,16,0,208,428
Barrie/Barrie,92,Barrie,72,28,63,14,0,177,354
Barrie/Barrie,93,Barrie,100,39,132,29,4,304,579
