District,Poll Number,Poll Name,M.A. Bonnie Brown,Rick Byers,Alison Myrden,Tania Orton,Zeshan Shahbaz,Rejected Ballots,Total Vote,Electors
Oakville/Oakville,1,Oakville,Merged with No. 7,,,,,,,51
Oakville/Oakville,2A,Oakville,214,134,9,10,0,2,369,614
Oakville/Oakville,2B,Oakville,169,134,18,10,1,0,332,577
Oakville/Oakville,3,Oakville,194,137,4,11,0,4,350,508
Oakville/Oakville,4,Oakville,190,121,6,8,0,3,328,518
Oakville/Oakville,5,Oakville,182,80,12,11,0,0,285,447
Oakville/Oakville,6,Oakville,155,87,11,5,0,0,258,408
Oakville/Oakville,7,Oakville,115,96,2,4,0,0,217,314
Oakville/Oakville,8,Oakville,86,54,16,4,0,0,160,254
Oakville/Oakville,9,Oakville,171,99,12,19,0,0,301,444
Oakville/Oakville,10,Oakville,153,79,29,12,0,3,276,498
Oakville/Oakville,11,Oakville,153,83,18,22,0,3,279,462
Oakville/Oakville,12,Oakville,137,67,18,8,0,1,231,425
Oakville/Oakville,13,Oakville,136,47,19,11,0,0,213,388
Oakville/Oakville,14,Oakville,139,94,28,7,1,2,271,449
Oakville/Oakville,15,Oakville,118,77,13,8,0,0,216,370
Oakville/Oakville,16,Oakville,178,68,10,8,1,1,266,431
Oakville/Oakville,17,Oakville,171,75,36,15,0,1,298,499
Oakville/Oakville,18,Oakville,214,86,15,11,1,3,330,463
Oakville/Oakville,19,Oakville,154,114,18,14,0,0,300,465
Oakville/Oakville,20,Oakville,144,89,14,6,0,2,255,418
Oakville/Oakville,21,Oakville,174,79,11,13,1,1,279,495
Oakville/Oakville,22,Oakville,120,88,32,13,0,0,253,506
Oakville/Oakville,23,Oakville,124,82,7,11,0,0,224,335
Oakville/Oakville,24,Oakville,126,123,10,13,0,0,272,436
Oakville/Oakville,25,Oakville,141,90,10,5,0,0,246,367
Oakville/Oakville,26,Oakville,171,103,11,8,1,0,294,460
Oakville/Oakville,27,Oakville,147,133,9,8,0,1,298,454
Oakville/Oakville,28,Oakville,103,117,10,6,0,0,236,390
Oakville/Oakville,29,Oakville,109,95,10,15,0,1,230,353
Oakville/Oakville,30,Oakville,138,111,17,7,0,1,274,426
Oakville/Oakville,31,Oakville,157,82,13,10,0,1,263,388
Oakville/Oakville,32,Oakville,170,100,14,11,0,2,297,462
Oakville/Oakville,33,Oakville,112,107,6,15,0,1,241,343
Oakville/Oakville,34,Oakville,100,92,7,19,1,0,219,349
Oakville/Oakville,35,Oakville,96,86,4,10,0,0,196,339
