District,Poll Number,Poll Name,Don Kossick,Lynn Oliphant,Tiffany Paulsen,Clayton A. Sundberg,Lynne Yelich,Rejected Ballots,Total Vote,Electors
Blackstrap/Blackstrap,1,Saskatoon,78,9,56,2,51,0,196,469
Blackstrap/Blackstrap,2,Saskatoon,116,6,84,1,36,0,243,436
Blackstrap/Blackstrap,3,Saskatoon,80,8,40,0,29,0,157,308
Blackstrap/Blackstrap,4,Saskatoon,91,15,48,0,37,1,192,383
Blackstrap/Blackstrap,5,Saskatoon,73,16,54,0,37,0,180,383
Blackstrap/Blackstrap,6,Saskatoon,71,10,49,1,37,0,168,370
Blackstrap/Blackstrap,7,Saskatoon,62,13,51,1,41,0,168,349
Blackstrap/Blackstrap,8,Saskatoon,70,9,59,4,46,1,189,381
Blackstrap/Blackstrap,9,Saskatoon,107,7,59,2,55,0,230,521
Blackstrap/Blackstrap,10,Saskatoon,65,6,48,0,54,0,173,354
Blackstrap/Blackstrap,11,Saskatoon,55,6,38,0,43,0,142,351
Blackstrap/Blackstrap,12,Saskatoon,28,8,27,1,37,0,101,232
Blackstrap/Blackstrap,13,Saskatoon,66,6,45,1,49,0,167,343
Blackstrap/Blackstrap,14,Saskatoon,84,10,77,0,74,0,245,492
Blackstrap/Blackstrap,15,Saskatoon,70,10,70,1,46,2,199,364
Blackstrap/Blackstrap,16,Saskatoon,50,8,62,0,46,0,166,287
Blackstrap/Blackstrap,17,Saskatoon,56,3,55,0,46,0,160,271
Blackstrap/Blackstrap,18,Saskatoon,42,12,57,0,53,0,164,381
Blackstrap/Blackstrap,19,Saskatoon,33,3,52,0,67,0,155,347
Blackstrap/Blackstrap,20,Saskatoon,79,10,55,2,71,2,219,377
Blackstrap/Blackstrap,21,Saskatoon,85,15,103,0,73,0,276,437
Blackstrap/Blackstrap,22,Saskatoon,58,11,71,3,81,0,224,371
Blackstrap/Blackstrap,23,Saskatoon,62,3,84,0,62,0,211,414
Blackstrap/Blackstrap,24,Saskatoon,78,10,91,2,66,0,247,437
Blackstrap/Blackstrap,25,Saskatoon,54,5,39,0,59,0,157,375
Blackstrap/Blackstrap,26,Saskatoon,65,7,135,1,139,0,347,586
Blackstrap/Blackstrap,27,Saskatoon,39,6,49,0,39,0,133,314
Blackstrap/Blackstrap,28,Saskatoon,60,6,46,0,54,0,166,364
Blackstrap/Blackstrap,29,Saskatoon,52,10,52,0,35,0,149,294
Blackstrap/Blackstrap,30,Saskatoon,54,6,49,0,58,0,167,300
Blackstrap/Blackstrap,31,Saskatoon,25,7,43,1,45,0,121,251
Blackstrap/Blackstrap,32,Saskatoon,52,5,43,0,48,1,149,328
Blackstrap/Blackstrap,33,Saskatoon,92,11,93,0,78,0,274,443
Blackstrap/Blackstrap,34,Saskatoon,70,8,59,1,80,3,221,410
Blackstrap/Blackstrap,35,Saskatoon,60,10,56,0,81,0,207,363
Blackstrap/Blackstrap,36,Saskatoon,79,8,75,1,86,0,249,427
Blackstrap/Blackstrap,37,Saskatoon,59,13,57,0,64,2,195,324
Blackstrap/Blackstrap,38,Saskatoon,63,4,69,1,90,1,228,426
Blackstrap/Blackstrap,39,Saskatoon,67,11,93,0,99,0,270,414
Blackstrap/Blackstrap,40,Saskatoon,52,16,69,2,71,1,211,348
Blackstrap/Blackstrap,41,Saskatoon,58,1,98,1,103,0,261,431
Blackstrap/Blackstrap,42,Saskatoon,48,5,92,1,67,1,214,347
Blackstrap/Blackstrap,43,Saskatoon,58,5,50,0,71,2,186,299
Blackstrap/Blackstrap,44,Saskatoon,53,6,56,1,55,0,171,288
Blackstrap/Blackstrap,45,Saskatoon,67,5,83,1,73,0,229,393
Blackstrap/Blackstrap,46,Saskatoon,28,6,60,0,73,0,167,283
Blackstrap/Blackstrap,47,Saskatoon,56,10,98,0,113,1,278,450
Blackstrap/Blackstrap,48,Saskatoon,43,3,74,0,64,0,184,349
Blackstrap/Blackstrap,49,Saskatoon,58,2,85,0,71,0,216,413
Blackstrap/Blackstrap,50,Saskatoon,45,11,53,0,75,0,184,389
Blackstrap/Blackstrap,51,Saskatoon,42,6,42,0,40,0,130,288
Blackstrap/Blackstrap,52,Saskatoon,39,6,58,2,44,0,149,307
Blackstrap/Blackstrap,53,Saskatoon,50,9,44,0,36,2,141,383
Blackstrap/Blackstrap,54,Saskatoon,79,9,113,4,114,0,319,588
Blackstrap/Blackstrap,55,Saskatoon,51,7,66,0,55,1,180,293
Blackstrap/Blackstrap,56,Saskatoon,47,11,90,0,59,0,207,371
Blackstrap/Blackstrap,57,Saskatoon,34,2,62,1,45,0,144,290
Blackstrap/Blackstrap,58,Saskatoon,52,4,52,2,41,1,152,221
Blackstrap/Blackstrap,59,Saskatoon,56,4,130,1,68,0,259,405
Blackstrap/Blackstrap,60,Saskatoon,81,3,122,6,87,2,301,450
Blackstrap/Blackstrap,61,Saskatoon,69,5,68,1,57,1,201,284
Blackstrap/Blackstrap,62,Saskatoon,102,7,161,0,109,0,379,607
Blackstrap/Blackstrap,63,Saskatoon,43,3,121,6,53,4,230,313
Blackstrap/Blackstrap,64,Saskatoon,41,3,64,0,49,0,157,255
Blackstrap/Blackstrap,65,Saskatoon,77,5,81,1,78,2,244,373
Blackstrap/Blackstrap,66,Saskatoon,62,5,50,1,58,0,176,325
Blackstrap/Blackstrap,67,Saskatoon,44,4,74,0,57,0,179,340
Blackstrap/Blackstrap,68,Saskatoon,25,3,34,2,34,0,98,210
Blackstrap/Blackstrap,69,Saskatoon,77,6,76,1,71,0,231,436
Blackstrap/Blackstrap,70,Saskatoon,55,5,70,2,96,0,228,409
Blackstrap/Blackstrap,71,Saskatoon,71,7,74,0,97,2,251,440
Blackstrap/Blackstrap,72,Saskatoon,99,12,142,0,144,0,397,672
Blackstrap/Blackstrap,73,Saskatoon,55,7,100,4,143,3,312,516
Blackstrap/Blackstrap,74,Saskatoon,49,3,60,1,72,0,185,383
Blackstrap/Blackstrap,75,Saskatoon,52,11,90,0,81,1,235,490
