Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olivier Adam,Chantal Bouchard,Yves Bourassa,Alain Dubois,Yves Lessard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Chambly--Borduas/Chambly--Borduas"," 1","Saint-Mathieu-de-Beloeil",18,41,64,19,139,1,282,401
"Chambly--Borduas/Chambly--Borduas"," 2","Saint-Mathieu-de-Beloeil",19,22,79,7,127,2,256,447
"Chambly--Borduas/Chambly--Borduas"," 3","Saint-Mathieu-de-Beloeil",18,22,66,11,146,3,266,412
"Chambly--Borduas/Chambly--Borduas"," 4","Saint-Mathieu-de-Beloeil",12,22,73,20,203,6,336,510
"Chambly--Borduas/Chambly--Borduas"," 5","McMasterville",18,24,63,13,152,2,272,413
"Chambly--Borduas/Chambly--Borduas"," 6","McMasterville",12,29,40,25,130,2,238,359
"Chambly--Borduas/Chambly--Borduas"," 7","McMasterville",13,18,50,16,133,2,232,345
"Chambly--Borduas/Chambly--Borduas"," 8A","McMasterville",25,19,70,26,248,5,393,653
"Chambly--Borduas/Chambly--Borduas"," 8B","McMasterville",18,26,82,49,251,2,428,669
"Chambly--Borduas/Chambly--Borduas"," 9","McMasterville",16,28,53,28,160,8,293,462
"Chambly--Borduas/Chambly--Borduas"," 10","McMasterville",13,23,35,16,128,3,218,446
"Chambly--Borduas/Chambly--Borduas"," 11","McMasterville",8,23,40,24,171,5,271,605
"Chambly--Borduas/Chambly--Borduas"," 12","Beloeil",14,17,63,26,191,2,313,446
"Chambly--Borduas/Chambly--Borduas"," 13","Beloeil",8,16,49,26,215,5,319,433
"Chambly--Borduas/Chambly--Borduas"," 14","Beloeil",13,30,65,14,179,1,302,452
"Chambly--Borduas/Chambly--Borduas"," 15","Beloeil",12,28,52,15,155,2,264,409
"Chambly--Borduas/Chambly--Borduas"," 16","Beloeil",18,68,57,31,105,4,283,420
"Chambly--Borduas/Chambly--Borduas"," 17","Beloeil",10,35,48,25,137,6,261,366
"Chambly--Borduas/Chambly--Borduas"," 18","Beloeil",23,27,45,24,122,2,243,359
"Chambly--Borduas/Chambly--Borduas"," 19","Beloeil",19,21,33,16,95,2,186,321
"Chambly--Borduas/Chambly--Borduas"," 20","Beloeil",14,20,50,18,114,0,216,447
"Chambly--Borduas/Chambly--Borduas"," 21","Beloeil",23,29,60,9,134,1,256,357
"Chambly--Borduas/Chambly--Borduas"," 22","Beloeil",12,36,66,26,139,1,280,420
"Chambly--Borduas/Chambly--Borduas"," 23","Beloeil",6,24,46,17,133,3,229,420
"Chambly--Borduas/Chambly--Borduas"," 24","Beloeil",12,27,66,17,198,5,325,505
"Chambly--Borduas/Chambly--Borduas"," 25","Beloeil",9,17,35,20,139,1,221,340
"Chambly--Borduas/Chambly--Borduas"," 26","Beloeil",10,16,44,19,204,5,298,424
"Chambly--Borduas/Chambly--Borduas"," 27","Beloeil",11,19,56,19,156,5,266,388
"Chambly--Borduas/Chambly--Borduas"," 28","Beloeil",12,19,44,28,200,7,310,447
"Chambly--Borduas/Chambly--Borduas"," 29","Beloeil",17,29,78,25,171,7,327,446
"Chambly--Borduas/Chambly--Borduas"," 30","Beloeil",18,20,62,20,163,5,288,402
"Chambly--Borduas/Chambly--Borduas"," 31","Beloeil",26,29,44,24,182,5,310,454
"Chambly--Borduas/Chambly--Borduas"," 32","Beloeil",12,30,39,24,93,6,204,341
"Chambly--Borduas/Chambly--Borduas"," 33","Beloeil",16,24,59,19,177,1,296,396
"Chambly--Borduas/Chambly--Borduas"," 34","Beloeil",12,33,46,15,109,1,216,378
"Chambly--Borduas/Chambly--Borduas"," 35","Beloeil",8,22,53,28,174,4,289,439
"Chambly--Borduas/Chambly--Borduas"," 36","Beloeil",10,17,59,19,132,0,237,367
"Chambly--Borduas/Chambly--Borduas"," 37","Beloeil",13,33,87,28,237,7,405,664
"Chambly--Borduas/Chambly--Borduas"," 38","Beloeil",17,27,55,23,117,1,240,389
"Chambly--Borduas/Chambly--Borduas"," 39","Beloeil",6,20,35,19,108,2,190,396
"Chambly--Borduas/Chambly--Borduas"," 40","Beloeil",19,27,42,20,105,2,215,366
"Chambly--Borduas/Chambly--Borduas"," 41","Beloeil",9,34,44,15,117,0,219,366
"Chambly--Borduas/Chambly--Borduas"," 42","Beloeil",6,23,78,21,130,3,261,370
"Chambly--Borduas/Chambly--Borduas"," 43","Beloeil",7,26,48,21,142,2,246,430
"Chambly--Borduas/Chambly--Borduas"," 44","Beloeil",8,16,35,10,151,3,223,437
"Chambly--Borduas/Chambly--Borduas"," 45","Beloeil",10,33,55,30,124,0,252,386
"Chambly--Borduas/Chambly--Borduas"," 46","Beloeil",16,33,37,21,119,4,230,415
"Chambly--Borduas/Chambly--Borduas"," 47","Beloeil",6,31,48,15,95,3,198,375
"Chambly--Borduas/Chambly--Borduas"," 48","Mont-Saint-Hilaire",15,34,68,14,123,3,257,421
"Chambly--Borduas/Chambly--Borduas"," 49","Mont-Saint-Hilaire",22,37,90,34,173,4,360,625
"Chambly--Borduas/Chambly--Borduas"," 49-1","Mont-Saint-Hilaire",13,30,86,30,162,3,324,512
"Chambly--Borduas/Chambly--Borduas"," 50","Mont-Saint-Hilaire",32,24,77,22,189,1,345,535
"Chambly--Borduas/Chambly--Borduas"," 51","Mont-Saint-Hilaire",29,26,82,26,180,4,347,478
"Chambly--Borduas/Chambly--Borduas"," 52","Mont-Saint-Hilaire",15,43,46,21,101,3,229,639
"Chambly--Borduas/Chambly--Borduas"," 53","Mont-Saint-Hilaire",27,25,67,41,246,6,412,601
"Chambly--Borduas/Chambly--Borduas"," 54","Mont-Saint-Hilaire",15,36,68,17,182,3,321,475
"Chambly--Borduas/Chambly--Borduas"," 55","Mont-Saint-Hilaire",16,16,49,20,159,3,263,386
"Chambly--Borduas/Chambly--Borduas"," 56","Mont-Saint-Hilaire",13,17,54,29,122,4,239,389
"Chambly--Borduas/Chambly--Borduas"," 57","Mont-Saint-Hilaire",15,15,51,22,107,1,211,372
"Chambly--Borduas/Chambly--Borduas"," 58","Mont-Saint-Hilaire",18,21,58,21,132,3,253,387
"Chambly--Borduas/Chambly--Borduas"," 59","Mont-Saint-Hilaire",20,19,34,21,162,3,259,423
"Chambly--Borduas/Chambly--Borduas"," 60","Mont-Saint-Hilaire",10,42,44,17,123,4,240,399
"Chambly--Borduas/Chambly--Borduas"," 61","Mont-Saint-Hilaire",26,43,94,25,173,8,369,605
"Chambly--Borduas/Chambly--Borduas"," 62","Mont-Saint-Hilaire",16,44,56,15,137,2,270,463
"Chambly--Borduas/Chambly--Borduas"," 63","Mont-Saint-Hilaire",18,38,57,26,125,2,266,380
