Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Mailer,Irene Mathyssen,David McLaughlin,Glen Douglas Pearson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"London--Fanshawe/London--Fanshawe"," 1","London",73,63,13,59,0,208,382
"London--Fanshawe/London--Fanshawe"," 2","London",89,113,16,69,2,289,501
"London--Fanshawe/London--Fanshawe"," 3","London",42,73,8,41,0,164,307
"London--Fanshawe/London--Fanshawe"," 4","London",56,99,9,84,3,251,394
"London--Fanshawe/London--Fanshawe"," 5","London",74,104,12,97,3,290,572
"London--Fanshawe/London--Fanshawe"," 6","London",59,82,10,72,2,225,413
"London--Fanshawe/London--Fanshawe"," 7","London",52,92,8,87,3,242,460
"London--Fanshawe/London--Fanshawe"," 8","London",56,33,7,69,0,165,283
"London--Fanshawe/London--Fanshawe"," 9","London",68,88,17,119,0,292,581
"London--Fanshawe/London--Fanshawe"," 10","London",45,64,6,56,0,171,344
"London--Fanshawe/London--Fanshawe"," 11","London",51,54,5,64,0,174,439
"London--Fanshawe/London--Fanshawe"," 12","London",50,62,8,64,0,184,357
"London--Fanshawe/London--Fanshawe"," 13","London",49,36,1,53,0,139,299
"London--Fanshawe/London--Fanshawe"," 14","London",38,54,7,40,3,142,311
"London--Fanshawe/London--Fanshawe"," 15","London",71,62,7,49,1,190,316
"London--Fanshawe/London--Fanshawe"," 16","London",54,71,5,57,0,187,339
"London--Fanshawe/London--Fanshawe"," 17","London",49,54,12,45,0,160,298
"London--Fanshawe/London--Fanshawe"," 18","London",65,72,12,64,0,213,393
"London--Fanshawe/London--Fanshawe"," 19","London",63,94,10,60,1,228,367
"London--Fanshawe/London--Fanshawe"," 20","London",60,68,2,44,0,174,360
"London--Fanshawe/London--Fanshawe"," 21","London",39,97,5,55,1,197,356
"London--Fanshawe/London--Fanshawe"," 22","London",34,116,13,53,1,217,403
"London--Fanshawe/London--Fanshawe"," 23","London",59,42,7,37,1,146,267
"London--Fanshawe/London--Fanshawe"," 24","London",44,72,5,40,0,161,318
"London--Fanshawe/London--Fanshawe"," 25","London",44,80,8,55,1,188,425
