Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ishrat Alam,Fernand Deschamps,Stéphane Dion,Liz Elder,William Fayad,Gilles Mercier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 1","Montréal",21,1,56,20,98,21,2,219,342
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 2","Montréal",19,0,132,16,58,11,0,236,358
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 3","Montréal",30,0,146,30,49,12,0,267,422
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 4","Montréal",26,1,131,15,22,4,1,200,327
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 5","Montréal",35,0,128,25,77,20,1,286,447
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 6","Montréal",30,4,150,12,30,10,2,238,412
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 7","Montréal",18,0,105,11,28,2,1,165,413
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 8","Montréal",11,0,100,11,21,5,0,148,372
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 9","Montréal",17,2,108,18,27,9,2,183,358
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 10","Montréal",35,2,176,15,45,22,1,296,495
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 11","Montréal",20,2,69,13,24,7,3,138,252
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 12","Montréal",15,1,137,22,66,11,2,254,407
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 13","Montréal",17,0,72,15,17,2,1,124,340
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 14","Montréal",26,2,174,10,8,6,1,227,302
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 15","Montréal",24,0,60,9,91,22,0,206,305
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 16","Montréal",30,0,83,17,38,14,3,185,277
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 17","Montréal",24,1,64,15,82,18,1,205,355
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 18","Montréal",41,0,114,14,72,29,2,272,365
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 19","Montréal",16,0,91,5,28,7,4,151,347
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 20","Montréal",52,0,83,27,98,19,0,279,446
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 21","Montréal",21,0,56,14,66,14,0,171,307
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 22","Montréal",51,2,130,17,52,12,4,268,596
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 23","Montréal",29,1,45,18,50,10,5,158,368
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 24","Montréal",26,1,112,6,27,6,0,178,459
"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 25","Montréal",14,0,56,7,42,3,1,123,285
