Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie Martine Bédard,Francis Chartrand,Robert Frégeau,Érick Gauthier,Gilles-A. Perron,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 1","Boisbriand",9,13,21,41,130,4,218,418
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 2","Boisbriand",10,14,41,35,144,2,246,400
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 3","Boisbriand",8,9,25,47,131,5,225,483
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 4","Boisbriand",6,23,25,54,162,5,275,511
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 5","Boisbriand",6,16,18,28,113,7,188,396
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 6","Boisbriand",13,6,29,53,117,2,220,375
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 7","Boisbriand",12,19,39,22,81,5,178,316
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 8","Boisbriand",13,10,24,27,130,3,207,404
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 9","Boisbriand",5,12,20,27,122,4,190,449
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 10","Boisbriand",12,18,42,33,119,3,227,399
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 11","Boisbriand",11,18,46,61,143,7,286,429
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 12","Boisbriand",18,20,46,56,165,0,305,440
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 13","Boisbriand",18,23,56,74,211,5,387,572
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 14","Boisbriand",17,24,41,70,151,3,306,473
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 15","Boisbriand",11,18,29,36,143,2,239,365
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 16","Boisbriand",16,18,43,35,141,2,255,410
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 17","Boisbriand",13,15,48,51,92,3,222,426
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 18","Boisbriand",9,5,31,34,114,4,197,345
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 19","Boisbriand",13,12,31,54,173,4,287,533
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 20","Boisbriand",18,28,18,60,202,5,331,564
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 21","Boisbriand",7,15,28,52,145,9,256,401
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 22","Boisbriand",8,17,26,40,120,0,211,375
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 23","Boisbriand",5,11,35,38,145,2,236,437
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 24","Boisbriand",17,30,31,57,118,2,255,426
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 25","Boisbriand",12,12,15,58,102,2,201,336
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 26","Boisbriand",14,38,32,82,165,2,333,469
"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 27","Boisbriand",12,23,15,61,154,1,266,364
