Province,Conservative Party of Canada Male / Parti conservateur du Canada Hommes,Conservative Party of Canada Female / Parti conservateur du Canada Femmes,Liberal Party of Canada Male / Parti libéral du Canada Hommes,Liberal Party of Canada Female / Parti libéral du Canada Femmes,Bloc Québécois Male / Bloc Québécois Hommes,Bloc Québécois Female / Bloc Québécois Femmes,New Democratic Party Male / Nouveau Parti Démocratique Hommes,New Democratic Party Female / Nouveau Parti Démocratique Femmes,Independent Male / Indépendant Hommes,Independent Female / Indépendant Femmes,Others_Male/Autres_Hommes,Others_Female/Autres_Femme,Total_Male/Total_Hommes,Total_Female/Total_Femmes
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",3,0,4,0,0,0,0,0,0,0,0,0,7,0
"Prince Edward Island/Île-du-Prince-Édouard",0,0,4,0,0,0,0,0,0,0,0,0,4,0
"Nova Scotia/Nouvelle-Écosse",3,0,6,0,0,0,1,1,0,0,0,0,10,1
"New Brunswick/Nouveau-Brunswick",3,0,6,0,0,0,1,0,0,0,0,0,10,0
"Quebec/Québec",8,2,10,3,34,17,0,0,1,0,0,0,53,22
"Ontario",35,5,40,14,0,0,8,4,0,0,0,0,83,23
"Manitoba",7,1,1,2,0,0,2,1,0,0,0,0,10,4
"Saskatchewan",10,2,2,0,0,0,0,0,0,0,0,0,12,2
"Alberta",26,2,0,0,0,0,0,0,0,0,0,0,26,2
"British Columbia/Colombie-Britannique",15,2,8,1,0,0,4,6,0,0,0,0,27,9
"Yukon",0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Northwest Territories/Territoires du Nord-Ouest",0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Nunavut",0,0,0,1,0,0,0,0,0,0,0,0,0,1
