Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Benoît Beauchamp,Nicole Demers,Alia Haddad,Philippe Mari,Emilio Migliozzi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Laval/Laval"," 1","Laval",45,181,79,11,117,7,440,714
"Laval/Laval"," 2","Laval",32,195,53,11,84,11,386,621
"Laval/Laval"," 3","Laval",8,85,18,3,25,3,142,213
"Laval/Laval"," 4","Laval",27,138,40,9,54,6,274,463
"Laval/Laval"," 5","Laval",22,150,61,10,52,7,302,470
"Laval/Laval"," 6","Laval",15,147,31,11,52,5,261,435
"Laval/Laval"," 7","Laval",15,164,38,2,30,2,251,508
"Laval/Laval"," 8","Laval",25,114,45,12,29,2,227,417
"Laval/Laval"," 9","Laval",17,80,49,6,51,1,204,372
"Laval/Laval"," 10","Laval",29,121,48,7,50,2,257,427
"Laval/Laval"," 11","Laval",17,158,42,11,67,4,299,461
"Laval/Laval"," 12","Laval",19,141,47,11,36,4,258,412
"Laval/Laval"," 13","Laval",30,117,35,7,48,1,238,388
"Laval/Laval"," 14","Laval",23,94,37,6,46,1,207,328
"Laval/Laval"," 15","Laval",24,123,37,8,40,5,237,342
"Laval/Laval"," 16","Laval",9,113,24,2,31,0,179,308
"Laval/Laval"," 17","Laval",23,106,41,10,44,5,229,378
"Laval/Laval"," 18","Laval",31,147,40,14,48,9,289,443
"Laval/Laval"," 19","Laval",23,122,32,9,47,4,237,392
"Laval/Laval"," 20","Laval",11,84,37,6,53,5,196,311
"Laval/Laval"," 21","Laval",20,114,53,6,52,4,249,437
"Laval/Laval"," 22","Laval",21,92,32,7,28,3,183,384
"Laval/Laval"," 23","Laval",21,126,21,9,51,4,232,395
"Laval/Laval"," 24","Laval",20,130,32,4,35,4,225,380
"Laval/Laval"," 25","Laval",26,125,51,12,41,7,262,422
"Laval/Laval"," 26","Laval",24,118,53,6,51,5,257,419
"Laval/Laval"," 27","Laval",22,93,55,13,48,6,237,408
"Laval/Laval"," 28","Laval",13,127,44,9,51,6,250,451
"Laval/Laval"," 29","Laval",26,163,47,15,58,4,313,659
"Laval/Laval"," 30","Laval",20,123,60,7,38,3,251,398
"Laval/Laval"," 31","Laval",30,137,63,8,61,6,305,444
"Laval/Laval"," 32","Laval",23,154,63,8,66,3,317,524
"Laval/Laval"," 33","Laval",21,183,25,13,42,3,287,401
"Laval/Laval"," 34","Laval",34,141,39,15,52,6,287,403
"Laval/Laval"," 35","Laval",23,169,53,14,57,4,320,460
"Laval/Laval"," 36","Laval",21,169,50,7,52,1,300,490
"Laval/Laval"," 37","Laval",20,88,24,7,36,1,176,274
"Laval/Laval"," 38","Laval",11,120,34,6,33,2,206,351
"Laval/Laval"," 39","Laval",16,151,47,8,41,2,265,449
"Laval/Laval"," 40","Laval",25,99,47,10,40,8,229,378
"Laval/Laval"," 41","Laval",18,101,45,6,47,7,224,444
"Laval/Laval"," 42","Laval",24,109,47,7,68,1,256,404
"Laval/Laval"," 43","Laval",20,102,39,7,47,2,217,325
"Laval/Laval"," 44","Laval",35,141,68,12,73,9,338,484
"Laval/Laval"," 45","Laval",30,138,76,10,59,2,315,460
"Laval/Laval"," 46","Laval",24,67,65,5,40,6,207,362
"Laval/Laval"," 47","Laval",12,100,81,7,41,3,244,455
"Laval/Laval"," 48","Laval",10,92,50,11,20,5,188,407
"Laval/Laval"," 49","Laval",22,108,66,11,50,1,258,437
"Laval/Laval"," 50","Laval",21,69,55,8,38,7,198,403
"Laval/Laval"," 51","Laval",14,68,50,1,25,3,161,348
"Laval/Laval"," 52","Laval",9,71,58,8,38,1,185,334
"Laval/Laval"," 53","Laval",23,113,69,13,62,3,283,498
"Laval/Laval"," 54","Laval",15,91,74,11,45,4,240,387
"Laval/Laval"," 55","Laval",17,84,53,8,39,6,207,363
"Laval/Laval"," 56","Laval",10,100,85,9,34,3,241,453
"Laval/Laval"," 57","Laval",Void/Supprimé,,,,,,,
"Laval/Laval"," 58","Laval",17,86,84,8,44,4,243,425
"Laval/Laval"," 59","Laval",14,59,81,8,39,3,204,373
