Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guy Dumas,Tony Martin,Christian Provenzano,Mike Taffarel,Mark Viitala,Ken Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Sault Ste. Marie/Sault Ste. Marie"," 1","Montreal River Harbour",7,64,49,2,5,26,0,153,244
"Sault Ste. Marie/Sault Ste. Marie"," 2","Searchmont",4,86,49,0,4,20,0,163,250
"Sault Ste. Marie/Sault Ste. Marie"," 3","Jones Landing--Havilland Bay",1,89,54,0,4,61,0,209,378
"Sault Ste. Marie/Sault Ste. Marie"," 4","Goulais River",3,63,29,0,2,25,1,123,244
"Sault Ste. Marie/Sault Ste. Marie"," 5","Goulais River",1,69,21,0,6,43,0,140,248
"Sault Ste. Marie/Sault Ste. Marie"," 6","Karalash Corners",0,69,10,0,1,27,0,107,185
"Sault Ste. Marie/Sault Ste. Marie"," 7","Kirby's Corner",1,136,40,0,8,105,0,290,511
"Sault Ste. Marie/Sault Ste. Marie"," 8","Heyden--Island Lake",2,105,45,0,4,77,1,234,346
"Sault Ste. Marie/Sault Ste. Marie"," 9","Heyden--Trout Lake",0,73,37,0,4,34,0,148,249
"Sault Ste. Marie/Sault Ste. Marie"," 10","Heyden--Beaumont",0,81,28,0,5,29,0,143,265
"Sault Ste. Marie/Sault Ste. Marie"," 11","Heyden--Shetland",0,38,17,0,1,21,2,79,104
"Sault Ste. Marie/Sault Ste. Marie"," 12","Goulais River",0,72,30,0,3,69,0,174,330
"Sault Ste. Marie/Sault Ste. Marie"," 13","Prince East",1,100,55,0,4,60,3,223,337
"Sault Ste. Marie/Sault Ste. Marie"," 14","Prince West",1,86,61,0,5,66,0,219,319
"Sault Ste. Marie/Sault Ste. Marie"," 15A","Sault Ste. Marie",0,69,85,0,7,58,0,219,309
"Sault Ste. Marie/Sault Ste. Marie"," 15B","Sault Ste. Marie",1,50,73,0,8,55,0,187,313
"Sault Ste. Marie/Sault Ste. Marie"," 16","Sault Ste. Marie",0,79,74,0,8,97,2,260,437
"Sault Ste. Marie/Sault Ste. Marie"," 17","Sault Ste. Marie",0,93,57,1,4,59,2,216,353
"Sault Ste. Marie/Sault Ste. Marie"," 18","Sault Ste. Marie",2,98,85,0,6,90,0,281,440
"Sault Ste. Marie/Sault Ste. Marie"," 19","Sault Ste. Marie",1,82,151,0,6,76,3,319,496
"Sault Ste. Marie/Sault Ste. Marie"," 20","Sault Ste. Marie",1,110,67,1,4,40,1,224,392
"Sault Ste. Marie/Sault Ste. Marie"," 21","Sault Ste. Marie",0,114,79,0,3,36,2,234,403
"Sault Ste. Marie/Sault Ste. Marie"," 22","Sault Ste. Marie",0,57,67,0,2,19,2,147,271
"Sault Ste. Marie/Sault Ste. Marie"," 23","Sault Ste. Marie",0,67,73,0,1,51,3,195,292
