Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kren Clausen,Deborah Coyne,Al Hart,Jack Layton,Marcell Rodden,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Toronto--Danforth/Toronto--Danforth"," 68","Toronto",20,97,28,128,0,0,273,451
"Toronto--Danforth/Toronto--Danforth"," 69","Toronto",23,72,27,142,1,0,265,464
"Toronto--Danforth/Toronto--Danforth"," 70","Toronto",16,90,26,90,0,1,223,352
"Toronto--Danforth/Toronto--Danforth"," 71","Toronto",30,94,14,126,0,1,265,329
"Toronto--Danforth/Toronto--Danforth"," 72","Toronto",31,88,26,115,1,0,261,319
"Toronto--Danforth/Toronto--Danforth"," 73","Toronto",18,58,17,115,1,1,210,327
"Toronto--Danforth/Toronto--Danforth"," 74","Toronto",23,89,34,144,0,1,291,433
"Toronto--Danforth/Toronto--Danforth"," 75","Toronto",32,110,42,114,0,1,299,505
"Toronto--Danforth/Toronto--Danforth"," 76","Toronto",17,87,37,128,2,1,272,418
"Toronto--Danforth/Toronto--Danforth"," 77","Toronto",19,63,17,107,0,2,208,346
"Toronto--Danforth/Toronto--Danforth"," 78","Toronto",22,77,15,113,0,1,228,375
"Toronto--Danforth/Toronto--Danforth"," 79","Toronto",24,56,22,64,0,1,167,295
"Toronto--Danforth/Toronto--Danforth"," 80A","Toronto",33,67,12,102,0,1,215,357
"Toronto--Danforth/Toronto--Danforth"," 80B","Toronto",13,11,0,18,2,0,44,65
"Toronto--Danforth/Toronto--Danforth"," 81","Toronto",17,70,22,155,1,0,265,457
"Toronto--Danforth/Toronto--Danforth"," 82","Toronto",17,59,13,78,0,0,167,291
"Toronto--Danforth/Toronto--Danforth"," 83","Toronto",13,68,23,93,0,1,198,311
"Toronto--Danforth/Toronto--Danforth"," 84","Toronto",26,93,22,178,1,0,320,482
"Toronto--Danforth/Toronto--Danforth"," 85","Toronto",31,84,10,106,2,1,234,395
"Toronto--Danforth/Toronto--Danforth"," 86","Toronto",31,109,19,137,0,0,296,507
"Toronto--Danforth/Toronto--Danforth"," 87","Toronto",14,56,16,110,0,0,196,360
"Toronto--Danforth/Toronto--Danforth"," 88","Toronto",25,98,24,138,1,2,288,428
"Toronto--Danforth/Toronto--Danforth"," 89","Toronto",19,100,26,171,0,1,317,501
"Toronto--Danforth/Toronto--Danforth"," 90","Toronto",26,95,21,92,2,1,237,382
"Toronto--Danforth/Toronto--Danforth"," 91","Toronto",21,73,16,138,2,1,251,401
"Toronto--Danforth/Toronto--Danforth"," 92","Toronto",16,113,3,148,2,2,284,501
"Toronto--Danforth/Toronto--Danforth"," 93","Toronto",18,63,23,134,2,2,242,403
"Toronto--Danforth/Toronto--Danforth"," 94","Toronto",21,85,16,107,1,3,233,420
"Toronto--Danforth/Toronto--Danforth"," 95","Toronto",24,133,10,137,0,0,304,498
"Toronto--Danforth/Toronto--Danforth"," 96","Toronto",16,102,1,137,0,6,262,446
"Toronto--Danforth/Toronto--Danforth"," 97","Toronto",37,129,28,160,0,1,355,572
"Toronto--Danforth/Toronto--Danforth"," 98","Toronto",16,60,33,133,0,0,242,452
"Toronto--Danforth/Toronto--Danforth"," 99","Toronto",18,91,21,137,0,0,267,475
"Toronto--Danforth/Toronto--Danforth"," 100","Toronto",23,80,31,132,3,4,273,515
"Toronto--Danforth/Toronto--Danforth"," 101","Toronto",22,92,23,113,0,2,252,433
"Toronto--Danforth/Toronto--Danforth"," 102","Toronto",16,97,13,129,2,3,260,491
"Toronto--Danforth/Toronto--Danforth"," 103","Toronto",20,73,15,62,2,1,173,502
"Toronto--Danforth/Toronto--Danforth"," 104","Toronto",26,102,24,154,5,0,311,564
"Toronto--Danforth/Toronto--Danforth"," 105","Toronto",28,84,9,148,1,0,270,450
"Toronto--Danforth/Toronto--Danforth"," 106","Toronto",21,85,43,167,1,1,318,474
"Toronto--Danforth/Toronto--Danforth"," 107","Toronto",8,72,19,129,1,2,231,378
"Toronto--Danforth/Toronto--Danforth"," 108","Toronto",17,67,18,125,0,0,227,366
"Toronto--Danforth/Toronto--Danforth"," 109","Toronto",17,64,15,128,0,5,229,379
"Toronto--Danforth/Toronto--Danforth"," 110","Toronto",22,64,14,107,1,2,210,380
"Toronto--Danforth/Toronto--Danforth"," 111","Toronto",10,63,16,115,0,1,205,308
"Toronto--Danforth/Toronto--Danforth"," 112","Toronto",47,89,13,115,0,1,265,359
"Toronto--Danforth/Toronto--Danforth"," 113","Toronto",31,122,26,136,1,2,318,545
"Toronto--Danforth/Toronto--Danforth"," 114","Toronto",13,49,14,95,1,2,174,234
"Toronto--Danforth/Toronto--Danforth"," 115","Toronto",31,80,15,191,2,1,320,527
"Toronto--Danforth/Toronto--Danforth"," 116","Toronto",12,51,15,94,1,0,173,247
"Toronto--Danforth/Toronto--Danforth"," 117","Toronto",20,76,22,262,1,0,381,543
"Toronto--Danforth/Toronto--Danforth"," 118","Toronto",16,51,11,74,0,0,152,230
"Toronto--Danforth/Toronto--Danforth"," 119","Toronto",25,73,25,146,0,1,270,397
"Toronto--Danforth/Toronto--Danforth"," 120","Toronto",23,99,23,151,2,0,298,455
"Toronto--Danforth/Toronto--Danforth"," 121","Toronto",22,93,24,122,1,1,263,404
"Toronto--Danforth/Toronto--Danforth"," 122","Toronto",26,113,24,170,1,0,334,513
"Toronto--Danforth/Toronto--Danforth"," 123","Toronto",9,61,15,102,2,0,189,291
"Toronto--Danforth/Toronto--Danforth"," 124","Toronto",24,101,15,115,1,1,257,441
"Toronto--Danforth/Toronto--Danforth"," 125","Toronto",14,86,17,99,0,2,218,431
"Toronto--Danforth/Toronto--Danforth"," 126","Toronto",20,98,9,116,0,0,243,500
"Toronto--Danforth/Toronto--Danforth"," 127","Toronto",23,114,11,117,1,1,267,425
"Toronto--Danforth/Toronto--Danforth"," 128","Toronto",27,46,18,104,0,1,196,313
"Toronto--Danforth/Toronto--Danforth"," 129","Toronto",20,106,24,156,2,2,310,513
"Toronto--Danforth/Toronto--Danforth"," 130","Toronto",16,115,9,151,5,2,298,527
"Toronto--Danforth/Toronto--Danforth"," 131","Toronto",24,83,22,120,0,6,255,444
"Toronto--Danforth/Toronto--Danforth"," 132","Toronto",13,40,5,56,0,0,114,235
"Toronto--Danforth/Toronto--Danforth"," 133","Toronto",13,76,16,112,1,0,218,375
"Toronto--Danforth/Toronto--Danforth"," 134","Toronto",13,80,21,180,1,2,297,466
"Toronto--Danforth/Toronto--Danforth"," 135","Toronto",12,71,43,149,2,1,278,459
"Toronto--Danforth/Toronto--Danforth"," 136","Toronto",24,55,27,145,3,1,255,428
"Toronto--Danforth/Toronto--Danforth"," 137","Toronto",15,79,6,128,0,1,229,481
"Toronto--Danforth/Toronto--Danforth"," 138","Toronto",23,123,20,149,2,1,318,585
"Toronto--Danforth/Toronto--Danforth"," 139","Toronto",7,55,10,110,1,0,183,340
"Toronto--Danforth/Toronto--Danforth"," 140","Toronto",13,96,22,125,0,0,256,508
"Toronto--Danforth/Toronto--Danforth"," 141","Toronto",21,92,15,108,0,2,238,430
"Toronto--Danforth/Toronto--Danforth"," 142","Toronto",19,69,15,98,0,2,203,311
"Toronto--Danforth/Toronto--Danforth"," 143","Toronto",22,90,11,155,2,2,282,520
"Toronto--Danforth/Toronto--Danforth"," 144","Toronto",25,97,21,188,1,2,334,545
"Toronto--Danforth/Toronto--Danforth"," 145","Toronto",18,109,24,108,1,0,260,401
"Toronto--Danforth/Toronto--Danforth"," 146","Toronto",27,118,22,174,2,3,346,581
"Toronto--Danforth/Toronto--Danforth"," 147","Toronto",13,73,19,121,0,0,226,399
"Toronto--Danforth/Toronto--Danforth"," 148A","Toronto",17,68,14,140,0,0,239,381
"Toronto--Danforth/Toronto--Danforth"," 148B","Toronto",19,75,13,135,1,0,243,408
"Toronto--Danforth/Toronto--Danforth"," 149","Toronto",23,96,28,134,0,0,281,448
"Toronto--Danforth/Toronto--Danforth"," 150","Toronto",20,90,16,134,1,0,261,458
"Toronto--Danforth/Toronto--Danforth"," 151","Toronto",27,89,14,117,1,0,248,418
"Toronto--Danforth/Toronto--Danforth"," 152","Toronto",22,113,12,153,0,0,300,560
"Toronto--Danforth/Toronto--Danforth"," 153","Toronto",28,82,21,166,0,0,297,445
"Toronto--Danforth/Toronto--Danforth"," 154","Toronto",23,76,1,87,1,5,193,349
"Toronto--Danforth/Toronto--Danforth"," 155","Toronto",14,106,21,165,3,3,312,586
"Toronto--Danforth/Toronto--Danforth"," 156","Toronto",20,76,22,98,0,0,216,420
"Toronto--Danforth/Toronto--Danforth"," 157","Toronto",13,95,27,141,1,3,280,450
"Toronto--Danforth/Toronto--Danforth"," 158","Toronto",24,61,15,71,2,1,174,334
"Toronto--Danforth/Toronto--Danforth"," 159","Toronto",26,72,22,145,1,2,268,437
"Toronto--Danforth/Toronto--Danforth"," 160","Toronto",27,59,13,102,2,1,204,370
"Toronto--Danforth/Toronto--Danforth"," 161","Toronto",16,70,9,84,0,1,180,326
"Toronto--Danforth/Toronto--Danforth"," 162","Toronto",16,54,21,68,0,1,160,254
"Toronto--Danforth/Toronto--Danforth"," 163","Toronto",20,79,17,162,1,4,283,513
"Toronto--Danforth/Toronto--Danforth"," 164","Toronto",24,78,12,129,3,3,249,455
"Toronto--Danforth/Toronto--Danforth"," 165","Toronto",22,116,22,167,0,1,328,517
"Toronto--Danforth/Toronto--Danforth"," 166","Toronto",20,68,29,191,1,0,309,460
"Toronto--Danforth/Toronto--Danforth"," 167","Toronto",23,95,18,146,2,3,287,456
"Toronto--Danforth/Toronto--Danforth"," 168","Toronto",19,85,19,159,0,2,284,465
"Toronto--Danforth/Toronto--Danforth"," 169","Toronto",36,82,25,135,0,1,279,499
"Toronto--Danforth/Toronto--Danforth"," 170","Toronto",17,77,15,116,2,0,227,441
"Toronto--Danforth/Toronto--Danforth"," 171","Toronto",20,92,14,128,1,0,255,452
"Toronto--Danforth/Toronto--Danforth"," 172","Toronto",20,78,14,98,1,2,213,393
"Toronto--Danforth/Toronto--Danforth"," 173","Toronto",25,82,20,154,2,2,285,510
"Toronto--Danforth/Toronto--Danforth"," 174","Toronto",36,84,30,171,0,1,322,537
"Toronto--Danforth/Toronto--Danforth"," 175","Toronto",23,96,20,167,0,0,306,565
"Toronto--Danforth/Toronto--Danforth"," 176","Toronto",18,79,21,111,1,0,230,419
"Toronto--Danforth/Toronto--Danforth"," 177","Toronto",38,81,14,148,0,3,284,436
"Toronto--Danforth/Toronto--Danforth"," 178","Toronto",15,71,10,129,1,1,227,390
"Toronto--Danforth/Toronto--Danforth"," 179","Toronto",25,78,15,118,1,0,237,500
"Toronto--Danforth/Toronto--Danforth"," 180","Toronto",26,49,7,83,0,0,165,355
"Toronto--Danforth/Toronto--Danforth"," 400","Toronto",14,28,2,14,0,2,60,70
"Toronto--Danforth/Toronto--Danforth"," 401","Toronto",22,51,4,40,0,0,117,158
"Toronto--Danforth/Toronto--Danforth"," 600","Toronto",87,201,42,226,1,2,559,
"Toronto--Danforth/Toronto--Danforth"," 601","Toronto",100,218,40,264,1,1,624,
"Toronto--Danforth/Toronto--Danforth"," 602","Toronto",47,140,21,181,0,6,395,
"Toronto--Danforth/Toronto--Danforth"," 603","Toronto",66,176,50,399,3,1,695,
"Toronto--Danforth/Toronto--Danforth"," 604","Toronto",48,161,34,272,0,0,515,
"Toronto--Danforth/Toronto--Danforth"," 605","Toronto",69,220,43,384,4,8,728,
"Toronto--Danforth/Toronto--Danforth"," 606","Toronto",51,198,35,295,1,0,580,
"Toronto--Danforth/Toronto--Danforth"," 607","Toronto",40,146,38,284,1,1,510,
"Toronto--Danforth/Toronto--Danforth"," 608","Toronto",51,131,31,334,0,1,548,
"Toronto--Danforth/Toronto--Danforth",,Group 1/Groupe 1,12,38,3,36,0,2,91,145
"Toronto--Danforth/Toronto--Danforth",,Group 2/Groupe 2,79,294,84,596,2,7,1062,
