Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laura Chesnik,Joe Comartin,Bruck Easton,Rick Fuschi,Catherine Pluard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Windsor--Tecumseh/Windsor--Tecumseh"," 208","Tecumseh",2,72,66,82,3,1,226,379
"Windsor--Tecumseh/Windsor--Tecumseh"," 209","Tecumseh",1,55,70,42,5,3,176,288
"Windsor--Tecumseh/Windsor--Tecumseh"," 210","Tecumseh",2,124,95,139,9,4,373,539
"Windsor--Tecumseh/Windsor--Tecumseh"," 400","Windsor",1,140,75,57,7,4,284,409
"Windsor--Tecumseh/Windsor--Tecumseh"," 500A","Mobile poll/Bureau itinérant",4,23,27,22,5,4,85,31
"Windsor--Tecumseh/Windsor--Tecumseh"," 500B","Mobile poll/Bureau itinérant",2,24,21,8,2,2,59,90
"Windsor--Tecumseh/Windsor--Tecumseh"," 501","Mobile poll/Bureau itinérant",1,15,16,10,1,3,46,100
"Windsor--Tecumseh/Windsor--Tecumseh"," 502","Mobile poll/Bureau itinérant",2,33,51,19,0,1,106,156
"Windsor--Tecumseh/Windsor--Tecumseh"," 503","Mobile poll/Bureau itinérant",5,42,29,17,3,3,99,170
"Windsor--Tecumseh/Windsor--Tecumseh"," 600","Windsor",1,205,115,106,11,3,441,
"Windsor--Tecumseh/Windsor--Tecumseh"," 601","Windsor",1,224,186,173,12,2,598,
"Windsor--Tecumseh/Windsor--Tecumseh"," 602","Windsor",0,161,119,117,12,2,411,
"Windsor--Tecumseh/Windsor--Tecumseh"," 603","Windsor",2,262,175,220,22,4,685,
"Windsor--Tecumseh/Windsor--Tecumseh"," 604","Windsor",0,186,66,71,4,2,329,
"Windsor--Tecumseh/Windsor--Tecumseh"," 605","Windsor",1,145,53,56,9,1,265,
"Windsor--Tecumseh/Windsor--Tecumseh"," 606","Windsor",1,149,72,88,17,4,331,
"Windsor--Tecumseh/Windsor--Tecumseh"," 607","Windsor",1,200,117,147,12,1,478,
"Windsor--Tecumseh/Windsor--Tecumseh"," 608","Tecumseh",3,281,260,326,25,1,896,
"Windsor--Tecumseh/Windsor--Tecumseh"," 609","Tecumseh",0,85,104,107,4,1,301,
"Windsor--Tecumseh/Windsor--Tecumseh",,Group 1/Groupe 1,0,33,21,34,4,3,95,206
"Windsor--Tecumseh/Windsor--Tecumseh",,Group 2/Groupe 2,1,589,466,443,30,19,1548,
