Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pauline Browes,Peter Campbell,Mike Flanagan,Farooq Khan,John McKay,Andrew C. Thomas,Brenda Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Scarborough--Guildwood/Scarborough--Guildwood"," 1","Scarborough",59,36,5,3,187,0,1,2,293,632
"Scarborough--Guildwood/Scarborough--Guildwood"," 2","Scarborough",50,27,5,5,156,2,0,1,246,605
"Scarborough--Guildwood/Scarborough--Guildwood"," 3","Scarborough",54,27,1,1,198,0,2,3,286,594
"Scarborough--Guildwood/Scarborough--Guildwood"," 4","Scarborough",28,35,3,1,120,0,0,7,194,432
"Scarborough--Guildwood/Scarborough--Guildwood"," 5","Scarborough",18,11,1,1,65,0,0,0,96,250
"Scarborough--Guildwood/Scarborough--Guildwood"," 6","Scarborough",61,31,9,1,96,1,0,0,199,349
"Scarborough--Guildwood/Scarborough--Guildwood"," 7","Scarborough",70,25,7,2,118,0,3,1,226,385
"Scarborough--Guildwood/Scarborough--Guildwood"," 8","Scarborough",93,22,8,0,124,3,0,1,251,380
"Scarborough--Guildwood/Scarborough--Guildwood"," 9","Scarborough",102,29,8,0,95,0,0,2,236,355
"Scarborough--Guildwood/Scarborough--Guildwood"," 10","Scarborough",58,31,11,0,119,0,0,1,220,325
"Scarborough--Guildwood/Scarborough--Guildwood"," 11","Scarborough",93,43,4,0,185,1,1,4,331,511
"Scarborough--Guildwood/Scarborough--Guildwood"," 12","Scarborough",46,20,5,0,97,1,0,0,169,352
"Scarborough--Guildwood/Scarborough--Guildwood"," 13","Scarborough",63,19,7,2,124,0,0,0,215,372
"Scarborough--Guildwood/Scarborough--Guildwood"," 14","Scarborough",46,24,6,0,102,0,0,0,178,305
"Scarborough--Guildwood/Scarborough--Guildwood"," 15","Scarborough",71,45,13,0,100,1,0,0,230,388
"Scarborough--Guildwood/Scarborough--Guildwood"," 16","Scarborough",89,29,8,2,79,1,1,2,211,326
"Scarborough--Guildwood/Scarborough--Guildwood"," 17","Scarborough",108,33,4,0,305,0,1,0,451,758
"Scarborough--Guildwood/Scarborough--Guildwood"," 18","Scarborough",103,55,3,1,185,1,1,1,350,676
"Scarborough--Guildwood/Scarborough--Guildwood"," 19","Scarborough",72,33,8,1,125,1,0,0,240,418
"Scarborough--Guildwood/Scarborough--Guildwood"," 20","Scarborough",61,21,5,1,114,3,0,1,206,336
"Scarborough--Guildwood/Scarborough--Guildwood"," 21","Scarborough",76,27,5,0,105,0,0,1,214,349
"Scarborough--Guildwood/Scarborough--Guildwood"," 22","Scarborough",17,3,0,1,52,0,0,0,73,189
"Scarborough--Guildwood/Scarborough--Guildwood"," 23","Scarborough",24,11,0,0,101,0,0,2,138,366
"Scarborough--Guildwood/Scarborough--Guildwood"," 24","Scarborough",54,35,4,1,129,1,0,1,225,414
"Scarborough--Guildwood/Scarborough--Guildwood"," 25","Scarborough",77,28,12,4,143,1,0,1,266,416
"Scarborough--Guildwood/Scarborough--Guildwood"," 26","Scarborough",74,29,6,5,110,0,0,0,224,394
"Scarborough--Guildwood/Scarborough--Guildwood"," 27","Scarborough",52,25,2,0,108,0,0,0,187,291
"Scarborough--Guildwood/Scarborough--Guildwood"," 28","Scarborough",85,27,3,0,128,0,0,1,244,405
"Scarborough--Guildwood/Scarborough--Guildwood"," 29","Scarborough",76,38,16,0,123,0,0,1,254,409
"Scarborough--Guildwood/Scarborough--Guildwood"," 30","Scarborough",68,21,8,3,128,0,1,1,230,367
"Scarborough--Guildwood/Scarborough--Guildwood"," 31","Scarborough",62,56,5,1,106,1,1,3,235,409
"Scarborough--Guildwood/Scarborough--Guildwood"," 32","Scarborough",74,34,7,1,116,0,0,4,236,373
"Scarborough--Guildwood/Scarborough--Guildwood"," 33","Scarborough",66,40,11,2,178,0,1,2,300,521
