Political affiliation/Appartenance politique,N.L. Percentage of Valid Votes/Pourcentage des votes valides T.-N.-L.,P.E.I. Percentage of Valid Votes/Pourcentage des votes valides Î.-P.-É.,N.S. Percentage of Valid Votes/Pourcentage des votes valides N.-É.,N.B. Percentage of Valid Votes/Pourcentage des votes valides N.-B.,Que. Percentage of Valid Votes/Pourcentage des votes valides Qc,Ont. Percentage of Valid Votes/Pourcentage des votes valides Ont.,Man. Percentage of Valid Votes/Pourcentage des votes valides Man.,Sask. Percentage of Valid Votes/Pourcentage des votes valides Sask.,Alta. Percentage of Valid Votes/Pourcentage des votes valides Alb.,B.C. Percentage of Valid Votes/Pourcentage des votes valides C.-B.,Y.T. Percentage of Valid Votes/Pourcentage des votes valides Yn,N.W.T. Percentage of Valid Votes/Pourcentage des votes valides T.N.-O.,Nun. Percentage of Valid Votes/Pourcentage des votes valides Nt,Total
"Animal Alliance Environment Voters Party of Canada/Animal Alliance Environment Voters Party of Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bloc Québécois/Bloc Québécois",0,0,0,0,42.1,0,0,0,0,0,0,0,0,10.48
"Canadian Action Party/Parti action canadienne",0,0,0,0,0,0,0,0,.1,.1,0,0,0,.04
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",0,.1,.3,0,0,.3,.6,.2,.2,.2,0,0,0,.19
"Communist Party of Canada/Parti communiste du Canada",0,0,0,0,0,0,.1,0,0,0,0,0,0,.02
"Conservative Party of Canada/Parti conservateur du Canada",42.7,33.4,29.7,35.8,24.6,35.1,42.8,49,65,37.3,23.7,19.8,29.1,36.27
"First Peoples National Party of Canada/First Peoples National Party of Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,.01
"Green Party of Canada/Le Parti Vert du Canada",.9,3.9,2.6,2.4,4,4.7,3.9,3.2,6.5,5.3,4,2.1,5.9,4.48
"Liberal Party of Canada/Parti libéral du Canada",42.8,52.6,37.2,39.2,20.8,39.9,26,22.4,15.3,27.6,48.5,35,40,30.23
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,.02
"Marijuana Party/Parti Marijuana",0,.2,.1,0,.1,.1,0,0,0,.1,0,0,7.9,.06
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,.1,0,.1,.1,0,0,0,.1,0,0,0,.06
"New Democratic Party/Nouveau Parti Démocratique",13.6,9.6,29.9,21.9,7.5,19.4,25.4,24.1,11.7,28.5,23.9,42.2,17.2,17.48
"Progressive Canadian Party/Parti Progressiste Canadien",0,0,0,0,.1,.2,.2,0,0,0,0,0,0,.1
"Western Block Party/Western Block Party",0,0,0,0,0,0,0,0,0,0,0,0,0,.01
"Independent/Indépendant",0,.3,.3,.7,.9,.2,1.1,.2,1,.6,0,.9,0,.52
"No Affiliation/Aucune appartenance",0,0,0,0,0,0,0,1,0,0,0,0,0,.03
