Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymonde Folco,Alain Giguère,Qais Hamidi,Theodore Kouretas,Christiane Pichette,Polyvios Tsakanikas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Laval--Les Îles/Laval--Les Îles"," 100","Laval",86,21,30,1,47,0,4,189,356
"Laval--Les Îles/Laval--Les Îles"," 101","Laval",97,6,34,7,58,1,1,204,453
"Laval--Les Îles/Laval--Les Îles"," 102","Laval",58,8,25,6,88,1,3,189,384
"Laval--Les Îles/Laval--Les Îles"," 103","Laval",110,14,28,9,31,1,5,198,438
"Laval--Les Îles/Laval--Les Îles"," 104","Laval",53,13,19,8,51,3,1,148,338
"Laval--Les Îles/Laval--Les Îles"," 105","Laval",84,12,33,4,36,1,3,173,333
"Laval--Les Îles/Laval--Les Îles"," 106","Laval",107,10,43,1,46,0,0,207,384
"Laval--Les Îles/Laval--Les Îles"," 107","Laval",34,8,21,3,33,0,4,103,447
"Laval--Les Îles/Laval--Les Îles"," 108","Laval",147,17,50,3,54,0,0,271,435
"Laval--Les Îles/Laval--Les Îles"," 109A","Laval",128,20,54,10,49,0,4,265,530
"Laval--Les Îles/Laval--Les Îles"," 109B","Laval",132,18,58,6,45,0,1,260,506
"Laval--Les Îles/Laval--Les Îles"," 110","Laval",180,18,52,8,32,2,1,293,624
"Laval--Les Îles/Laval--Les Îles"," 111","Laval",165,18,34,6,13,3,6,245,455
"Laval--Les Îles/Laval--Les Îles"," 112","Laval",106,11,11,9,15,3,0,155,328
"Laval--Les Îles/Laval--Les Îles"," 113","Laval",162,18,35,10,9,3,1,238,464
"Laval--Les Îles/Laval--Les Îles"," 114","Laval",112,17,38,3,27,2,0,199,463
"Laval--Les Îles/Laval--Les Îles"," 115","Laval",171,18,49,4,68,2,3,315,558
"Laval--Les Îles/Laval--Les Îles"," 116","Laval",103,17,46,3,27,0,4,200,459
"Laval--Les Îles/Laval--Les Îles"," 117","Laval",98,20,33,4,64,1,6,226,495
"Laval--Les Îles/Laval--Les Îles"," 118","Laval",101,11,40,11,58,0,2,223,508
"Laval--Les Îles/Laval--Les Îles"," 119","Laval",157,12,26,4,8,0,4,211,384
"Laval--Les Îles/Laval--Les Îles"," 120","Laval",156,13,33,8,19,2,2,233,465
"Laval--Les Îles/Laval--Les Îles"," 121","Laval",115,15,37,4,12,1,4,188,376
"Laval--Les Îles/Laval--Les Îles"," 122","Laval",145,22,29,12,24,4,5,241,424
"Laval--Les Îles/Laval--Les Îles"," 123","Laval",115,12,15,4,7,1,2,156,356
"Laval--Les Îles/Laval--Les Îles"," 124","Laval",108,10,10,4,10,3,2,147,387
"Laval--Les Îles/Laval--Les Îles"," 125","Laval",97,3,38,3,10,2,1,154,310
"Laval--Les Îles/Laval--Les Îles"," 126","Laval",126,11,30,2,8,3,1,181,384
"Laval--Les Îles/Laval--Les Îles"," 127","Laval",160,16,37,9,8,2,0,232,438
"Laval--Les Îles/Laval--Les Îles"," 128","Laval",145,7,27,2,6,1,1,189,425
"Laval--Les Îles/Laval--Les Îles"," 129","Laval",131,15,25,6,3,3,2,185,409
"Laval--Les Îles/Laval--Les Îles"," 130","Laval",115,4,27,8,4,2,2,162,369
"Laval--Les Îles/Laval--Les Îles"," 131","Laval",114,8,19,5,5,3,0,154,328
"Laval--Les Îles/Laval--Les Îles"," 132","Laval",135,13,13,0,25,4,7,197,381
"Laval--Les Îles/Laval--Les Îles"," 133","Laval",116,14,27,3,15,3,1,179,374
"Laval--Les Îles/Laval--Les Îles"," 134","Laval",120,22,34,9,22,2,3,212,507
"Laval--Les Îles/Laval--Les Îles"," 135","Laval",186,16,32,5,9,10,6,264,506
"Laval--Les Îles/Laval--Les Îles"," 136","Laval",135,5,24,5,25,2,2,198,507
"Laval--Les Îles/Laval--Les Îles"," 137","Laval",135,10,29,4,9,0,5,192,395
"Laval--Les Îles/Laval--Les Îles"," 138","Laval",141,13,41,1,18,2,2,218,407
"Laval--Les Îles/Laval--Les Îles"," 139","Laval",160,13,29,9,8,0,4,223,480
"Laval--Les Îles/Laval--Les Îles"," 140","Laval",140,13,25,5,14,0,24,221,415
"Laval--Les Îles/Laval--Les Îles"," 141","Laval",133,19,23,2,17,0,7,201,420
"Laval--Les Îles/Laval--Les Îles"," 142","Laval",157,10,22,4,7,1,0,201,383
"Laval--Les Îles/Laval--Les Îles"," 143","Laval",158,11,26,5,6,0,0,206,435
"Laval--Les Îles/Laval--Les Îles"," 144","Laval",125,22,23,5,11,2,2,190,379
"Laval--Les Îles/Laval--Les Îles"," 145","Laval",163,10,41,4,5,0,1,224,446
"Laval--Les Îles/Laval--Les Îles"," 146","Laval",153,28,22,4,5,0,0,212,432
"Laval--Les Îles/Laval--Les Îles"," 147","Laval",193,12,24,4,6,3,3,245,451
"Laval--Les Îles/Laval--Les Îles"," 148","Laval",157,20,38,4,11,0,3,233,480
"Laval--Les Îles/Laval--Les Îles"," 149","Laval",165,15,30,5,14,1,3,233,457
"Laval--Les Îles/Laval--Les Îles"," 150","Laval",156,19,39,10,9,7,2,242,496
"Laval--Les Îles/Laval--Les Îles"," 151","Laval",112,7,32,7,24,2,3,187,468
"Laval--Les Îles/Laval--Les Îles"," 152","Laval",184,16,41,13,12,2,1,269,538
"Laval--Les Îles/Laval--Les Îles"," 153","Laval",92,15,32,5,34,2,1,181,346
"Laval--Les Îles/Laval--Les Îles"," 154","Laval",91,9,40,13,96,1,5,255,448
"Laval--Les Îles/Laval--Les Îles"," 155","Laval",51,19,27,2,60,1,0,160,316
"Laval--Les Îles/Laval--Les Îles"," 156","Laval",47,6,7,5,38,0,4,107,191
"Laval--Les Îles/Laval--Les Îles"," 157","Laval",103,15,29,3,50,2,4,206,417
"Laval--Les Îles/Laval--Les Îles"," 158","Laval",121,20,37,5,31,0,0,214,371
"Laval--Les Îles/Laval--Les Îles"," 159","Laval",128,20,33,4,63,0,4,252,512
"Laval--Les Îles/Laval--Les Îles"," 160","Laval",99,14,49,9,60,2,2,235,445
"Laval--Les Îles/Laval--Les Îles"," 161","Laval",112,20,31,2,38,1,6,210,425
"Laval--Les Îles/Laval--Les Îles"," 162","Laval",80,13,55,6,76,0,1,231,423
"Laval--Les Îles/Laval--Les Îles"," 163","Laval",181,17,43,11,28,1,1,282,575
"Laval--Les Îles/Laval--Les Îles"," 164","Laval",78,20,57,7,49,0,3,214,438
"Laval--Les Îles/Laval--Les Îles"," 165","Laval",73,10,80,10,32,0,2,207,398
"Laval--Les Îles/Laval--Les Îles"," 166","Laval",124,27,46,5,21,2,0,225,425
"Laval--Les Îles/Laval--Les Îles"," 167","Laval",40,9,38,1,35,0,3,126,259
"Laval--Les Îles/Laval--Les Îles"," 168","Laval",99,19,83,6,92,0,6,305,437
"Laval--Les Îles/Laval--Les Îles"," 169","Laval",70,10,37,0,43,0,1,161,280
"Laval--Les Îles/Laval--Les Îles"," 170","Laval",46,3,27,0,35,1,4,116,172
"Laval--Les Îles/Laval--Les Îles"," 171","Laval",107,14,25,7,44,2,5,204,471
"Laval--Les Îles/Laval--Les Îles"," 172","Laval",120,15,63,7,77,0,4,286,537
"Laval--Les Îles/Laval--Les Îles"," 173","Laval",98,3,27,9,44,0,1,182,359
"Laval--Les Îles/Laval--Les Îles"," 174A","Laval",82,16,44,12,77,0,0,231,416
"Laval--Les Îles/Laval--Les Îles"," 174B","Laval",129,22,44,6,60,1,2,264,481
"Laval--Les Îles/Laval--Les Îles"," 174C","Laval",112,36,50,3,40,0,0,241,434
"Laval--Les Îles/Laval--Les Îles"," 175","Laval",179,33,62,7,83,1,2,367,662
"Laval--Les Îles/Laval--Les Îles"," 176A","Laval",104,14,33,2,44,0,0,197,387
"Laval--Les Îles/Laval--Les Îles"," 176B","Laval",118,21,34,7,38,0,3,221,398
"Laval--Les Îles/Laval--Les Îles"," 177","Laval",126,17,50,11,60,0,0,264,518
"Laval--Les Îles/Laval--Les Îles"," 178","Laval",121,21,59,5,73,0,2,281,480
"Laval--Les Îles/Laval--Les Îles"," 179","Laval",84,20,48,5,142,0,2,301,459
"Laval--Les Îles/Laval--Les Îles"," 180","Laval",76,10,33,5,64,0,0,188,371
"Laval--Les Îles/Laval--Les Îles"," 181","Laval",69,32,45,6,127,0,4,283,434
"Laval--Les Îles/Laval--Les Îles"," 182","Laval",37,10,16,5,70,1,3,142,356
"Laval--Les Îles/Laval--Les Îles"," 183","Laval",58,9,25,5,61,1,2,161,300
"Laval--Les Îles/Laval--Les Îles"," 184","Laval",90,28,55,5,134,0,6,318,496
"Laval--Les Îles/Laval--Les Îles"," 185","Laval",73,11,37,5,99,1,5,231,393
"Laval--Les Îles/Laval--Les Îles"," 186","Laval",43,6,24,6,86,0,2,167,357
"Laval--Les Îles/Laval--Les Îles"," 187","Laval",100,11,48,2,43,2,2,208,397
"Laval--Les Îles/Laval--Les Îles"," 188","Laval",56,21,45,10,131,0,4,267,413
"Laval--Les Îles/Laval--Les Îles"," 189","Laval",76,17,62,9,63,0,0,227,423
"Laval--Les Îles/Laval--Les Îles"," 190","Laval",62,22,41,3,58,0,2,188,331
"Laval--Les Îles/Laval--Les Îles"," 191","Laval",198,13,84,9,77,2,0,383,689
"Laval--Les Îles/Laval--Les Îles"," 400","Laval",22,4,11,0,20,0,5,62,268
"Laval--Les Îles/Laval--Les Îles"," 401","Laval",119,22,71,11,90,1,2,316,462
"Laval--Les Îles/Laval--Les Îles"," 402","Laval",67,9,57,4,45,0,0,182,315
"Laval--Les Îles/Laval--Les Îles"," 600","Laval",223,40,84,22,282,1,9,661,
"Laval--Les Îles/Laval--Les Îles"," 601","Laval",152,29,111,6,210,1,7,516,
"Laval--Les Îles/Laval--Les Îles"," 602","Laval",102,26,90,15,194,1,8,436,
"Laval--Les Îles/Laval--Les Îles"," 603","Laval",158,30,97,7,169,0,8,469,
"Laval--Les Îles/Laval--Les Îles"," 604","Laval",197,40,164,12,288,1,7,709,
"Laval--Les Îles/Laval--Les Îles"," 605","Laval",116,13,48,9,85,1,5,277,
"Laval--Les Îles/Laval--Les Îles"," 606","Laval",225,22,106,13,97,1,8,472,
"Laval--Les Îles/Laval--Les Îles"," 607","Laval",240,8,57,10,20,2,1,338,
"Laval--Les Îles/Laval--Les Îles"," 608","Laval",394,24,57,10,29,0,2,516,
"Laval--Les Îles/Laval--Les Îles"," 609","Laval",271,24,106,7,86,0,4,498,
"Laval--Les Îles/Laval--Les Îles"," 610","Laval",250,27,148,8,196,0,12,641,
"Laval--Les Îles/Laval--Les Îles",,Group 1/Groupe 1,25,1,16,2,20,1,3,68,124
"Laval--Les Îles/Laval--Les Îles",,Group 2/Groupe 2,1034,56,203,13,387,2,18,1713,
