Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steve Armstrong,Gord Brown,Bob Eaton,David Lee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Leeds--Grenville/Leeds--Grenville"," 36","Leeds and the Thousand Islands",31,91,59,15,0,196,370
"Leeds--Grenville/Leeds--Grenville"," 37","Leeds and the Thousand Islands",27,79,69,8,0,183,310
"Leeds--Grenville/Leeds--Grenville"," 38","Leeds and the Thousand Islands",38,105,59,11,0,213,380
"Leeds--Grenville/Leeds--Grenville"," 39","Leeds and the Thousand Islands",36,90,79,16,0,221,404
"Leeds--Grenville/Leeds--Grenville"," 40","Leeds and the Thousand Islands",26,57,47,7,1,138,225
"Leeds--Grenville/Leeds--Grenville"," 41","Leeds and the Thousand Islands",36,88,59,13,0,196,314
"Leeds--Grenville/Leeds--Grenville"," 42","Gananoque",54,126,79,16,0,275,512
"Leeds--Grenville/Leeds--Grenville"," 43","Gananoque",30,86,63,12,0,191,341
"Leeds--Grenville/Leeds--Grenville"," 44","Gananoque",29,53,39,10,0,131,252
"Leeds--Grenville/Leeds--Grenville"," 45","Gananoque",22,47,36,12,0,117,244
"Leeds--Grenville/Leeds--Grenville"," 46","Gananoque",26,78,45,9,1,159,345
"Leeds--Grenville/Leeds--Grenville"," 47","Gananoque",29,52,29,7,0,117,250
"Leeds--Grenville/Leeds--Grenville"," 48","Gananoque",25,53,36,10,0,124,259
"Leeds--Grenville/Leeds--Grenville"," 49","Gananoque",41,133,69,4,0,247,447
"Leeds--Grenville/Leeds--Grenville"," 50","Gananoque",43,107,71,12,0,233,382
"Leeds--Grenville/Leeds--Grenville"," 51","Gananoque",37,76,65,21,0,199,373
"Leeds--Grenville/Leeds--Grenville"," 52","Gananoque",43,91,68,20,0,222,390
"Leeds--Grenville/Leeds--Grenville"," 53","Gananoque",27,131,74,11,1,244,369
"Leeds--Grenville/Leeds--Grenville"," 54","Athens",33,164,54,16,1,268,437
"Leeds--Grenville/Leeds--Grenville"," 55","Athens",24,128,32,6,1,191,312
"Leeds--Grenville/Leeds--Grenville"," 56","Athens",46,167,51,12,1,277,427
"Leeds--Grenville/Leeds--Grenville"," 57","Athens",54,215,75,21,0,365,586
"Leeds--Grenville/Leeds--Grenville"," 58A","Athens",48,146,65,18,2,279,470
"Leeds--Grenville/Leeds--Grenville"," 58B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,60
"Leeds--Grenville/Leeds--Grenville"," 59","Front of Yonge",18,69,21,8,0,116,226
"Leeds--Grenville/Leeds--Grenville"," 60","Front of Yonge",28,86,38,13,2,167,333
"Leeds--Grenville/Leeds--Grenville"," 61","Front of Yonge",62,120,69,24,1,276,435
"Leeds--Grenville/Leeds--Grenville"," 62","Front of Yonge",78,203,114,26,3,424,663
"Leeds--Grenville/Leeds--Grenville"," 63","Front of Yonge",38,94,62,10,1,205,327
"Leeds--Grenville/Leeds--Grenville"," 64","Elizabethtown-Kitley",27,130,38,8,1,204,290
"Leeds--Grenville/Leeds--Grenville"," 65","Elizabethtown-Kitley",54,197,32,12,3,298,444
"Leeds--Grenville/Leeds--Grenville"," 66","Elizabethtown-Kitley",21,99,18,3,0,141,200
"Leeds--Grenville/Leeds--Grenville"," 67","Elizabethtown-Kitley",52,215,56,18,0,341,487
"Leeds--Grenville/Leeds--Grenville"," 68","Elizabethtown-Kitley",33,170,46,15,1,265,351
"Leeds--Grenville/Leeds--Grenville"," 69","Elizabethtown-Kitley",45,180,53,15,1,294,423
"Leeds--Grenville/Leeds--Grenville"," 70","Elizabethtown-Kitley",18,76,25,9,0,128,205
"Leeds--Grenville/Leeds--Grenville"," 71","Elizabethtown-Kitley",61,120,59,17,2,259,412
"Leeds--Grenville/Leeds--Grenville"," 72","Elizabethtown-Kitley",46,121,53,8,0,228,348
"Leeds--Grenville/Leeds--Grenville"," 73","Elizabethtown-Kitley",20,110,63,14,2,209,326
"Leeds--Grenville/Leeds--Grenville"," 74","Elizabethtown-Kitley",21,127,52,13,1,214,353
"Leeds--Grenville/Leeds--Grenville"," 75","Elizabethtown-Kitley",56,169,93,9,0,327,476
"Leeds--Grenville/Leeds--Grenville"," 76","Elizabethtown-Kitley",39,99,33,13,0,184,339
"Leeds--Grenville/Leeds--Grenville"," 77","Elizabethtown-Kitley",54,115,72,20,0,261,418
"Leeds--Grenville/Leeds--Grenville"," 78","Elizabethtown-Kitley",33,119,35,15,0,202,354
"Leeds--Grenville/Leeds--Grenville"," 79","Elizabethtown-Kitley",30,126,74,18,2,250,438
"Leeds--Grenville/Leeds--Grenville"," 80","Elizabethtown-Kitley",44,92,103,6,0,245,398
"Leeds--Grenville/Leeds--Grenville"," 81","Elizabethtown-Kitley",48,110,69,19,1,247,407
"Leeds--Grenville/Leeds--Grenville"," 82","Elizabethtown-Kitley",31,118,80,14,2,245,375
"Leeds--Grenville/Leeds--Grenville"," 83","Brockville",6,66,30,8,0,110,189
"Leeds--Grenville/Leeds--Grenville"," 84","Brockville",35,90,47,11,1,184,401
"Leeds--Grenville/Leeds--Grenville"," 85","Brockville",43,102,80,10,2,237,362
"Leeds--Grenville/Leeds--Grenville"," 86","Brockville",38,139,77,11,0,265,442
"Leeds--Grenville/Leeds--Grenville"," 87","Brockville",30,48,34,5,1,118,348
"Leeds--Grenville/Leeds--Grenville"," 88","Brockville",36,93,74,8,3,214,385
"Leeds--Grenville/Leeds--Grenville"," 89","Brockville",34,78,43,3,0,158,361
"Leeds--Grenville/Leeds--Grenville"," 90","Brockville",24,96,53,11,0,184,305
"Leeds--Grenville/Leeds--Grenville"," 91","Brockville",45,141,91,14,0,291,442
"Leeds--Grenville/Leeds--Grenville"," 92","Brockville",25,53,61,5,1,145,238
"Leeds--Grenville/Leeds--Grenville"," 93","Brockville",35,167,99,14,1,316,472
"Leeds--Grenville/Leeds--Grenville"," 94","Brockville",40,116,89,17,0,262,398
"Leeds--Grenville/Leeds--Grenville"," 95","Brockville",51,73,69,12,1,206,372
"Leeds--Grenville/Leeds--Grenville"," 96","Brockville",53,154,103,10,1,321,580
"Leeds--Grenville/Leeds--Grenville"," 97","Brockville",39,125,54,18,2,238,447
"Leeds--Grenville/Leeds--Grenville"," 98","Brockville",32,72,31,4,0,139,220
"Leeds--Grenville/Leeds--Grenville"," 99","Brockville",42,83,62,15,0,202,347
"Leeds--Grenville/Leeds--Grenville"," 100","Brockville",41,92,70,9,3,215,392
"Leeds--Grenville/Leeds--Grenville"," 101","Brockville",51,88,44,5,0,188,355
"Leeds--Grenville/Leeds--Grenville"," 102","Brockville",59,142,82,10,2,295,487
"Leeds--Grenville/Leeds--Grenville"," 103","Brockville",34,110,46,10,0,200,375
"Leeds--Grenville/Leeds--Grenville"," 104","Brockville",29,70,31,9,0,139,223
"Leeds--Grenville/Leeds--Grenville"," 105","Brockville",27,113,59,8,1,208,347
"Leeds--Grenville/Leeds--Grenville"," 106","Brockville",41,89,89,14,2,235,377
"Leeds--Grenville/Leeds--Grenville"," 107","Brockville",21,79,44,10,0,154,266
"Leeds--Grenville/Leeds--Grenville"," 108","Brockville",23,56,21,10,0,110,209
"Leeds--Grenville/Leeds--Grenville"," 109","Brockville",18,106,51,3,0,178,333
"Leeds--Grenville/Leeds--Grenville"," 110","Brockville",45,74,50,16,0,185,400
"Leeds--Grenville/Leeds--Grenville"," 111","Brockville",69,62,64,19,0,214,401
"Leeds--Grenville/Leeds--Grenville"," 112","Brockville",27,70,37,3,0,137,267
"Leeds--Grenville/Leeds--Grenville"," 113","Brockville",34,87,48,18,0,187,375
"Leeds--Grenville/Leeds--Grenville"," 114","Brockville",27,59,37,10,0,133,273
"Leeds--Grenville/Leeds--Grenville"," 115","Brockville",42,92,66,8,1,209,408
"Leeds--Grenville/Leeds--Grenville"," 116","Brockville",33,66,59,3,0,161,332
"Leeds--Grenville/Leeds--Grenville"," 117","Brockville",27,65,45,7,1,145,281
"Leeds--Grenville/Leeds--Grenville"," 118","Brockville",29,44,20,6,0,99,257
"Leeds--Grenville/Leeds--Grenville"," 119","Brockville",25,65,38,10,0,138,278
"Leeds--Grenville/Leeds--Grenville"," 120","Brockville",30,78,39,6,2,155,313
"Leeds--Grenville/Leeds--Grenville"," 121","Brockville",28,53,52,15,1,149,319
"Leeds--Grenville/Leeds--Grenville"," 122","Brockville",30,91,72,10,0,203,296
"Leeds--Grenville/Leeds--Grenville"," 123","Brockville",43,117,81,17,0,258,397
"Leeds--Grenville/Leeds--Grenville"," 124","Brockville",35,117,70,24,1,247,445
"Leeds--Grenville/Leeds--Grenville"," 125","Brockville",33,70,32,14,0,149,248
"Leeds--Grenville/Leeds--Grenville"," 126","Brockville",31,89,56,9,0,185,397
"Leeds--Grenville/Leeds--Grenville"," 127","Brockville",14,67,80,16,0,177,343
"Leeds--Grenville/Leeds--Grenville"," 128","Brockville",29,89,66,19,1,204,383
"Leeds--Grenville/Leeds--Grenville"," 129","Brockville",28,121,97,9,2,257,420
"Leeds--Grenville/Leeds--Grenville"," 130","Merrickville-Wolford",58,233,63,16,0,370,544
"Leeds--Grenville/Leeds--Grenville"," 131","Merrickville-Wolford",50,218,59,37,0,364,555
"Leeds--Grenville/Leeds--Grenville"," 132","Merrickville-Wolford",58,167,79,40,4,348,444
"Leeds--Grenville/Leeds--Grenville"," 133","Merrickville-Wolford",56,117,73,26,0,272,388
"Leeds--Grenville/Leeds--Grenville"," 134","Merrickville-Wolford",48,137,28,27,0,240,363
"Leeds--Grenville/Leeds--Grenville"," 135","Augusta",32,75,9,2,0,118,203
"Leeds--Grenville/Leeds--Grenville"," 136","Augusta",29,103,34,7,0,173,260
"Leeds--Grenville/Leeds--Grenville"," 137","Augusta",44,110,29,20,0,203,317
"Leeds--Grenville/Leeds--Grenville"," 138","Augusta",42,156,40,14,2,254,422
"Leeds--Grenville/Leeds--Grenville"," 139","Augusta",37,146,57,15,1,256,405
"Leeds--Grenville/Leeds--Grenville"," 140","Augusta",50,165,64,13,1,293,473
"Leeds--Grenville/Leeds--Grenville"," 141","Augusta",42,147,57,15,0,261,419
"Leeds--Grenville/Leeds--Grenville"," 142","Augusta",46,109,59,9,1,224,409
"Leeds--Grenville/Leeds--Grenville"," 143","Augusta",44,186,86,17,0,333,556
"Leeds--Grenville/Leeds--Grenville"," 144","Augusta",31,172,53,1,0,257,389
"Leeds--Grenville/Leeds--Grenville"," 145","Augusta",16,101,49,8,0,174,285
"Leeds--Grenville/Leeds--Grenville"," 146","Augusta",36,189,86,19,0,330,476
"Leeds--Grenville/Leeds--Grenville"," 147","Augusta",54,140,106,15,0,315,435
"Leeds--Grenville/Leeds--Grenville"," 148","Augusta",33,154,59,15,0,261,412
"Leeds--Grenville/Leeds--Grenville"," 149","Prescott",46,120,64,10,2,242,465
"Leeds--Grenville/Leeds--Grenville"," 150","Prescott",29,72,37,3,1,142,340
"Leeds--Grenville/Leeds--Grenville"," 151","Prescott",18,112,59,6,0,195,365
"Leeds--Grenville/Leeds--Grenville"," 152","Prescott",42,91,74,22,1,230,438
"Leeds--Grenville/Leeds--Grenville"," 153","Prescott",28,81,63,5,0,177,374
"Leeds--Grenville/Leeds--Grenville"," 154","Prescott",23,97,50,5,1,176,336
"Leeds--Grenville/Leeds--Grenville"," 155","Prescott",32,106,49,9,2,198,388
"Leeds--Grenville/Leeds--Grenville"," 156","Prescott",22,115,58,8,0,203,375
"Leeds--Grenville/Leeds--Grenville"," 157","North Grenville",39,145,46,36,0,266,389
"Leeds--Grenville/Leeds--Grenville"," 158","North Grenville",65,143,77,31,0,316,526
"Leeds--Grenville/Leeds--Grenville"," 159","North Grenville",41,151,46,39,2,279,392
"Leeds--Grenville/Leeds--Grenville"," 160","North Grenville",37,148,55,21,1,262,448
"Leeds--Grenville/Leeds--Grenville"," 161","North Grenville",44,133,40,19,0,236,338
"Leeds--Grenville/Leeds--Grenville"," 162","North Grenville",37,136,43,28,1,245,364
"Leeds--Grenville/Leeds--Grenville"," 163","North Grenville",44,167,54,21,0,286,474
"Leeds--Grenville/Leeds--Grenville"," 164","North Grenville",41,174,86,21,0,322,626
"Leeds--Grenville/Leeds--Grenville"," 165","North Grenville",13,56,35,8,0,112,210
"Leeds--Grenville/Leeds--Grenville"," 166","North Grenville",22,150,52,20,1,245,397
"Leeds--Grenville/Leeds--Grenville"," 167","North Grenville",21,87,26,17,1,152,268
"Leeds--Grenville/Leeds--Grenville"," 168","North Grenville",42,104,36,22,0,204,347
"Leeds--Grenville/Leeds--Grenville"," 169","North Grenville",34,129,38,19,1,221,417
"Leeds--Grenville/Leeds--Grenville"," 170","North Grenville",8,91,42,6,1,148,256
"Leeds--Grenville/Leeds--Grenville"," 171","North Grenville",39,101,55,10,2,207,344
"Leeds--Grenville/Leeds--Grenville"," 172","North Grenville",27,96,53,8,0,184,311
"Leeds--Grenville/Leeds--Grenville"," 173","North Grenville",18,106,34,10,0,168,266
"Leeds--Grenville/Leeds--Grenville"," 174","North Grenville",27,135,50,17,1,230,383
"Leeds--Grenville/Leeds--Grenville"," 175","North Grenville",30,160,46,18,0,254,415
"Leeds--Grenville/Leeds--Grenville"," 176","North Grenville",23,166,63,19,0,271,415
"Leeds--Grenville/Leeds--Grenville"," 177","North Grenville",28,185,35,20,0,268,379
"Leeds--Grenville/Leeds--Grenville"," 178","North Grenville",63,176,69,27,0,335,532
"Leeds--Grenville/Leeds--Grenville"," 179","North Grenville",21,156,49,10,1,237,337
"Leeds--Grenville/Leeds--Grenville"," 180","North Grenville",46,189,90,23,2,350,465
"Leeds--Grenville/Leeds--Grenville"," 181","North Grenville",29,180,66,15,0,290,446
"Leeds--Grenville/Leeds--Grenville"," 182","North Grenville",45,192,44,27,0,308,480
"Leeds--Grenville/Leeds--Grenville"," 183","Edwardsburgh/Cardinal",25,156,47,11,0,239,413
"Leeds--Grenville/Leeds--Grenville"," 184","Edwardsburgh/Cardinal",53,153,70,19,0,295,479
"Leeds--Grenville/Leeds--Grenville"," 185","Edwardsburgh/Cardinal",10,60,21,14,2,107,199
"Leeds--Grenville/Leeds--Grenville"," 186","Edwardsburgh/Cardinal",32,68,23,10,0,133,246
"Leeds--Grenville/Leeds--Grenville"," 187","Edwardsburgh/Cardinal",44,187,49,25,0,305,462
"Leeds--Grenville/Leeds--Grenville"," 188","Edwardsburgh/Cardinal",30,87,30,7,2,156,269
"Leeds--Grenville/Leeds--Grenville"," 189","Edwardsburgh/Cardinal",31,110,31,11,0,183,309
"Leeds--Grenville/Leeds--Grenville"," 190","Edwardsburgh/Cardinal",25,104,45,9,1,184,289
"Leeds--Grenville/Leeds--Grenville"," 191","Edwardsburgh/Cardinal",50,165,80,15,0,310,422
"Leeds--Grenville/Leeds--Grenville"," 192","Edwardsburgh/Cardinal",27,104,42,9,0,182,284
"Leeds--Grenville/Leeds--Grenville"," 193","Edwardsburgh/Cardinal",24,76,26,5,0,131,233
"Leeds--Grenville/Leeds--Grenville"," 194","Edwardsburgh/Cardinal",49,177,44,12,0,282,465
"Leeds--Grenville/Leeds--Grenville"," 195","Edwardsburgh/Cardinal",51,176,69,22,0,318,521
"Leeds--Grenville/Leeds--Grenville"," 196","Edwardsburgh/Cardinal",36,159,48,5,1,249,366
"Leeds--Grenville/Leeds--Grenville"," 500","Mobile poll/Bureau itinérant",10,99,19,2,0,130,179
"Leeds--Grenville/Leeds--Grenville"," 501","Mobile poll/Bureau itinérant",7,41,32,1,3,84,91
"Leeds--Grenville/Leeds--Grenville"," 502","Mobile poll/Bureau itinérant",13,72,30,3,0,118,277
"Leeds--Grenville/Leeds--Grenville"," 503","Mobile poll/Bureau itinérant",11,39,43,3,3,99,196
"Leeds--Grenville/Leeds--Grenville"," 600","Westport--Rideau Lakes",53,373,100,28,0,554,
"Leeds--Grenville/Leeds--Grenville"," 601","Leeds and Thousand Islands",39,233,113,15,3,403,
"Leeds--Grenville/Leeds--Grenville"," 602","Gananoque",32,202,58,20,2,314,
"Leeds--Grenville/Leeds--Grenville"," 603","Athens--Front of Yonge",35,195,49,11,0,290,
"Leeds--Grenville/Leeds--Grenville"," 604","Elizabethtown-Kitley",61,333,126,30,4,554,
"Leeds--Grenville/Leeds--Grenville"," 605","Brockville",64,434,154,26,1,679,
"Leeds--Grenville/Leeds--Grenville"," 606","Brockville",51,396,225,30,5,707,
"Leeds--Grenville/Leeds--Grenville"," 607","Augusta--Merrickville-Wolford",51,361,83,17,1,513,
"Leeds--Grenville/Leeds--Grenville"," 608","Prescott",33,239,108,18,1,399,
"Leeds--Grenville/Leeds--Grenville"," 609","North Grenville",81,870,158,51,2,1162,
"Leeds--Grenville/Leeds--Grenville"," 610","Edwardsburgh/Cardinal",42,262,55,17,0,376,
"Leeds--Grenville/Leeds--Grenville",,Group 1/Groupe 1,19,77,57,9,3,165,329
"Leeds--Grenville/Leeds--Grenville",,Group 2/Groupe 2,135,1016,471,70,19,1711,
