Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Irwin Cotler,Neil Martin Drabkin,Guillaume Dussault,Diane Johnston,Damien Pichereau,Nicolas R. Thibodeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Mount Royal/Mont-Royal"," 1","Mont-Royal",123,41,11,0,9,11,1,196,412
"Mount Royal/Mont-Royal"," 2","Mont-Royal",72,44,9,0,6,3,0,134,308
"Mount Royal/Mont-Royal"," 3","Mont-Royal",74,37,11,0,4,8,0,134,305
"Mount Royal/Mont-Royal"," 4","Mont-Royal",118,28,8,1,12,17,3,187,348
"Mount Royal/Mont-Royal"," 5","Mont-Royal",76,38,26,0,7,29,2,178,333
"Mount Royal/Mont-Royal"," 6","Mont-Royal",91,40,40,0,17,38,3,229,399
"Mount Royal/Mont-Royal"," 7","Mont-Royal",37,19,8,0,6,16,2,88,198
"Mount Royal/Mont-Royal"," 8A","Mont-Royal",126,53,41,1,18,24,1,264,428
"Mount Royal/Mont-Royal"," 8B","Mont-Royal",107,53,26,0,22,22,1,231,471
"Mount Royal/Mont-Royal"," 9","Mont-Royal",107,47,32,0,23,18,0,227,377
"Mount Royal/Mont-Royal"," 10","Mont-Royal",91,50,44,1,16,43,0,245,481
"Mount Royal/Mont-Royal"," 11","Mont-Royal",94,65,40,0,28,42,1,270,436
"Mount Royal/Mont-Royal"," 12","Mont-Royal",77,37,40,0,24,25,1,204,367
"Mount Royal/Mont-Royal"," 13","Mont-Royal",70,36,25,0,11,12,2,156,293
"Mount Royal/Mont-Royal"," 14","Mont-Royal",160,96,74,1,35,50,1,417,412
"Mount Royal/Mont-Royal"," 15","Mont-Royal",Merged with No. 14/Fusionné avec le nº 14,,,,,,,,405
"Mount Royal/Mont-Royal"," 16","Mont-Royal",128,60,20,1,9,15,0,233,410
"Mount Royal/Mont-Royal"," 17","Mont-Royal",167,68,34,0,32,27,0,328,570
"Mount Royal/Mont-Royal"," 18A","Mont-Royal",143,37,15,0,10,23,1,229,555
"Mount Royal/Mont-Royal"," 18B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,171
"Mount Royal/Mont-Royal"," 19","Mont-Royal",76,18,9,0,4,16,1,124,436
"Mount Royal/Mont-Royal"," 20","Mont-Royal",97,36,14,0,6,13,0,166,320
"Mount Royal/Mont-Royal"," 21","Mont-Royal",96,57,40,1,16,30,1,241,407
"Mount Royal/Mont-Royal"," 22","Mont-Royal",66,30,38,0,26,30,3,193,378
"Mount Royal/Mont-Royal"," 23","Mont-Royal",80,42,15,1,8,26,4,176,425
"Mount Royal/Mont-Royal"," 24","Mont-Royal",118,54,30,0,14,30,1,247,423
"Mount Royal/Mont-Royal"," 25","Mont-Royal",78,40,15,1,12,16,3,165,337
"Mount Royal/Mont-Royal"," 26","Mont-Royal",103,55,20,0,19,26,1,224,408
"Mount Royal/Mont-Royal"," 27","Mont-Royal",107,45,21,0,13,7,0,193,315
"Mount Royal/Mont-Royal"," 28","Mont-Royal",112,35,20,1,11,20,1,200,365
"Mount Royal/Mont-Royal"," 29","Mont-Royal",81,33,10,1,4,16,0,145,344
"Mount Royal/Mont-Royal"," 30","Mont-Royal",124,57,11,1,10,9,0,212,425
"Mount Royal/Mont-Royal"," 31","Mont-Royal",105,56,11,0,7,14,0,193,387
"Mount Royal/Mont-Royal"," 32","Mont-Royal",104,58,27,0,13,28,1,231,419
"Mount Royal/Mont-Royal"," 33","Mont-Royal",96,38,37,0,14,36,4,225,396
