Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ed Baye,Ron Gray,Malcolm James,Dorothy-Jean O'Donnell,Chuck Strahl,Myra Sweeney,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 1","Squamish",Void/Supprimé,,,,,,,,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 2","Pemberton Meadows",14,0,22,0,34,59,0,129,181
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 3","Whistler",Void/Supprimé,,,,,,,,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 4","Whistler",Void/Supprimé,,,,,,,,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 5","Pemberton",30,0,18,1,53,70,1,173,285
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 6","Mount Currie 6",22,4,132,0,50,107,2,317,640
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 7A","Pemberton",46,0,70,0,105,111,0,332,588
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 7B","Pemberton",54,3,60,0,75,104,1,297,557
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 7C","Pemberton",43,0,63,1,107,110,1,325,582
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 8","D'Arcy",22,1,61,0,42,53,0,179,320
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 9","Gold Bridge",13,0,24,0,50,15,0,102,155
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 10","Lillooet",3,0,77,1,55,21,0,157,310
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 11A","Shalalth",8,1,48,0,17,17,2,93,210
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 11B","Shalalth",4,0,37,1,42,15,2,101,203
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 12","Lillooet",7,0,89,1,42,31,0,170,311
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 13","Lillooet",3,1,28,0,59,18,1,110,214
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 14","Lillooet",2,1,70,1,87,33,0,194,370
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 15","Lillooet",2,1,70,3,49,17,1,143,432
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 16","Lillooet",11,1,71,0,96,41,0,220,436
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 17","Lillooet",1,0,41,1,47,10,0,100,192
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 18","Fountain",5,0,51,1,11,10,0,78,182
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 19","Clinton ",Void/Supprimé,,,,,,,,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 20","Cache Creek",4,1,36,0,46,29,2,118,215
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 21","Cache Creek",4,2,21,0,58,46,4,135,266
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 22A","Cache Creek",7,1,23,1,98,40,1,171,345
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 22B","Cache Creek",3,2,26,1,82,37,1,152,290
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 23","Walhachin",0,2,17,1,49,25,0,94,158
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 24","Ashcroft",5,1,61,0,61,47,1,176,307
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 25","Ashcroft",10,0,62,1,102,53,0,228,392
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 26","Ashcroft",10,1,60,0,111,58,1,241,435
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 27","Ashcroft",17,1,70,4,103,64,1,260,447
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 28","Spences Bridge",4,2,61,1,44,38,0,150,217
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 29","Boston Bar",8,3,40,1,48,31,0,131,330
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 30","Lytton",16,1,148,2,52,34,0,253,420
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 31","Lytton",7,1,135,1,33,23,1,201,387
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 32","Skookumchuck",Void/Supprimé,,,,,,,,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 33","Chehalis 5",10,0,75,1,46,38,0,170,418
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 34A","Harrison Hot Springs",7,3,45,1,94,33,0,183,310
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 34B","Harrison Hot Springs",6,3,35,2,83,20,0,149,282
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 35A","Harrison Hot Springs",7,1,65,0,111,33,0,217,342
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 35B","Harrison Hot Springs",10,5,46,1,77,50,0,189,333
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 36","Kent",3,9,47,0,137,43,1,240,472
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 37","Kent",10,14,27,0,101,28,0,180,301
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 38","Kent",11,7,29,0,112,32,0,191,362
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 39","Kent",3,0,54,0,120,19,0,196,316
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 40","Kent",6,1,36,0,123,41,0,207,364
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 41A","Kent",5,7,37,0,145,36,2,232,371
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 41B","Kent",13,6,51,2,99,33,0,204,302
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 41C","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,,,60
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 42","Kent",5,8,49,0,155,45,0,262,364
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 43","Kent",12,8,51,0,118,48,0,237,401
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 44","Seabird Island ",5,4,67,0,30,39,1,146,362
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 45","North Bend",10,1,63,2,64,18,1,159,267
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 46","Yale",7,0,45,1,41,23,0,117,212
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 47","Ruby Creek",2,1,89,0,62,25,1,180,487
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 48","Kawkawa Lake 16",10,3,80,2,101,49,0,245,422
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 49A","Kawkawa Lake 16",5,2,57,0,101,17,1,183,316
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 49B","Kawkawa Lake 16",7,1,40,0,70,19,0,137,301
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 50","Hope",6,5,65,2,125,31,0,234,431
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 51","Hope",7,0,67,1,95,30,0,200,376
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 52","Hope",6,1,57,0,102,16,2,184,294
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 53","Hope",8,3,58,0,108,23,0,200,390
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 54","Hope",7,1,44,0,64,23,0,139,404
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 55A","Hope",15,1,49,1,69,34,0,169,316
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 55B","Hope",5,1,52,0,49,30,0,137,339
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 55C","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,29
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 56","Silver Creek",4,4,52,0,94,33,0,187,358
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 57","Silver Creek",4,2,56,1,89,22,0,174,350
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 58","Silver Creek",12,0,69,0,79,39,2,201,444
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 59","Sunshine Valley",Void/Supprimé,,,,,,,,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 60","Laidlaw",1,0,21,0,22,14,0,58,134
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 61A","Popkum",7,5,45,0,163,52,1,273,459
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 61B","Popkum",4,7,56,0,196,27,0,290,463
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 62","Chilliwack",13,3,36,0,142,25,0,219,387
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 63","Chilliwack",17,1,43,0,152,47,0,260,423
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 64","Chilliwack",11,7,34,3,186,55,0,296,510
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 65","Chilliwack",9,5,43,0,181,48,0,286,478
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 66","Chilliwack",4,11,34,0,179,40,0,268,458
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 67","Chilliwack",6,4,50,0,218,56,2,336,541
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 68A","Chilliwack",16,4,54,0,223,63,0,360,552
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 68B","Chilliwack",14,7,67,0,177,61,0,326,495
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 69A","Chilliwack",3,2,45,1,71,22,0,144,275
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 69B","Chilliwack",7,2,30,0,70,15,0,124,294
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 70","Chilliwack",6,2,66,3,185,50,0,312,569
