Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alan Hill,Rakesh Khosla,Geoff Regan,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Halifax West/Halifax-Ouest"," 1","Pockwock",53,44,132,3,0,232,454
"Halifax West/Halifax-Ouest"," 2A","Lucasville",34,58,115,10,0,217,442
"Halifax West/Halifax-Ouest"," 2B","Lucasville",47,59,113,11,0,230,464
"Halifax West/Halifax-Ouest"," 2C","Lucasville",40,69,119,8,0,236,467
"Halifax West/Halifax-Ouest"," 3","Lucasville",78,58,92,3,1,232,418
"Halifax West/Halifax-Ouest"," 4","Upper Hammonds Plains",45,40,67,3,1,156,289
"Halifax West/Halifax-Ouest"," 5","Upper Hammonds Plains",73,67,135,9,1,285,482
"Halifax West/Halifax-Ouest"," 6","Highland Park",67,53,118,5,0,243,446
"Halifax West/Halifax-Ouest"," 7","Hammond Plains",43,59,94,8,0,204,401
"Halifax West/Halifax-Ouest"," 8","Highland Park",46,81,120,6,0,253,327
"Halifax West/Halifax-Ouest"," 9A","Highland Park",Merged with No. 8/Fusionné avec le nº 8,,,,,,150
"Halifax West/Halifax-Ouest"," 9B","Highland Park",47,75,145,6,0,273,466
"Halifax West/Halifax-Ouest"," 10","Highland Park",29,78,118,10,0,235,382
"Halifax West/Halifax-Ouest"," 11","Highland Park",45,76,145,8,1,275,527
"Halifax West/Halifax-Ouest"," 12","Highland Park",35,47,106,7,1,196,434
"Halifax West/Halifax-Ouest"," 13","Highland Park",65,56,163,10,2,296,462
"Halifax West/Halifax-Ouest"," 14","Uplands Park",56,51,119,7,0,233,390
"Halifax West/Halifax-Ouest"," 15A","Stillwater Lake",63,54,113,10,2,242,415
"Halifax West/Halifax-Ouest"," 15B","Stillwater Lake",59,77,128,4,3,271,440
"Halifax West/Halifax-Ouest"," 15C","Stillwater Lake",51,58,98,13,0,220,379
"Halifax West/Halifax-Ouest"," 16","Stillwater Lake",51,55,115,8,0,229,366
"Halifax West/Halifax-Ouest"," 17","Halifax",77,95,122,5,1,300,580
"Halifax West/Halifax-Ouest"," 18","Halifax",53,75,140,8,0,276,445
"Halifax West/Halifax-Ouest"," 19","Halifax",53,52,115,6,1,227,204
"Halifax West/Halifax-Ouest"," 20A","Halifax",Merged with No. 19/Fusionné avec le nº 19,,,,,,183
"Halifax West/Halifax-Ouest"," 20B","Halifax",44,67,145,8,1,265,418
"Halifax West/Halifax-Ouest"," 21","Halifax",53,38,96,6,2,195,417
"Halifax West/Halifax-Ouest"," 22","Halifax",23,49,165,6,0,243,408
"Halifax West/Halifax-Ouest"," 23","Halifax",41,63,160,11,0,275,496
"Halifax West/Halifax-Ouest"," 24","Halifax",43,76,205,13,0,337,557
"Halifax West/Halifax-Ouest"," 25","Halifax",65,53,113,14,0,245,472
"Halifax West/Halifax-Ouest"," 26","Halifax",20,70,124,4,0,218,417
"Halifax West/Halifax-Ouest"," 27","Halifax",18,77,152,11,0,258,449
"Halifax West/Halifax-Ouest"," 28","Halifax",49,49,140,2,2,242,391
"Halifax West/Halifax-Ouest"," 29","Halifax",68,51,109,14,1,243,493
"Halifax West/Halifax-Ouest"," 30","Halifax",31,46,154,7,1,239,383
"Halifax West/Halifax-Ouest"," 31","Halifax",41,41,78,3,0,163,387
"Halifax West/Halifax-Ouest"," 32","Halifax",40,58,130,5,2,235,366
"Halifax West/Halifax-Ouest"," 33","Halifax",30,35,119,6,1,191,374
"Halifax West/Halifax-Ouest"," 34","Halifax",20,55,75,10,0,160,416
"Halifax West/Halifax-Ouest"," 35","Halifax",67,56,165,11,0,299,549
