Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carl Danis,Luc Malo,Jean-Félix Racicot,Simon Vallée,Alanna Woods,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 1","Contrecoeur",12,162,66,26,44,4,314,507
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 2","Contrecoeur",6,109,40,8,24,4,191,312
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 3","Contrecoeur",3,117,25,13,10,8,176,312
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 4A","Contrecoeur",8,248,69,17,13,7,362,654
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 4B","Mobile poll/Bureau itinérant",Merged with No. 15B/Fusionné avec le nº 15B,,,,,,,20
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 5","Contrecoeur",7,183,43,13,11,7,264,426
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 6","Contrecoeur",8,151,40,7,12,3,221,389
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 7A","Contrecoeur",2,108,30,7,7,4,158,304
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 7B","Mobile poll/Bureau itinérant",Merged with No. 15B/Fusionné avec le nº 15B,,,,,,,27
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 8A","Contrecoeur",7,144,44,13,6,2,216,399
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 8B","Mobile poll/Bureau itinérant",Merged with No. 15B/Fusionné avec le nº 15B,,,,,,,11
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 9","Contrecoeur",9,167,37,13,11,6,243,387
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 10","Contrecoeur",7,159,34,16,8,0,224,454
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 11","Contrecoeur",7,150,34,15,11,4,221,339
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 12","Verchères",7,107,44,23,16,1,198,310
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 13","Verchères",7,208,51,9,12,3,290,503
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 14","Verchères",11,260,53,18,17,3,362,564
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 15A","Verchères",7,136,48,14,12,1,218,374
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 15B","Mobile poll/Bureau itinérant",2,24,21,3,15,6,71,46
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 16","Verchères",14,223,61,26,22,6,352,559
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 17","Verchères",14,195,42,19,14,1,285,399
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 18A","Verchères",18,259,58,21,19,5,380,624
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 18B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,7
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 19","Verchères",9,170,64,24,20,3,290,454
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 20","Verchères",5,115,48,11,14,3,196,279
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 21","Calixa-Lavallée",19,171,49,23,14,1,277,391
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 22","Saint-Antoine-sur-Richelieu",17,164,30,17,14,5,247,366
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 23","Saint-Antoine-sur-Richelieu",2,42,17,5,4,1,71,107
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 24","Saint-Denis",11,164,70,15,23,5,288,460
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 25A","Saint-Denis",11,147,50,15,19,8,250,371
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 25B","Mobile poll/Bureau itinérant",Merged with No. 28B/Fusionné avec le nº 28B,,,,,,,25
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 26A","Saint-Denis",12,152,44,20,10,5,243,351
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 26B","Mobile poll/Bureau itinérant",Merged with No. 28B/Fusionné avec le nº 28B,,,,,,,10
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 27","Saint-Antoine-sur-Richelieu",5,162,54,17,27,6,271,371
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 28A","Saint-Antoine-sur-Richelieu",8,144,54,14,41,2,263,372
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 28B","Mobile poll/Bureau itinérant",2,16,11,2,5,3,39,33
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 29A","Saint-Denis",16,187,83,14,24,5,329,550
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 29B","Mobile poll/Bureau itinérant",Merged with No. 28B/Fusionné avec le nº 28B,,,,,,,8
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 30A","Saint-Marc-sur-Richelieu",13,139,43,20,14,6,235,358
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 30B","Mobile poll/Bureau itinérant",Merged with No. 28B/Fusionné avec le nº 28B,,,,,,,22
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 31","Saint-Marc-sur-Richelieu",8,117,44,18,17,8,212,331
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 32","Saint-Marc-sur-Richelieu",19,158,52,15,15,1,260,415
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 33","Saint-Marc-sur-Richelieu",10,141,41,25,27,3,247,391
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 34","Saint-Charles-sur-Richelieu",12,156,66,24,20,3,281,507
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 35","Saint-Charles-sur-Richelieu",11,132,39,15,25,3,225,343
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 36","Saint-Charles-sur-Richelieu",17,141,52,21,24,1,256,424
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 37","Saint-Charles-sur-Richelieu",4,65,22,16,7,0,114,184
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 38","Varennes",12,154,65,30,21,3,285,500
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 39","Varennes",0,45,43,14,13,0,115,184
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 40","Varennes",15,133,58,12,18,5,241,440
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 41","Varennes",9,147,50,16,15,3,240,389
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 42","Varennes",5,123,41,12,29,7,217,368
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 43","Varennes",11,122,48,13,14,3,211,392
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 44","Varennes",6,118,22,11,12,0,169,281
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 45","Varennes",12,147,33,16,12,0,220,426
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 46","Varennes",13,141,75,21,16,10,276,568
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 47","Varennes",6,129,31,13,14,2,195,378
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 48","Varennes",10,149,49,24,11,2,245,391
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 49","Varennes",4,80,44,4,7,5,144,281
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 50","Varennes",5,162,48,22,15,3,255,408
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 51","Varennes",9,133,55,27,13,2,239,402
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 52","Varennes",12,177,44,27,9,2,271,466
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 53","Varennes",8,149,42,12,12,2,225,372
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 54","Varennes",11,156,57,23,17,6,270,456
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 55","Varennes",2,103,20,8,12,7,152,260
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 56","Varennes",8,138,54,30,12,3,245,378
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 57","Varennes",10,160,50,35,27,8,290,429
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 58","Varennes",10,236,50,29,12,1,338,550
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 59","Varennes",10,172,71,17,10,1,281,421
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 60","Varennes",13,225,61,31,8,1,339,528
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 61","Varennes",5,180,53,34,16,1,289,455
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 62","Varennes",7,171,67,18,10,3,276,389
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 63","Varennes",20,200,66,45,14,1,346,513
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 64","Varennes",20,210,51,31,18,0,330,529
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 65","Varennes",11,226,41,26,21,3,328,464
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 66","Varennes",11,175,54,24,15,4,283,451
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 67","Varennes",6,161,42,21,13,5,248,473
"Verchères--Les Patriotes/Verchères--Les Patriotes"," 68","Varennes",9,203,68,32,19,5,336,552
