Province,Population,Electors/Électeurs,Valid Ballots/Bulletins valides,Percentage of Valid Ballots /Pourcentage des bulletins valides,Rejected Ballots/Bulletins rejetés,Percentage of Rejected Ballots /Pourcentage des bulletins rejetés,Total Ballots Cast/Total des bulletins déposés,Percentage of Voter Turnout/Pourcentage de la participation électorale
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",512930,403982,227539,99.4,1422,.6,228961,56.7
"Prince Edward Island/Île-du-Prince-Édouard",135294,107677,78366,99.4,463,.6,78829,73.2
"Nova Scotia/Nouvelle-Écosse",908007,750829,477444,99.6,2136,.4,479580,63.9
"New Brunswick/Nouveau-Brunswick",729498,594104,406992,99,3926,1,410918,69.2
"Quebec/Québec",7237479,5852528,3691158,98.8,46691,1.2,3737849,63.9
"Ontario",11410046,8536359,5658243,99.6,24123,.4,5682366,66.6
"Manitoba",1119583,831278,515522,99.6,2035,.4,517557,62.3
"Saskatchewan",978933,712427,462563,99.7,1225,.3,463788,65.1
"Alberta",2974807,2322108,1432717,99.7,3938,.3,1436655,61.9
"British Columbia/Colombie-Britannique",3907738,2875950,1827183,99.7,5374,.3,1832557,63.7
"Yukon",28674,21493,14113,99.3,93,.7,14206,66.1
"Northwest Territories/Territoires du Nord-Ouest",37360,28792,16132,99.7,54,.3,16186,56.2
"Nunavut",26745,17088,9187,99.3,64,.7,9251,54.1
