Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Ashmore,Bernie Kennedy,Ted Menzies,Joyce Thomas,Catherine Whelan Costen,Myron Wolf Child,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Macleod/Macleod"," 1","Kovach",34,29,58,24,1,3,1,150,421
"Macleod/Macleod"," 2","Bragg Creek",0,2,4,1,0,0,0,7,11
"Macleod/Macleod"," 2-1A","Foothills No. 31",23,15,170,17,0,4,0,229,377
"Macleod/Macleod"," 2-1B","Foothills No. 31",15,19,160,18,0,5,0,217,376
"Macleod/Macleod"," 3","Jumping Pound",23,12,242,10,1,2,0,290,417
"Macleod/Macleod"," 4","Glenbow",18,11,114,5,0,2,1,151,226
"Macleod/Macleod"," 5","Glenbow",44,13,265,17,0,7,1,347,526
"Macleod/Macleod"," 6A","Glenbow",17,29,200,7,0,5,0,258,380
"Macleod/Macleod"," 6B","Glenbow",18,18,171,6,1,1,1,216,324
"Macleod/Macleod"," 7","Rocky View No. 44",19,18,200,14,0,3,0,254,352
"Macleod/Macleod"," 8A","Rocky View No. 44",17,13,198,15,0,2,1,246,358
"Macleod/Macleod"," 8B","Rocky View No. 44",21,9,193,5,0,1,1,230,366
"Macleod/Macleod"," 9A","Pirmez Creek",33,24,261,8,0,4,0,330,500
"Macleod/Macleod"," 9B","Pirmez Creek",32,19,280,15,0,2,0,348,538
"Macleod/Macleod"," 10A","Rocky View No. 44",26,16,197,8,0,4,0,251,402
"Macleod/Macleod"," 10B","Rocky View No. 44",15,9,227,5,0,5,0,261,394
"Macleod/Macleod"," 11A","Rocky View No. 44",20,23,279,11,0,4,0,337,551
"Macleod/Macleod"," 11B","Rocky View No. 44",20,27,302,4,1,7,1,362,538
"Macleod/Macleod"," 12","Bragg Creek",46,16,155,15,2,2,0,236,360
"Macleod/Macleod"," 13","Bragg Creek",56,20,199,17,2,4,1,299,512
"Macleod/Macleod"," 14","Bragg Creek",73,23,230,25,1,10,2,364,599
"Macleod/Macleod"," 15","Sarcee 145",36,16,142,31,2,3,0,230,353
"Macleod/Macleod"," 16","Sarcee 145",43,29,125,23,0,6,0,226,336
"Macleod/Macleod"," 17","Sarcee 145",4,72,5,6,0,18,1,106,239
"Macleod/Macleod"," 18","Bragg Creek",Void/Supprimé,,,,,,,,
"Macleod/Macleod"," 19","Priddis",24,18,271,17,2,7,0,339,464
"Macleod/Macleod"," 20","Academy",36,21,318,21,3,2,1,402,562
"Macleod/Macleod"," 21A","Millarville",27,12,178,14,0,2,0,233,312
"Macleod/Macleod"," 21B","Millarville",16,6,181,23,0,5,0,231,340
"Macleod/Macleod"," 22","Turner Valley",17,15,204,10,1,5,0,252,364
"Macleod/Macleod"," 23","Turner Valley",14,13,305,9,2,4,2,349,575
"Macleod/Macleod"," 24","Academy",10,15,202,8,0,8,0,243,389
"Macleod/Macleod"," 25","Millarville",12,18,215,2,1,5,0,253,382
