Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Harris,Valery Philip,Elizabeth Rowley,Trevor Sutton,Vincent Veerasuntharam,Tom Wappel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Scarborough Southwest/Scarborough-Sud-Ouest"," 1","Scarborough",27,3,0,0,44,68,0,142,312
"Scarborough Southwest/Scarborough-Sud-Ouest"," 2","Scarborough",11,2,0,0,25,39,3,80,170
"Scarborough Southwest/Scarborough-Sud-Ouest"," 3","Scarborough",Void/Supprimé,,,,,,,,
"Scarborough Southwest/Scarborough-Sud-Ouest"," 4","Scarborough",3,1,0,0,4,13,0,21,64
"Scarborough Southwest/Scarborough-Sud-Ouest"," 5","Scarborough",31,7,1,1,50,95,2,187,309
"Scarborough Southwest/Scarborough-Sud-Ouest"," 6","Scarborough",36,8,0,0,74,95,0,213,321
"Scarborough Southwest/Scarborough-Sud-Ouest"," 7","Scarborough",41,6,1,0,46,102,2,198,369
"Scarborough Southwest/Scarborough-Sud-Ouest"," 8","Scarborough",32,9,1,0,66,134,0,242,367
"Scarborough Southwest/Scarborough-Sud-Ouest"," 9","Scarborough",39,7,0,1,68,85,1,201,369
"Scarborough Southwest/Scarborough-Sud-Ouest"," 10","Scarborough",68,4,1,1,115,185,0,374,822
"Scarborough Southwest/Scarborough-Sud-Ouest"," 11","Scarborough",33,2,0,0,51,77,1,164,335
"Scarborough Southwest/Scarborough-Sud-Ouest"," 12","Scarborough",42,2,1,1,21,101,1,169,401
"Scarborough Southwest/Scarborough-Sud-Ouest"," 13","Scarborough",51,8,0,0,75,160,0,294,613
"Scarborough Southwest/Scarborough-Sud-Ouest"," 14","Scarborough",110,14,0,0,110,234,0,468,858
"Scarborough Southwest/Scarborough-Sud-Ouest"," 15","Scarborough",41,6,1,0,67,98,3,216,401
"Scarborough Southwest/Scarborough-Sud-Ouest"," 16","Scarborough",28,6,0,1,50,112,2,199,466
"Scarborough Southwest/Scarborough-Sud-Ouest"," 17","Scarborough",35,6,0,0,32,85,0,158,274
"Scarborough Southwest/Scarborough-Sud-Ouest"," 18","Scarborough",56,9,2,1,57,134,0,259,381
"Scarborough Southwest/Scarborough-Sud-Ouest"," 19","Scarborough",40,9,1,0,48,71,2,171,344
"Scarborough Southwest/Scarborough-Sud-Ouest"," 20","Scarborough",58,18,2,1,59,127,0,265,384
"Scarborough Southwest/Scarborough-Sud-Ouest"," 21","Scarborough",45,3,2,1,35,56,0,142,307
"Scarborough Southwest/Scarborough-Sud-Ouest"," 22","Scarborough",58,13,0,0,71,113,0,255,422
"Scarborough Southwest/Scarborough-Sud-Ouest"," 23","Scarborough",36,6,0,1,37,100,1,181,320
"Scarborough Southwest/Scarborough-Sud-Ouest"," 24","Scarborough",62,24,2,0,79,153,1,321,677
"Scarborough Southwest/Scarborough-Sud-Ouest"," 25","Scarborough",44,4,1,0,50,123,1,223,461
"Scarborough Southwest/Scarborough-Sud-Ouest"," 26","Scarborough",43,6,2,0,53,100,0,204,352
"Scarborough Southwest/Scarborough-Sud-Ouest"," 27","Scarborough",56,6,2,6,55,86,0,211,300
"Scarborough Southwest/Scarborough-Sud-Ouest"," 28","Scarborough",52,9,1,1,37,102,0,202,415
"Scarborough Southwest/Scarborough-Sud-Ouest"," 29","Scarborough",53,11,2,0,67,193,1,327,738
"Scarborough Southwest/Scarborough-Sud-Ouest"," 30","Scarborough",25,3,0,0,28,77,0,133,237
"Scarborough Southwest/Scarborough-Sud-Ouest"," 31","Scarborough",13,2,0,0,24,107,0,146,309
"Scarborough Southwest/Scarborough-Sud-Ouest"," 32","Scarborough",49,3,0,0,52,62,0,166,307
"Scarborough Southwest/Scarborough-Sud-Ouest"," 33","Scarborough",37,7,0,1,42,120,0,207,400
"Scarborough Southwest/Scarborough-Sud-Ouest"," 34","Scarborough",67,9,0,2,62,103,1,244,417
"Scarborough Southwest/Scarborough-Sud-Ouest"," 35","Scarborough",27,3,0,0,31,50,2,113,218
"Scarborough Southwest/Scarborough-Sud-Ouest"," 36","Scarborough",39,2,0,1,47,127,0,216,439
"Scarborough Southwest/Scarborough-Sud-Ouest"," 37","Scarborough",12,0,0,1,24,69,1,107,204
"Scarborough Southwest/Scarborough-Sud-Ouest"," 38","Scarborough",54,5,1,0,59,160,0,279,470
"Scarborough Southwest/Scarborough-Sud-Ouest"," 39","Scarborough",26,3,0,0,37,101,3,170,282
"Scarborough Southwest/Scarborough-Sud-Ouest"," 40","Scarborough",37,9,1,1,18,116,3,185,491
"Scarborough Southwest/Scarborough-Sud-Ouest"," 41","Scarborough",46,14,0,2,59,159,2,282,518
"Scarborough Southwest/Scarborough-Sud-Ouest"," 42","Scarborough",44,3,0,0,63,117,1,228,368
"Scarborough Southwest/Scarborough-Sud-Ouest"," 43","Scarborough",55,15,0,0,50,127,1,248,410
"Scarborough Southwest/Scarborough-Sud-Ouest"," 44","Scarborough",47,4,0,1,32,84,1,169,369
"Scarborough Southwest/Scarborough-Sud-Ouest"," 45","Scarborough",62,11,0,0,75,176,0,324,552
"Scarborough Southwest/Scarborough-Sud-Ouest"," 46","Scarborough",52,9,4,2,47,188,0,302,521
"Scarborough Southwest/Scarborough-Sud-Ouest"," 47","Scarborough",73,11,0,0,55,99,0,238,416
"Scarborough Southwest/Scarborough-Sud-Ouest"," 48","Scarborough",32,7,0,2,37,105,0,183,332
"Scarborough Southwest/Scarborough-Sud-Ouest"," 49","Scarborough",67,9,2,2,46,132,0,258,445
"Scarborough Southwest/Scarborough-Sud-Ouest"," 50","Scarborough",29,4,2,1,29,96,0,161,316
"Scarborough Southwest/Scarborough-Sud-Ouest"," 51","Scarborough",36,4,1,1,19,148,4,213,477
"Scarborough Southwest/Scarborough-Sud-Ouest"," 52","Scarborough",47,9,0,0,50,93,0,199,336
"Scarborough Southwest/Scarborough-Sud-Ouest"," 53","Scarborough",53,1,1,2,22,162,1,242,447
"Scarborough Southwest/Scarborough-Sud-Ouest"," 54","Scarborough",21,7,0,0,49,90,1,168,336
"Scarborough Southwest/Scarborough-Sud-Ouest"," 55","Scarborough",43,7,1,2,70,120,3,246,471
"Scarborough Southwest/Scarborough-Sud-Ouest"," 56","Scarborough",40,8,0,1,56,195,1,301,509
"Scarborough Southwest/Scarborough-Sud-Ouest"," 57","Scarborough",38,12,1,2,65,100,0,218,356
"Scarborough Southwest/Scarborough-Sud-Ouest"," 58","Scarborough",57,9,0,2,70,54,0,192,262
"Scarborough Southwest/Scarborough-Sud-Ouest"," 59","Scarborough",48,8,0,0,73,72,2,203,309
"Scarborough Southwest/Scarborough-Sud-Ouest"," 60","Scarborough",68,5,2,3,60,107,1,246,382
"Scarborough Southwest/Scarborough-Sud-Ouest"," 61","Scarborough",46,2,0,0,38,78,0,164,311
"Scarborough Southwest/Scarborough-Sud-Ouest"," 62","Scarborough",41,4,1,1,56,138,1,242,382
"Scarborough Southwest/Scarborough-Sud-Ouest"," 63","Scarborough",37,7,0,1,36,86,0,167,272
"Scarborough Southwest/Scarborough-Sud-Ouest"," 64","Scarborough",66,22,1,1,61,98,0,249,367
"Scarborough Southwest/Scarborough-Sud-Ouest"," 65","Scarborough",61,10,0,0,67,129,2,269,386
"Scarborough Southwest/Scarborough-Sud-Ouest"," 66","Scarborough",47,11,1,0,39,53,0,151,235
"Scarborough Southwest/Scarborough-Sud-Ouest"," 67","Scarborough",61,7,1,2,64,106,2,243,383
"Scarborough Southwest/Scarborough-Sud-Ouest"," 68","Scarborough",28,6,0,1,42,49,0,126,250
"Scarborough Southwest/Scarborough-Sud-Ouest"," 69","Scarborough",27,2,0,0,38,39,1,107,253
"Scarborough Southwest/Scarborough-Sud-Ouest"," 70","Scarborough",16,2,0,0,23,13,0,54,77
"Scarborough Southwest/Scarborough-Sud-Ouest"," 71","Scarborough",88,16,0,4,99,152,1,360,666
"Scarborough Southwest/Scarborough-Sud-Ouest"," 72","Scarborough",Void/Supprimé,,,,,,,,
"Scarborough Southwest/Scarborough-Sud-Ouest"," 73","Scarborough",46,16,0,0,70,98,4,234,344
"Scarborough Southwest/Scarborough-Sud-Ouest"," 74","Scarborough",34,4,0,1,20,72,1,132,349
"Scarborough Southwest/Scarborough-Sud-Ouest"," 75","Scarborough",33,11,1,0,109,111,0,265,407
"Scarborough Southwest/Scarborough-Sud-Ouest"," 76","Scarborough",50,18,0,0,97,104,1,270,385
"Scarborough Southwest/Scarborough-Sud-Ouest"," 77","Scarborough",58,16,0,0,78,111,0,263,370
"Scarborough Southwest/Scarborough-Sud-Ouest"," 78","Scarborough",73,10,0,1,81,88,1,254,365
"Scarborough Southwest/Scarborough-Sud-Ouest"," 79","Scarborough",48,24,1,1,68,112,0,254,369
"Scarborough Southwest/Scarborough-Sud-Ouest"," 80","Scarborough",70,8,0,0,60,69,0,207,295
"Scarborough Southwest/Scarborough-Sud-Ouest"," 81","Scarborough",49,16,0,0,57,77,2,201,298
"Scarborough Southwest/Scarborough-Sud-Ouest"," 82","Scarborough",57,28,2,0,101,131,7,326,600
"Scarborough Southwest/Scarborough-Sud-Ouest"," 83","Scarborough",57,9,0,0,62,124,1,253,413
"Scarborough Southwest/Scarborough-Sud-Ouest"," 84","Scarborough",53,8,0,0,49,96,2,208,339
"Scarborough Southwest/Scarborough-Sud-Ouest"," 85","Scarborough",59,16,1,2,47,111,2,238,399
"Scarborough Southwest/Scarborough-Sud-Ouest"," 86","Scarborough",67,5,0,1,54,152,1,280,480
"Scarborough Southwest/Scarborough-Sud-Ouest"," 87","Scarborough",63,13,1,2,63,149,0,291,490
"Scarborough Southwest/Scarborough-Sud-Ouest"," 88","Scarborough",74,6,3,0,35,85,0,203,328
"Scarborough Southwest/Scarborough-Sud-Ouest"," 89","Scarborough",56,17,0,0,36,86,0,195,339
"Scarborough Southwest/Scarborough-Sud-Ouest"," 90","Scarborough",70,17,1,2,66,86,1,243,407
"Scarborough Southwest/Scarborough-Sud-Ouest"," 91","Scarborough",69,10,1,0,65,97,1,243,467
"Scarborough Southwest/Scarborough-Sud-Ouest"," 92","Scarborough",33,14,0,2,43,64,0,156,260
"Scarborough Southwest/Scarborough-Sud-Ouest"," 93","Scarborough",60,9,0,3,73,93,2,240,424
"Scarborough Southwest/Scarborough-Sud-Ouest"," 94","Scarborough",66,13,0,1,75,102,0,257,424
"Scarborough Southwest/Scarborough-Sud-Ouest"," 95","Scarborough",47,15,0,0,37,83,1,183,300
"Scarborough Southwest/Scarborough-Sud-Ouest"," 96","Scarborough",46,18,0,0,57,73,0,194,322
"Scarborough Southwest/Scarborough-Sud-Ouest"," 97","Scarborough",78,17,0,1,82,112,0,290,393
"Scarborough Southwest/Scarborough-Sud-Ouest"," 98","Scarborough",80,22,2,0,101,143,11,359,613
"Scarborough Southwest/Scarborough-Sud-Ouest"," 99","Scarborough",90,15,0,0,53,93,1,252,415
"Scarborough Southwest/Scarborough-Sud-Ouest"," 100","Scarborough",98,15,1,0,51,85,4,254,390
"Scarborough Southwest/Scarborough-Sud-Ouest"," 101","Scarborough",33,10,0,1,47,45,0,136,239
"Scarborough Southwest/Scarborough-Sud-Ouest"," 102","Scarborough",60,9,0,1,34,67,1,172,378
"Scarborough Southwest/Scarborough-Sud-Ouest"," 103","Scarborough",42,8,0,0,37,131,1,219,393
"Scarborough Southwest/Scarborough-Sud-Ouest"," 104","Scarborough",13,1,0,0,9,52,0,75,111
"Scarborough Southwest/Scarborough-Sud-Ouest"," 105","Scarborough",66,17,2,1,53,146,0,285,460
"Scarborough Southwest/Scarborough-Sud-Ouest"," 106","Scarborough",56,8,0,2,39,139,2,246,440
"Scarborough Southwest/Scarborough-Sud-Ouest"," 107","Scarborough",52,10,3,2,30,143,0,240,543
"Scarborough Southwest/Scarborough-Sud-Ouest"," 108","Scarborough",68,7,1,0,44,106,1,227,433
"Scarborough Southwest/Scarborough-Sud-Ouest"," 109","Scarborough",31,3,1,0,19,100,0,154,383
"Scarborough Southwest/Scarborough-Sud-Ouest"," 110","Scarborough",43,9,1,0,38,133,0,224,392
"Scarborough Southwest/Scarborough-Sud-Ouest"," 111","Scarborough",51,8,0,1,44,126,3,233,401
"Scarborough Southwest/Scarborough-Sud-Ouest"," 112","Scarborough",45,6,1,1,41,95,0,189,362
"Scarborough Southwest/Scarborough-Sud-Ouest"," 113","Scarborough",47,12,1,6,24,115,0,205,345
"Scarborough Southwest/Scarborough-Sud-Ouest"," 114","Scarborough",50,11,2,4,45,131,0,243,454
"Scarborough Southwest/Scarborough-Sud-Ouest"," 115","Scarborough",65,10,2,0,60,127,2,266,460
"Scarborough Southwest/Scarborough-Sud-Ouest"," 116","Scarborough",55,10,1,0,47,112,0,225,409
"Scarborough Southwest/Scarborough-Sud-Ouest"," 117","Scarborough",51,8,1,2,56,117,0,235,391
"Scarborough Southwest/Scarborough-Sud-Ouest"," 118","Scarborough",78,15,0,1,53,111,0,258,416
"Scarborough Southwest/Scarborough-Sud-Ouest"," 119","Scarborough",71,16,0,2,52,100,0,241,379
"Scarborough Southwest/Scarborough-Sud-Ouest"," 120","Scarborough",55,7,0,0,45,49,2,158,263
"Scarborough Southwest/Scarborough-Sud-Ouest"," 121","Scarborough",79,13,1,0,60,74,0,227,373
"Scarborough Southwest/Scarborough-Sud-Ouest"," 122","Scarborough",93,15,1,0,63,80,2,254,377
"Scarborough Southwest/Scarborough-Sud-Ouest"," 123","Scarborough",67,29,1,0,61,102,1,261,452
"Scarborough Southwest/Scarborough-Sud-Ouest"," 124","Scarborough",71,22,0,0,69,91,0,253,377
"Scarborough Southwest/Scarborough-Sud-Ouest"," 125","Scarborough",75,20,0,0,67,57,0,219,315
"Scarborough Southwest/Scarborough-Sud-Ouest"," 126","Scarborough",44,6,2,0,38,81,1,172,378
"Scarborough Southwest/Scarborough-Sud-Ouest"," 127","Scarborough",63,7,2,0,59,122,0,253,383
"Scarborough Southwest/Scarborough-Sud-Ouest"," 128","Scarborough",72,14,1,0,89,149,2,327,532
"Scarborough Southwest/Scarborough-Sud-Ouest"," 129","Scarborough",48,8,0,1,54,113,0,224,350
"Scarborough Southwest/Scarborough-Sud-Ouest"," 130","Scarborough",32,8,0,0,52,87,2,181,287
"Scarborough Southwest/Scarborough-Sud-Ouest"," 131","Scarborough",36,8,0,0,29,91,1,165,328
"Scarborough Southwest/Scarborough-Sud-Ouest"," 132","Scarborough",24,4,0,0,20,48,0,96,217
"Scarborough Southwest/Scarborough-Sud-Ouest"," 133","Scarborough",24,5,0,0,8,28,0,65,117
"Scarborough Southwest/Scarborough-Sud-Ouest"," 134","Scarborough",44,1,2,1,21,202,3,274,665
"Scarborough Southwest/Scarborough-Sud-Ouest"," 135","Scarborough",26,0,0,1,18,73,0,118,279
"Scarborough Southwest/Scarborough-Sud-Ouest"," 136","Scarborough",57,7,0,0,39,92,0,195,355
"Scarborough Southwest/Scarborough-Sud-Ouest"," 137","Scarborough",76,2,3,1,44,239,3,368,725
"Scarborough Southwest/Scarborough-Sud-Ouest"," 138","Scarborough",43,6,1,2,57,128,1,238,507
"Scarborough Southwest/Scarborough-Sud-Ouest"," 139","Scarborough",51,5,0,0,33,107,1,197,307
"Scarborough Southwest/Scarborough-Sud-Ouest"," 140","Scarborough",62,5,2,2,61,129,1,262,453
"Scarborough Southwest/Scarborough-Sud-Ouest"," 141","Scarborough",34,4,0,1,20,81,2,142,289
"Scarborough Southwest/Scarborough-Sud-Ouest"," 142","Scarborough",44,8,0,0,30,114,1,197,345
"Scarborough Southwest/Scarborough-Sud-Ouest"," 143","Scarborough",38,3,1,0,35,82,3,162,320
"Scarborough Southwest/Scarborough-Sud-Ouest"," 144","Scarborough",49,4,3,0,45,136,1,238,514
"Scarborough Southwest/Scarborough-Sud-Ouest"," 145","Scarborough",51,5,0,2,28,79,4,169,308
"Scarborough Southwest/Scarborough-Sud-Ouest"," 146","Scarborough",34,7,1,1,29,58,1,131,344
"Scarborough Southwest/Scarborough-Sud-Ouest"," 147","Scarborough",90,21,0,4,35,96,1,247,354
"Scarborough Southwest/Scarborough-Sud-Ouest"," 148","Scarborough",99,26,1,2,40,68,0,236,359
"Scarborough Southwest/Scarborough-Sud-Ouest"," 149","Scarborough",63,9,0,3,72,126,0,273,422
"Scarborough Southwest/Scarborough-Sud-Ouest"," 150","Scarborough",64,19,2,1,79,97,0,262,392
"Scarborough Southwest/Scarborough-Sud-Ouest"," 151","Scarborough",80,27,0,0,86,100,0,293,457
"Scarborough Southwest/Scarborough-Sud-Ouest"," 152","Scarborough",73,19,1,0,39,64,0,196,322
"Scarborough Southwest/Scarborough-Sud-Ouest"," 153","Scarborough",68,11,0,1,60,66,0,206,334
"Scarborough Southwest/Scarborough-Sud-Ouest"," 154","Scarborough",54,17,1,0,42,100,0,214,354
"Scarborough Southwest/Scarborough-Sud-Ouest"," 155","Scarborough",70,13,0,1,36,63,0,183,289
"Scarborough Southwest/Scarborough-Sud-Ouest"," 156","Scarborough",70,13,0,1,50,61,1,196,392
"Scarborough Southwest/Scarborough-Sud-Ouest"," 157","Scarborough",69,20,1,2,51,108,0,251,337
"Scarborough Southwest/Scarborough-Sud-Ouest"," 158","Scarborough",53,20,1,0,52,71,1,198,278
"Scarborough Southwest/Scarborough-Sud-Ouest"," 159","Scarborough",68,23,0,0,61,94,0,246,330
"Scarborough Southwest/Scarborough-Sud-Ouest"," 160","Scarborough",69,15,0,0,74,113,0,271,374
"Scarborough Southwest/Scarborough-Sud-Ouest"," 161","Scarborough",71,17,0,0,28,53,1,170,293
"Scarborough Southwest/Scarborough-Sud-Ouest"," 162","Scarborough",42,22,0,0,31,51,1,147,249
"Scarborough Southwest/Scarborough-Sud-Ouest"," 163","Scarborough",55,16,1,0,83,87,1,243,331
"Scarborough Southwest/Scarborough-Sud-Ouest"," 400","Scarborough",9,1,2,0,14,25,1,52,102
"Scarborough Southwest/Scarborough-Sud-Ouest"," 401","Scarborough",41,6,0,4,59,147,0,257,488
"Scarborough Southwest/Scarborough-Sud-Ouest"," 402","Scarborough",29,1,1,1,31,89,0,152,362
"Scarborough Southwest/Scarborough-Sud-Ouest"," 403","Scarborough",41,6,1,0,54,132,1,235,529
"Scarborough Southwest/Scarborough-Sud-Ouest"," 404","Scarborough",54,6,0,1,75,140,1,277,530
"Scarborough Southwest/Scarborough-Sud-Ouest"," 405","Scarborough",34,3,0,0,33,140,1,211,452
"Scarborough Southwest/Scarborough-Sud-Ouest"," 406","Scarborough",14,0,0,4,15,79,3,115,336
"Scarborough Southwest/Scarborough-Sud-Ouest"," 407","Scarborough",38,3,1,0,21,50,1,114,315
"Scarborough Southwest/Scarborough-Sud-Ouest"," 408","Scarborough",40,1,1,0,13,68,3,126,297
"Scarborough Southwest/Scarborough-Sud-Ouest"," 409","Scarborough",25,2,1,1,39,95,0,163,379
"Scarborough Southwest/Scarborough-Sud-Ouest"," 410","Scarborough",25,4,0,1,15,97,1,143,314
"Scarborough Southwest/Scarborough-Sud-Ouest"," 411","Scarborough",19,0,0,0,15,94,0,128,293
"Scarborough Southwest/Scarborough-Sud-Ouest"," 412","Scarborough",22,2,2,0,12,74,1,113,296
"Scarborough Southwest/Scarborough-Sud-Ouest"," 413","Scarborough",30,3,0,0,12,68,0,113,302
"Scarborough Southwest/Scarborough-Sud-Ouest"," 414","Scarborough",66,7,2,0,62,82,3,222,299
"Scarborough Southwest/Scarborough-Sud-Ouest"," 415","Scarborough",31,6,0,2,31,48,0,118,262
"Scarborough Southwest/Scarborough-Sud-Ouest"," 600","Toronto",45,9,0,0,103,182,0,339,
"Scarborough Southwest/Scarborough-Sud-Ouest"," 601","Toronto",87,14,0,3,160,203,1,468,
"Scarborough Southwest/Scarborough-Sud-Ouest"," 602","Toronto",77,10,1,2,137,296,5,528,
"Scarborough Southwest/Scarborough-Sud-Ouest"," 603","Toronto",86,25,0,1,198,230,2,542,
"Scarborough Southwest/Scarborough-Sud-Ouest"," 604","Toronto",107,21,0,0,103,160,0,391,
"Scarborough Southwest/Scarborough-Sud-Ouest"," 605","Toronto",91,12,1,0,135,187,2,428,
"Scarborough Southwest/Scarborough-Sud-Ouest"," 606","Toronto",80,13,2,0,105,216,1,417,
"Scarborough Southwest/Scarborough-Sud-Ouest"," 607","Toronto",95,23,1,2,172,151,0,444,
"Scarborough Southwest/Scarborough-Sud-Ouest",,Group 1/Groupe 1,9,4,0,0,12,37,4,66,112
"Scarborough Southwest/Scarborough-Sud-Ouest",,Group 2/Groupe 2,127,45,2,2,176,329,11,692,
