Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Doug Beards,Carson Chisholm,Guy Lauzon,Elaine MacDonald,Tom Manley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 1","Hallville",17,7,182,30,30,0,266,564
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 2","Hallville",21,1,174,45,45,1,287,471
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 3","Mountain",40,2,141,33,37,2,255,380
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 4","Mulloys",13,4,124,22,17,0,180,317
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 5","Pleasant Valley",16,4,208,33,51,2,314,463
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 6","South Mountain",37,8,224,28,66,1,364,534
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 7","Inkerman",15,2,153,20,33,0,223,369
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 8","Hainsville",8,0,159,25,34,2,228,410
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 9","Dixons Corners",4,3,119,20,29,0,175,302
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 10","Dundela",8,4,156,27,29,0,224,382
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 11","Haddo",3,2,48,7,14,0,74,138
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 12","Rowena",8,4,123,23,28,0,186,351
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 13","Broken Second",6,3,122,26,56,0,213,379
"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 14","Iroquois",8,1,92,18,27,0,146,308
