Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,Cléo Chartier,Jacques Lussier,Patrice Moore,Jean-Claude Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Beauce/Beauce"," 1","Saint-Isidore",162,4,10,28,3,2,209,366
"Beauce/Beauce"," 2","Saint-Isidore",165,9,15,56,8,1,254,436
"Beauce/Beauce"," 3","Saint-Isidore",165,11,14,44,13,2,249,411
"Beauce/Beauce"," 4","Saint-Isidore",105,7,13,32,4,3,164,291
"Beauce/Beauce"," 5","Saint-Isidore",199,10,14,78,14,0,315,510
"Beauce/Beauce"," 6A","Taschereau--Fortier",131,4,4,43,5,0,187,308
"Beauce/Beauce"," 6B","Taschereau--Fortier",139,5,6,38,6,3,197,292
"Beauce/Beauce"," 7","Scott",119,2,8,40,1,0,170,240
"Beauce/Beauce"," 8","Scott",86,5,21,25,5,1,143,237
"Beauce/Beauce"," 9","Taschereau--Fortier",169,6,14,39,5,4,237,344
"Beauce/Beauce"," 10","Sainte-Hénédine",108,5,7,26,5,0,151,239
"Beauce/Beauce"," 11","Sainte-Hénédine",208,7,10,42,7,7,281,473
"Beauce/Beauce"," 12","Sainte-Hénédine",87,4,4,14,9,4,122,195
"Beauce/Beauce"," 13","Sainte-Marguerite",177,9,24,43,9,1,263,405
"Beauce/Beauce"," 14","Sainte-Marguerite",194,13,15,38,4,0,264,380
"Beauce/Beauce"," 15","Saint-Bernard",142,2,3,25,1,3,176,273
"Beauce/Beauce"," 16","Saint-Bernard",173,2,12,46,2,1,236,350
"Beauce/Beauce"," 17","Saint-Bernard",77,2,7,26,1,0,113,189
"Beauce/Beauce"," 18","Saint-Bernard",156,3,8,49,1,0,217,331
"Beauce/Beauce"," 19","Saint-Bernard",129,3,9,29,8,2,180,332
"Beauce/Beauce"," 20","Saint-Elzéar-de-Beauce",200,6,10,57,9,2,284,432
"Beauce/Beauce"," 21","Saint-Elzéar",231,6,13,28,0,4,282,401
"Beauce/Beauce"," 22","Saint-Elzéar",284,5,15,67,3,2,376,577
"Beauce/Beauce"," 23","Sainte-Marie",195,9,9,60,10,0,283,469
"Beauce/Beauce"," 24","Sainte-Marie",128,1,6,32,19,2,188,314
"Beauce/Beauce"," 25","Sainte-Marie",211,12,7,82,8,1,321,534
"Beauce/Beauce"," 26","Sainte-Marie",40,2,0,10,2,0,54,97
"Beauce/Beauce"," 27","Sainte-Marie",125,6,13,38,2,1,185,276
"Beauce/Beauce"," 28","Sainte-Marie",182,2,8,80,4,3,279,463
"Beauce/Beauce"," 29","Sainte-Marie",189,5,19,61,6,0,280,423
"Beauce/Beauce"," 30","Sainte-Marie",99,7,8,36,3,0,153,277
"Beauce/Beauce"," 31","Sainte-Marie",227,4,20,52,12,3,318,553
"Beauce/Beauce"," 32","Sainte-Marie",117,0,12,54,10,0,193,389
"Beauce/Beauce"," 33","Sainte-Marie",191,6,18,61,6,1,283,481
"Beauce/Beauce"," 34","Sainte-Marie",206,10,7,54,7,7,291,484
"Beauce/Beauce"," 35","Sainte-Marie",183,17,14,55,5,1,275,542
"Beauce/Beauce"," 36","Sainte-Marie",82,4,10,37,8,0,141,347
"Beauce/Beauce"," 37","Sainte-Marie",171,6,11,53,6,1,248,407
"Beauce/Beauce"," 38","Sainte-Marie",111,6,7,45,5,2,176,411
"Beauce/Beauce"," 39","Sainte-Marie",58,7,11,37,9,1,123,239
"Beauce/Beauce"," 40","Sainte-Marie",75,5,10,38,3,1,132,207
"Beauce/Beauce"," 41","Sainte-Marie",148,4,18,67,7,5,249,412
"Beauce/Beauce"," 42","Sainte-Marie",211,13,7,72,15,1,319,502
