Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephanie Ashley-Pryce,Ed Fast,Tim Felger,Richard Gebert,Jeffrey Hansen-Carlson,David S. MacKay,David Oliver,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Abbotsford/Abbotsford"," 64A","Abbotsford",5,138,0,3,19,1,18,1,185,301
"Abbotsford/Abbotsford"," 64B","Mobile poll/Bureau itinérant",0,48,0,1,12,0,11,1,73,84
"Abbotsford/Abbotsford"," 65","Abbotsford",10,157,0,1,9,2,23,1,203,272
"Abbotsford/Abbotsford"," 66","Abbotsford",17,156,1,0,47,1,19,5,246,534
"Abbotsford/Abbotsford"," 67","Abbotsford",5,74,3,0,24,1,15,0,122,206
"Abbotsford/Abbotsford"," 68","Abbotsford",7,110,3,2,43,0,27,0,192,366
"Abbotsford/Abbotsford"," 69","Abbotsford",10,112,2,1,45,0,16,0,186,318
"Abbotsford/Abbotsford"," 70","Abbotsford",20,134,0,1,36,1,20,1,213,387
"Abbotsford/Abbotsford"," 71","Abbotsford",8,66,2,2,14,1,26,0,119,236
"Abbotsford/Abbotsford"," 72","Abbotsford",9,103,3,1,50,0,29,1,196,340
"Abbotsford/Abbotsford"," 73","Abbotsford",6,137,2,3,37,0,24,0,209,399
"Abbotsford/Abbotsford"," 74","Abbotsford",5,91,2,0,37,1,31,2,169,335
"Abbotsford/Abbotsford"," 75","Abbotsford",7,97,3,1,32,0,17,0,157,312
"Abbotsford/Abbotsford"," 76","Abbotsford",9,113,2,1,56,1,47,3,232,525
"Abbotsford/Abbotsford"," 77","Abbotsford",10,134,0,1,42,1,31,2,221,444
"Abbotsford/Abbotsford"," 78","Abbotsford",12,139,1,0,21,1,13,2,189,394
"Abbotsford/Abbotsford"," 79","Abbotsford",13,88,1,0,16,0,22,0,140,285
"Abbotsford/Abbotsford"," 80","Abbotsford",15,156,2,0,25,0,27,0,225,445
