Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barbara Biley,Jen Fisher-Bradley,James Lunney,R. L. Dusty Miller,Jim Stewart,Manjeet Uppal,Frank Wagner,David Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Nanaimo--Alberni/Nanaimo--Alberni"," 57","Port Alberni",0,0,79,12,33,139,1,10,1,275,465
"Nanaimo--Alberni/Nanaimo--Alberni"," 58","Deep Bay",0,1,131,3,51,114,0,27,1,328,445
"Nanaimo--Alberni/Nanaimo--Alberni"," 59","Deep Bay",0,0,91,1,46,66,1,22,2,229,345
"Nanaimo--Alberni/Nanaimo--Alberni"," 60","Deep Bay",1,0,55,0,20,37,0,9,0,122,220
"Nanaimo--Alberni/Nanaimo--Alberni"," 61A","Bowser",0,1,66,0,29,56,0,16,0,168,247
"Nanaimo--Alberni/Nanaimo--Alberni"," 61B","Bowser",1,0,66,1,25,69,1,12,0,175,268
"Nanaimo--Alberni/Nanaimo--Alberni"," 62","Bowser",0,0,87,2,50,98,0,27,1,265,433
"Nanaimo--Alberni/Nanaimo--Alberni"," 63","Bowser",0,0,73,0,25,85,1,24,0,208,383
"Nanaimo--Alberni/Nanaimo--Alberni"," 64","Bowser",0,0,114,4,37,105,1,24,0,285,482
"Nanaimo--Alberni/Nanaimo--Alberni"," 65","Bowser",1,0,63,0,35,66,0,18,0,183,332
"Nanaimo--Alberni/Nanaimo--Alberni"," 66A","Apenes",0,0,80,3,22,59,0,10,0,174,311
"Nanaimo--Alberni/Nanaimo--Alberni"," 66B","Apenes",1,0,52,3,25,52,0,13,0,146,287
"Nanaimo--Alberni/Nanaimo--Alberni"," 67","Apenes",0,1,48,1,23,65,0,14,0,152,280
"Nanaimo--Alberni/Nanaimo--Alberni"," 68","Dashwood",1,0,119,1,41,104,1,23,1,291,487
"Nanaimo--Alberni/Nanaimo--Alberni"," 69","Qualicum Beach",0,0,105,0,51,71,0,21,1,249,433
"Nanaimo--Alberni/Nanaimo--Alberni"," 70","Qualicum Beach",0,0,89,0,38,58,1,11,0,197,326
"Nanaimo--Alberni/Nanaimo--Alberni"," 71","Qualicum Beach",0,0,109,0,47,62,1,21,1,241,411
"Nanaimo--Alberni/Nanaimo--Alberni"," 72","Qualicum Beach",0,0,114,2,48,88,0,15,0,267,470
"Nanaimo--Alberni/Nanaimo--Alberni"," 73","Qualicum Beach",0,0,115,2,31,68,1,16,1,234,405
"Nanaimo--Alberni/Nanaimo--Alberni"," 74A","Qualicum Beach",0,0,45,0,39,43,0,9,0,136,264
"Nanaimo--Alberni/Nanaimo--Alberni"," 74B","Qualicum Beach",1,0,45,0,27,41,0,10,0,124,243
"Nanaimo--Alberni/Nanaimo--Alberni"," 75","Qualicum Beach",0,0,124,2,56,107,0,17,2,308,491
"Nanaimo--Alberni/Nanaimo--Alberni"," 76","Qualicum Beach",0,0,63,0,38,41,3,23,0,168,286
"Nanaimo--Alberni/Nanaimo--Alberni"," 77","Qualicum Beach",0,0,66,2,48,49,0,17,0,182,286
"Nanaimo--Alberni/Nanaimo--Alberni"," 78","Apenes",0,0,89,2,26,50,0,20,0,187,300
"Nanaimo--Alberni/Nanaimo--Alberni"," 79","Qualicum Beach",0,0,98,3,55,84,0,21,1,262,454
"Nanaimo--Alberni/Nanaimo--Alberni"," 80","Qualicum Beach",0,1,123,2,64,82,0,16,2,290,490
"Nanaimo--Alberni/Nanaimo--Alberni"," 81","Qualicum Beach",0,0,105,2,75,68,1,23,1,275,460
"Nanaimo--Alberni/Nanaimo--Alberni"," 82A","Qualicum Beach",0,0,79,0,26,24,2,3,0,134,254
"Nanaimo--Alberni/Nanaimo--Alberni"," 82B","Qualicum Beach",0,0,90,0,34,24,0,6,0,154,269
"Nanaimo--Alberni/Nanaimo--Alberni"," 83","Qualicum Beach",0,0,107,0,39,49,0,5,0,200,336
"Nanaimo--Alberni/Nanaimo--Alberni"," 84","Qualicum Beach",0,0,108,0,33,44,0,5,0,190,316
"Nanaimo--Alberni/Nanaimo--Alberni"," 85","Apenes",0,0,140,0,71,32,0,7,0,250,440
"Nanaimo--Alberni/Nanaimo--Alberni"," 86","Apenes",0,0,161,0,62,39,0,9,1,272,433
"Nanaimo--Alberni/Nanaimo--Alberni"," 87","Apenes",0,0,129,2,45,50,1,12,1,240,375
"Nanaimo--Alberni/Nanaimo--Alberni"," 88","Apenes",1,1,116,2,36,41,0,7,0,204,347
"Nanaimo--Alberni/Nanaimo--Alberni"," 89","Apenes",1,0,140,3,51,86,0,19,1,301,479
"Nanaimo--Alberni/Nanaimo--Alberni"," 90","Apenes",1,0,69,0,20,87,1,3,0,181,282
"Nanaimo--Alberni/Nanaimo--Alberni"," 91","Apenes",0,0,197,2,83,50,0,19,1,352,501
"Nanaimo--Alberni/Nanaimo--Alberni"," 92A","Apenes",0,0,120,2,52,38,1,13,1,227,338
"Nanaimo--Alberni/Nanaimo--Alberni"," 92B","Apenes",0,0,128,1,42,47,0,10,0,228,345
"Nanaimo--Alberni/Nanaimo--Alberni"," 93A","Apenes",0,0,71,3,27,56,1,11,0,169,252
"Nanaimo--Alberni/Nanaimo--Alberni"," 93B","Apenes",0,0,74,1,20,59,2,16,0,172,264
"Nanaimo--Alberni/Nanaimo--Alberni"," 94","Parksville",0,0,97,0,60,59,0,14,0,230,360
"Nanaimo--Alberni/Nanaimo--Alberni"," 95","Parksville",0,0,61,3,34,55,0,9,0,162,270
"Nanaimo--Alberni/Nanaimo--Alberni"," 96","Parksville",0,0,74,3,55,82,2,13,0,229,380
"Nanaimo--Alberni/Nanaimo--Alberni"," 97A","Parksville",0,0,84,0,34,35,0,13,0,166,256
"Nanaimo--Alberni/Nanaimo--Alberni"," 97B","Parksville",1,0,99,1,40,38,1,6,0,186,290
"Nanaimo--Alberni/Nanaimo--Alberni"," 98","Parksville",0,0,28,2,44,39,0,7,1,121,194
"Nanaimo--Alberni/Nanaimo--Alberni"," 99A","Parksville",1,0,81,1,34,49,1,13,0,180,306
"Nanaimo--Alberni/Nanaimo--Alberni"," 99B","Parksville",0,0,71,0,31,53,0,16,0,171,292
"Nanaimo--Alberni/Nanaimo--Alberni"," 100","Parksville",0,0,108,5,40,80,0,8,0,241,389
"Nanaimo--Alberni/Nanaimo--Alberni"," 101","Parksville",1,0,69,0,31,45,0,8,0,154,321
"Nanaimo--Alberni/Nanaimo--Alberni"," 102","Parksville",1,1,91,2,68,68,1,18,0,250,454
"Nanaimo--Alberni/Nanaimo--Alberni"," 103A","Parksville",0,0,84,2,35,71,0,17,0,209,307
"Nanaimo--Alberni/Nanaimo--Alberni"," 103B","Parksville",0,0,82,1,62,52,0,8,1,206,295
"Nanaimo--Alberni/Nanaimo--Alberni"," 104","Parksville",0,0,94,3,51,92,1,14,1,256,454
"Nanaimo--Alberni/Nanaimo--Alberni"," 105","Parksville",0,0,100,0,68,67,1,11,0,247,457
"Nanaimo--Alberni/Nanaimo--Alberni"," 106","Parksville",0,0,96,2,40,55,1,11,0,205,342
"Nanaimo--Alberni/Nanaimo--Alberni"," 107","Parksville",2,1,74,3,43,81,0,14,3,221,365
"Nanaimo--Alberni/Nanaimo--Alberni"," 108","Parksville",2,1,48,2,27,71,4,9,0,164,326
"Nanaimo--Alberni/Nanaimo--Alberni"," 109A","Parksville",2,0,50,1,36,51,2,8,1,151,262
