Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barbara Biley,Jen Fisher-Bradley,James Lunney,R. L. Dusty Miller,Jim Stewart,Manjeet Uppal,Frank Wagner,David Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Nanaimo--Alberni/Nanaimo--Alberni"," 201","Nanaimo",0,0,94,6,48,96,1,12,0,257,443
"Nanaimo--Alberni/Nanaimo--Alberni"," 202A","Nanaimo",3,1,71,0,24,58,0,11,0,168,276
"Nanaimo--Alberni/Nanaimo--Alberni"," 202B","Nanaimo",0,0,47,0,22,47,0,7,0,123,245
"Nanaimo--Alberni/Nanaimo--Alberni"," 203","Nanaimo",0,1,59,1,26,45,0,18,0,150,345
"Nanaimo--Alberni/Nanaimo--Alberni"," 204","Nanaimo",0,0,51,0,30,90,0,6,0,177,350
"Nanaimo--Alberni/Nanaimo--Alberni"," 205","Nanaimo",0,1,62,1,36,80,1,6,0,187,308
"Nanaimo--Alberni/Nanaimo--Alberni"," 206","Nanaimo",0,0,55,1,36,83,1,8,0,184,301
"Nanaimo--Alberni/Nanaimo--Alberni"," 207","Nanaimo",0,0,104,0,45,113,1,9,3,275,431
"Nanaimo--Alberni/Nanaimo--Alberni"," 208","Nanaimo",0,0,38,0,30,72,0,14,1,155,302
"Nanaimo--Alberni/Nanaimo--Alberni"," 209A","Nanaimo",1,3,44,0,47,61,0,10,1,167,292
"Nanaimo--Alberni/Nanaimo--Alberni"," 209B","Nanaimo",0,3,74,1,20,79,0,5,0,182,313
"Nanaimo--Alberni/Nanaimo--Alberni"," 210","Nanaimo",1,0,85,3,26,82,0,10,0,207,337
"Nanaimo--Alberni/Nanaimo--Alberni"," 211","Nanaimo",0,1,84,1,54,103,0,12,0,255,428
"Nanaimo--Alberni/Nanaimo--Alberni"," 212","Nanaimo",1,0,96,0,78,82,2,13,0,272,423
"Nanaimo--Alberni/Nanaimo--Alberni"," 213","Nanaimo",0,0,70,1,48,100,0,20,0,239,387
"Nanaimo--Alberni/Nanaimo--Alberni"," 214A","Nanaimo",0,1,60,1,32,55,0,12,0,161,254
"Nanaimo--Alberni/Nanaimo--Alberni"," 214B","Nanaimo",0,0,47,1,32,61,2,10,0,153,261
"Nanaimo--Alberni/Nanaimo--Alberni"," 215A","Nanaimo",0,0,75,1,37,64,0,14,0,191,295
"Nanaimo--Alberni/Nanaimo--Alberni"," 215B","Nanaimo",0,0,71,2,33,55,0,10,0,171,280
"Nanaimo--Alberni/Nanaimo--Alberni"," 216","Nanaimo",0,0,77,1,42,50,0,11,0,181,300
"Nanaimo--Alberni/Nanaimo--Alberni"," 400","Nanaimo",2,1,63,0,40,12,1,1,3,123,174
"Nanaimo--Alberni/Nanaimo--Alberni"," 500","Mobile poll/Bureau itinérant",0,1,22,1,16,15,3,1,0,59,93
"Nanaimo--Alberni/Nanaimo--Alberni"," 501","Mobile poll/Bureau itinérant",1,3,7,4,6,7,0,1,2,31,86
"Nanaimo--Alberni/Nanaimo--Alberni"," 502","Mobile poll/Bureau itinérant",1,0,5,1,5,13,0,1,0,26,76
"Nanaimo--Alberni/Nanaimo--Alberni"," 503","Mobile poll/Bureau itinérant",3,0,34,2,7,17,0,2,0,65,108
"Nanaimo--Alberni/Nanaimo--Alberni"," 504","Mobile poll/Bureau itinérant",0,1,24,1,17,19,1,0,0,63,42
"Nanaimo--Alberni/Nanaimo--Alberni"," 600","Alberni-Clayoquot--Tofino",2,0,39,0,14,36,0,9,0,100,
"Nanaimo--Alberni/Nanaimo--Alberni"," 601","Alberni-Clayoquot--Ucluelet",0,0,48,0,21,32,0,9,0,110,
"Nanaimo--Alberni/Nanaimo--Alberni"," 602","Alberni-Clayoquot--Alberni",0,0,153,16,28,115,0,13,0,325,
"Nanaimo--Alberni/Nanaimo--Alberni"," 603","Port Alberni",1,3,192,20,65,209,2,19,2,513,
"Nanaimo--Alberni/Nanaimo--Alberni"," 604","Port Alberni",1,4,218,9,53,205,1,7,0,498,
"Nanaimo--Alberni/Nanaimo--Alberni"," 605","Qualicum Beach",0,0,404,2,129,189,0,33,4,761,
"Nanaimo--Alberni/Nanaimo--Alberni"," 606","Qualicum Beach",1,0,593,3,157,168,2,30,2,956,
"Nanaimo--Alberni/Nanaimo--Alberni"," 607","Parksville",2,0,417,7,139,181,0,34,0,780,
"Nanaimo--Alberni/Nanaimo--Alberni"," 608","Parksville",1,0,312,2,93,86,2,26,0,522,
"Nanaimo--Alberni/Nanaimo--Alberni"," 609","Nanaimo",0,1,301,2,98,103,0,20,0,525,
"Nanaimo--Alberni/Nanaimo--Alberni"," 610","Nanaimo",1,0,377,1,122,161,3,34,1,700,
"Nanaimo--Alberni/Nanaimo--Alberni"," 611","Nanaimo",0,0,434,2,103,144,1,26,0,710,
"Nanaimo--Alberni/Nanaimo--Alberni"," 612","Nanaimo",1,0,287,1,110,159,2,18,0,578,
"Nanaimo--Alberni/Nanaimo--Alberni"," 613","Nanaimo",1,1,165,0,60,105,0,16,0,348,
"Nanaimo--Alberni/Nanaimo--Alberni",,Group 1/Groupe 1,0,3,27,3,34,28,0,11,7,113,193
"Nanaimo--Alberni/Nanaimo--Alberni",,Group 2/Groupe 2,0,3,911,9,300,335,4,65,15,1642,
