Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexandre Beaudin,Dennis Bevington,Ethel Blondin-Andrew,Richard Edjericon,Jan H. van der Veen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Western Arctic/Western Arctic"," 1","Sachs Harbour",3,13,26,5,2,0,49,62
"Western Arctic/Western Arctic"," 2","Holman",1,59,35,6,2,0,103,241
"Western Arctic/Western Arctic"," 3","Aklavik",3,30,58,14,0,0,105,277
"Western Arctic/Western Arctic"," 4","Aklavik",1,17,40,10,0,1,69,125
"Western Arctic/Western Arctic"," 5","Tuktoyaktuk",9,43,171,24,3,3,253,580
"Western Arctic/Western Arctic"," 6","Tuktoyaktuk",Void/Supprimé,,,,,,,
"Western Arctic/Western Arctic"," 7","Paulatuk",2,9,85,4,1,0,101,174
"Western Arctic/Western Arctic"," 8","Inuvik",7,104,157,64,1,2,335,810
"Western Arctic/Western Arctic"," 9","Inuvik",5,78,132,36,2,2,255,578
"Western Arctic/Western Arctic"," 10","Inuvik",0,35,55,21,1,1,113,248
"Western Arctic/Western Arctic"," 11","Inuvik",7,77,52,25,0,0,161,277
"Western Arctic/Western Arctic"," 12","Inuvik",6,61,50,24,0,0,141,252
"Western Arctic/Western Arctic"," 13","Fort McPherson",3,41,70,19,2,0,135,326
"Western Arctic/Western Arctic"," 14","Fort McPherson",1,22,50,12,0,1,86,195
"Western Arctic/Western Arctic"," 15","Tsiigehtchic",1,4,31,4,0,0,40,103
"Western Arctic/Western Arctic"," 16","Fort Good Hope",9,51,90,16,2,0,168,387
"Western Arctic/Western Arctic"," 17","Colville Lake",1,5,40,5,0,0,51,72
"Western Arctic/Western Arctic"," 18","Norman Wells",15,96,89,57,1,1,259,541
"Western Arctic/Western Arctic"," 19","Deline",0,14,166,24,2,0,206,379
"Western Arctic/Western Arctic"," 20","Tulita",2,22,107,10,2,0,143,299
"Western Arctic/Western Arctic"," 21","Wrigley",1,15,17,7,0,1,41,99
"Western Arctic/Western Arctic"," 22","Nahanni Butte",0,9,13,11,2,1,36,55
"Western Arctic/Western Arctic"," 23","Gameti",3,5,100,8,1,0,117,181
"Western Arctic/Western Arctic"," 24","Wekweti",0,3,37,2,0,0,42,87
"Western Arctic/Western Arctic"," 25","Fort Simpson",5,64,56,5,2,0,132,246
"Western Arctic/Western Arctic"," 26","Fort Simpson",5,137,138,38,16,0,334,771
"Western Arctic/Western Arctic"," 27","Jean Marie River",0,5,24,5,1,0,35,43
"Western Arctic/Western Arctic"," 28","Fort Liard",2,43,54,18,3,1,121,384
"Western Arctic/Western Arctic"," 29","Trout Lake",3,3,24,0,0,0,30,65
"Western Arctic/Western Arctic"," 30","Wha Ti",5,20,166,11,1,1,204,310
"Western Arctic/Western Arctic"," 31","Rae",3,21,317,22,1,0,364,826
"Western Arctic/Western Arctic"," 32","Rae",1,5,133,10,0,0,149,194
"Western Arctic/Western Arctic"," 33","Edzo",3,20,59,12,1,0,95,157
"Western Arctic/Western Arctic"," 34","Fort Providence",3,160,180,17,0,1,361,561
"Western Arctic/Western Arctic"," 35","Camlaren",Merged with No. 24/Fusionné avec le nº 24,,,,,,,19
"Western Arctic/Western Arctic"," 36","Yellowknife",0,16,2,5,0,0,23,48
"Western Arctic/Western Arctic"," 37","Yellowknife",5,240,111,114,5,3,478,910
"Western Arctic/Western Arctic"," 38","Yellowknife",4,206,85,70,0,1,366,643
"Western Arctic/Western Arctic"," 39","Yellowknife",7,99,58,72,3,1,240,405
"Western Arctic/Western Arctic"," 40","Yellowknife",11,74,30,48,2,1,166,332
"Western Arctic/Western Arctic"," 41","Yellowknife",1,148,28,56,2,0,235,429
"Western Arctic/Western Arctic"," 42","Yellowknife",4,133,57,48,2,0,244,437
"Western Arctic/Western Arctic"," 43","Yellowknife",0,123,53,61,2,1,240,447
"Western Arctic/Western Arctic"," 44","Yellowknife",1,135,45,32,1,0,214,414
"Western Arctic/Western Arctic"," 45","Yellowknife",1,137,71,96,3,1,309,641
"Western Arctic/Western Arctic"," 46","Yellowknife",2,124,31,45,1,0,203,372
"Western Arctic/Western Arctic"," 47","Yellowknife",2,102,33,41,0,0,178,459
"Western Arctic/Western Arctic"," 48","Yellowknife",8,193,72,68,2,0,343,722
"Western Arctic/Western Arctic"," 49","Yellowknife",4,80,40,31,1,0,156,351
"Western Arctic/Western Arctic"," 50","Yellowknife",4,82,38,35,1,2,162,416
"Western Arctic/Western Arctic"," 51","Yellowknife",7,67,51,38,2,0,165,424
"Western Arctic/Western Arctic"," 52","Yellowknife",2,60,33,35,1,1,132,382
"Western Arctic/Western Arctic"," 53","Yellowknife",3,74,39,35,1,0,152,403
"Western Arctic/Western Arctic"," 54","Yellowknife",3,80,60,34,0,1,178,433
"Western Arctic/Western Arctic"," 55","Yellowknife",4,107,55,44,2,1,213,420
"Western Arctic/Western Arctic"," 56","Yellowknife",5,138,33,38,1,0,215,423
"Western Arctic/Western Arctic"," 57","Yellowknife",4,97,45,29,4,0,179,407
"Western Arctic/Western Arctic"," 58","Yellowknife",5,106,36,25,4,1,177,457
"Western Arctic/Western Arctic"," 59","Yellowknife",4,61,41,21,0,0,127,350
"Western Arctic/Western Arctic"," 60","Yellowknife",7,142,84,50,3,1,287,569
"Western Arctic/Western Arctic"," 61","Yellowknife",3,56,23,19,2,0,103,276
"Western Arctic/Western Arctic"," 62","Yellowknife",4,89,26,36,1,0,156,314
"Western Arctic/Western Arctic"," 63","Yellowknife",14,136,49,44,1,0,244,414
"Western Arctic/Western Arctic"," 64","Yellowknife",9,118,83,83,1,0,294,565
"Western Arctic/Western Arctic"," 65","Yellowknife",0,57,27,22,0,0,106,310
"Western Arctic/Western Arctic"," 66","Detah",5,8,43,34,0,0,90,130
"Western Arctic/Western Arctic"," 67","Kakisa",1,4,23,3,1,0,32,37
"Western Arctic/Western Arctic"," 68","Enterprise",0,19,8,14,0,0,41,78
"Western Arctic/Western Arctic"," 69","Hay River",7,88,54,73,6,2,230,448
"Western Arctic/Western Arctic"," 70","Hay River",4,85,32,60,4,0,185,373
"Western Arctic/Western Arctic"," 71","Hay River",8,154,72,117,6,0,357,672
"Western Arctic/Western Arctic"," 72","Hay River",6,79,39,85,2,0,211,412
"Western Arctic/Western Arctic"," 73","Hay River",4,169,88,153,3,2,419,743
"Western Arctic/Western Arctic"," 74","Hay River",0,8,75,30,0,0,113,184
"Western Arctic/Western Arctic"," 75","Fort Resolution",3,50,96,65,1,0,215,375
"Western Arctic/Western Arctic"," 76","Fort Smith",2,109,39,14,0,0,164,318
"Western Arctic/Western Arctic"," 77","Fort Smith",2,176,58,29,2,0,267,550
"Western Arctic/Western Arctic"," 78","Fort Smith",0,72,33,15,1,1,122,244
"Western Arctic/Western Arctic"," 79","Fort Smith",1,112,62,16,1,0,192,391
"Western Arctic/Western Arctic"," 80","Fort Smith",6,113,29,22,2,1,173,320
