Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Céline Brault,Lawrence Cannon,Christine Émond Lapointe,Moe Garahan,Benoit Legros,David Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Pontiac/Pontiac"," 1","Grand-Remous",0,0,0,0,0,0,0,0,82
"Pontiac/Pontiac"," 2","Montcerf",14,65,96,1,0,53,5,234,369
"Pontiac/Pontiac"," 3","Lytton",2,38,39,2,0,30,1,112,204
"Pontiac/Pontiac"," 4","Grand-Remous",13,62,93,6,0,54,3,231,456
"Pontiac/Pontiac"," 5","Grand-Remous",2,13,46,1,0,12,3,77,165
"Pontiac/Pontiac"," 6","Grand-Remous",8,40,73,0,1,72,4,198,362
"Pontiac/Pontiac"," 7","Aumond",15,78,108,2,1,68,4,276,553
"Pontiac/Pontiac"," 8","Bois-Franc",10,77,112,0,0,34,4,237,369
"Pontiac/Pontiac"," 9","Egan-Sud",7,70,104,1,0,57,1,240,425
"Pontiac/Pontiac"," 10","Kitigan Zibi",10,11,9,0,0,32,0,62,1253
"Pontiac/Pontiac"," 11","Déléage",7,26,57,1,0,32,4,127,215
"Pontiac/Pontiac"," 12","Déléage",6,107,110,4,0,67,3,297,584
"Pontiac/Pontiac"," 13","Déléage",6,68,60,1,0,47,5,187,371
"Pontiac/Pontiac"," 14","Déléage",9,57,85,2,0,38,2,193,408
"Pontiac/Pontiac"," 15","Sainte-Thérèse-de-la-Gatineau",9,63,78,3,1,47,2,203,357
"Pontiac/Pontiac"," 16","Messines",5,75,117,6,0,83,0,286,573
"Pontiac/Pontiac"," 17","Messines",7,57,73,3,0,40,0,180,298
"Pontiac/Pontiac"," 18","Messines",9,78,99,6,1,78,0,271,443
"Pontiac/Pontiac"," 19","Blue Sea",15,90,116,3,0,74,5,303,535
"Pontiac/Pontiac"," 20","Bouchette",11,61,69,6,1,68,2,218,375
"Pontiac/Pontiac"," 21","Bouchette",8,40,58,4,1,32,0,143,269
"Pontiac/Pontiac"," 22","Maniwaki",6,35,63,0,0,29,3,136,256
"Pontiac/Pontiac"," 23","Maniwaki",8,53,74,4,0,60,1,200,381
"Pontiac/Pontiac"," 24","Maniwaki",6,62,73,3,0,60,1,205,472
"Pontiac/Pontiac"," 25","Maniwaki",5,60,64,1,0,52,3,185,370
"Pontiac/Pontiac"," 26","Maniwaki",8,34,67,0,0,26,1,136,333
"Pontiac/Pontiac"," 27","Maniwaki",4,56,57,3,0,41,3,164,319
"Pontiac/Pontiac"," 28","Maniwaki",7,49,58,5,1,35,1,156,314
"Pontiac/Pontiac"," 29","Maniwaki",7,45,68,3,0,41,0,164,360
"Pontiac/Pontiac"," 30A","Maniwaki",3,27,34,0,0,22,0,86,276
"Pontiac/Pontiac"," 30B","Mobile poll/Bureau itinérant",0,3,3,0,0,12,0,18,32
"Pontiac/Pontiac"," 31","Maniwaki",8,35,51,3,0,58,1,156,467
"Pontiac/Pontiac"," 32","Cayamant",21,70,152,1,2,118,3,367,645
"Pontiac/Pontiac"," 33","Wright",7,24,40,3,0,34,1,109,239
"Pontiac/Pontiac"," 34","Wright",6,57,50,6,1,46,0,166,372
"Pontiac/Pontiac"," 35","Gracefield",4,63,53,0,0,43,1,164,372
"Pontiac/Pontiac"," 36A","Gracefield",7,32,33,0,0,35,0,107,231
"Pontiac/Pontiac"," 36B","Mobile poll/Bureau itinérant",Merged with No. 30B/Fusionné avec le nº 30B,,,,,,,,18
"Pontiac/Pontiac"," 37","Northfield",13,69,73,0,0,48,1,204,456
"Pontiac/Pontiac"," 38","Wright",11,57,36,3,0,54,0,161,409
"Pontiac/Pontiac"," 39","Alleyn-et-Cawood",2,50,6,4,0,38,0,100,149
"Pontiac/Pontiac"," 40","Kazabazua",11,50,14,2,0,46,0,123,253
"Pontiac/Pontiac"," 41","Lac-Sainte-Marie",23,85,65,2,1,90,1,267,453
"Pontiac/Pontiac"," 42","Kazabazua",19,92,11,3,2,73,0,200,374
"Pontiac/Pontiac"," 43","Low",30,146,26,15,0,58,1,276,408
"Pontiac/Pontiac"," 44","Low",15,77,35,15,0,54,2,198,327
"Pontiac/Pontiac"," 45","Denholm",15,97,46,7,1,83,15,264,437
"Pontiac/Pontiac"," 46","Rapides-des-Joachims",9,27,16,0,0,28,0,80,152
"Pontiac/Pontiac"," 47","Sheen-Esher-Aberdeen-et-Malakoff",4,35,6,1,0,23,0,69,96
"Pontiac/Pontiac"," 48","Waltham",24,94,7,1,0,82,0,208,335
"Pontiac/Pontiac"," 49","Chichester",16,91,2,3,0,52,1,165,283
"Pontiac/Pontiac"," 50","L'Isle-aux-Allumettes",10,100,8,2,2,108,1,231,370
"Pontiac/Pontiac"," 51","Chapeau",12,78,2,5,0,85,0,182,347
"Pontiac/Pontiac"," 52","L'Isle-aux-Allumettes",12,114,4,5,0,67,1,203,383
"Pontiac/Pontiac"," 53A","Mansfield-et-Pontefract",13,40,14,0,0,35,2,104,269
"Pontiac/Pontiac"," 53B","Mobile poll/Bureau itinérant",Merged with No. 69B/Fusionné avec le nº 69B,,,,,,,,20
"Pontiac/Pontiac"," 54","Mansfield-et-Pontefract",15,74,16,2,1,82,0,190,379
"Pontiac/Pontiac"," 55","Mansfield-et-Pontefract",24,117,35,1,0,43,1,221,457
"Pontiac/Pontiac"," 56","Fort-Coulonge",22,66,19,2,0,50,0,159,349
"Pontiac/Pontiac"," 57","Fort-Coulonge",6,24,14,0,0,42,0,86,223
"Pontiac/Pontiac"," 58","Fort-Coulonge",16,67,31,0,0,50,1,165,359
"Pontiac/Pontiac"," 59","Fort-Coulonge",14,73,16,2,1,50,0,156,368
"Pontiac/Pontiac"," 60","Mansfield-et-Pontefract",8,51,9,0,1,22,1,92,204
"Pontiac/Pontiac"," 61","Mansfield-et-Pontefract",12,47,23,1,0,76,1,160,360
"Pontiac/Pontiac"," 62","Leslie-Clapham-et-Huddersfield",16,69,11,1,1,40,0,138,274
"Pontiac/Pontiac"," 63","Leslie-Clapham-et-Huddersfield",14,171,12,4,2,70,0,273,490
"Pontiac/Pontiac"," 64","Thorne",19,128,7,5,0,34,2,195,330
"Pontiac/Pontiac"," 65","Clarendon",17,81,5,2,0,18,0,123,211
"Pontiac/Pontiac"," 66","Clarendon",12,131,9,1,0,19,1,173,293
"Pontiac/Pontiac"," 67","Vinton",12,84,11,2,0,32,1,142,260
"Pontiac/Pontiac"," 68","Campbell's Bay",16,73,3,0,0,38,0,130,194
"Pontiac/Pontiac"," 69A","Campbell's Bay",35,173,29,6,4,79,1,327,551
"Pontiac/Pontiac"," 69B","Mobile poll/Bureau itinérant",0,16,2,0,0,18,0,36,36
"Pontiac/Pontiac"," 70","Grand-Calumet",13,123,51,4,1,65,2,259,412
"Pontiac/Pontiac"," 71","Grand-Calumet",6,55,17,3,0,24,0,105,186
"Pontiac/Pontiac"," 72","Bryson",28,205,11,2,1,101,2,350,571
"Pontiac/Pontiac"," 73","Portage-du-Fort",14,57,3,3,0,44,0,121,210
"Pontiac/Pontiac"," 74","Litchfield",5,101,5,0,0,20,0,131,247
"Pontiac/Pontiac"," 75","Shawville",12,123,4,5,1,33,0,178,387
"Pontiac/Pontiac"," 76","Shawville",14,108,2,2,1,41,0,168,344
"Pontiac/Pontiac"," 77A","Shawville",12,81,0,4,0,25,0,122,287
"Pontiac/Pontiac"," 77B","Mobile poll/Bureau itinérant",Merged with No. 77C/Fusionné avec le nº 77C,,,,,,,,12
"Pontiac/Pontiac"," 77C","Mobile poll/Bureau itinérant",1,10,2,1,1,10,3,28,21
"Pontiac/Pontiac"," 78","Shawville",8,174,7,2,0,35,0,226,428
"Pontiac/Pontiac"," 79","Clarendon",7,86,1,0,0,20,0,114,192
"Pontiac/Pontiac"," 80","Lac-des-Loups",22,68,125,4,1,87,4,311,386
"Pontiac/Pontiac"," 81","Sainte-Sophie--East Aldfield",13,50,49,3,3,37,5,160,288
"Pontiac/Pontiac"," 82","Duclos",32,23,82,10,2,35,4,188,337
"Pontiac/Pontiac"," 83A","Wakefield",62,109,29,32,1,84,0,317,569
"Pontiac/Pontiac"," 83B","Mobile poll/Bureau itinérant",Merged with No. 87B/Fusionné avec le nº 87B,,,,,,,,5
"Pontiac/Pontiac"," 84","Masham",37,92,102,13,3,68,3,318,586
"Pontiac/Pontiac"," 85","Masham",26,55,74,5,1,30,0,191,344
"Pontiac/Pontiac"," 86","Masham",18,55,77,4,1,34,1,190,310
"Pontiac/Pontiac"," 87A","Masham",24,71,85,3,3,53,5,244,392
"Pontiac/Pontiac"," 87B","Mobile poll/Bureau itinérant",0,5,2,0,0,3,0,10,20
"Pontiac/Pontiac"," 88","Masham",14,39,73,4,0,30,2,162,258
"Pontiac/Pontiac"," 89","Wakefield",29,48,29,8,0,38,0,152,302
"Pontiac/Pontiac"," 90","Wakefield",122,103,24,42,0,114,1,406,667
"Pontiac/Pontiac"," 91","Wakefield",51,96,25,14,0,63,2,251,451
"Pontiac/Pontiac"," 92","Wakefield",98,121,63,35,1,116,4,438,726
"Pontiac/Pontiac"," 93","Bristol",11,101,2,10,0,40,0,164,267
"Pontiac/Pontiac"," 94","Bristol",15,151,4,4,0,39,0,213,338
"Pontiac/Pontiac"," 95","Bristol",8,91,4,4,0,45,0,152,243
"Pontiac/Pontiac"," 96","Quyon",34,170,32,6,1,98,0,341,479
"Pontiac/Pontiac"," 97A","Quyon",22,99,23,8,0,53,0,205,378
"Pontiac/Pontiac"," 97B","Quyon",Merged with No. 80/Fusionné avec le nº 80,,,,,,,,68
"Pontiac/Pontiac"," 98","Quyon",32,142,18,7,1,93,0,293,508
"Pontiac/Pontiac"," 99","Luskville",30,125,79,5,1,99,4,343,561
"Pontiac/Pontiac"," 100","Luskville",36,108,68,10,1,75,3,301,464
"Pontiac/Pontiac"," 101","Luskville",44,78,56,9,0,62,2,251,464
"Pontiac/Pontiac"," 102","Luskville",44,99,64,21,2,71,1,302,448
"Pontiac/Pontiac"," 103","Pontiac",32,163,99,15,0,105,2,416,688
"Pontiac/Pontiac"," 104","Chelsea",24,68,27,6,0,53,1,179,261
"Pontiac/Pontiac"," 105","Chelsea",79,63,27,30,0,60,0,259,409
"Pontiac/Pontiac"," 106","Chelsea",70,60,9,22,0,70,0,231,406
"Pontiac/Pontiac"," 107","Chelsea",96,131,70,51,0,98,0,446,689
"Pontiac/Pontiac"," 108","Chelsea",56,58,19,17,0,58,1,209,375
"Pontiac/Pontiac"," 109","Chelsea",70,60,26,17,0,69,0,242,418
"Pontiac/Pontiac"," 110","Chelsea",76,117,66,42,0,92,0,393,622
"Pontiac/Pontiac"," 111","Chelsea",32,84,64,11,0,74,3,268,423
"Pontiac/Pontiac"," 112","Chelsea",73,86,49,32,0,76,0,316,500
"Pontiac/Pontiac"," 113","Chelsea",42,63,30,11,1,48,0,195,294
"Pontiac/Pontiac"," 114","Chelsea",46,100,77,23,0,78,3,327,554
"Pontiac/Pontiac"," 115","Cantley",59,77,87,31,0,58,0,312,585
"Pontiac/Pontiac"," 116","Cantley",25,40,71,15,0,37,1,189,401
"Pontiac/Pontiac"," 117","Cantley",32,72,126,10,0,59,5,304,578
"Pontiac/Pontiac"," 118","Cantley",60,97,182,29,1,68,5,442,764
"Pontiac/Pontiac"," 119","Cantley",29,74,145,17,1,48,5,319,594
"Pontiac/Pontiac"," 120","Cantley",44,53,86,14,0,53,2,252,481
"Pontiac/Pontiac"," 121","Cantley",30,74,135,16,2,64,1,322,591
"Pontiac/Pontiac"," 122","Cantley",28,60,96,5,0,58,4,251,484
"Pontiac/Pontiac"," 123","Cantley",42,76,170,10,1,70,2,371,703
"Pontiac/Pontiac"," 124","Cantley",22,61,81,8,4,45,1,222,461
"Pontiac/Pontiac"," 125","Val-des-Monts",10,88,32,6,0,56,0,192,375
"Pontiac/Pontiac"," 126","Notre-Dame-de-la-Salette",21,55,68,3,0,33,2,182,306
"Pontiac/Pontiac"," 127","Notre-Dame-de-la-Salette",10,62,63,2,0,30,2,169,274
"Pontiac/Pontiac"," 128","Val-des-Monts",36,118,117,14,0,76,3,364,654
"Pontiac/Pontiac"," 129","Val-des-Monts",24,51,93,8,2,61,1,240,441
"Pontiac/Pontiac"," 130","Val-des-Monts",34,39,116,14,0,56,0,259,501
"Pontiac/Pontiac"," 131","Val-des-Monts",26,31,62,7,0,29,1,156,320
"Pontiac/Pontiac"," 132","Val-des-Monts",23,77,110,17,0,42,0,269,671
"Pontiac/Pontiac"," 133","Val-des-Monts",23,74,125,5,1,54,9,291,593
"Pontiac/Pontiac"," 134","Val-des-Monts",20,38,72,8,0,28,0,166,298
"Pontiac/Pontiac"," 135","Val-des-Monts",36,52,129,10,0,48,1,276,515
"Pontiac/Pontiac"," 136","Val-des-Monts",62,95,151,17,0,58,0,383,688
"Pontiac/Pontiac"," 137","Val-des-Monts",21,54,113,11,0,56,2,257,518
"Pontiac/Pontiac"," 138","Val-des-Monts",36,62,155,20,1,56,1,331,635
"Pontiac/Pontiac"," 139","Val-des-Monts",18,54,107,7,0,45,1,232,442
