Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Arnell,Jason Devine,Ghazanfar Khan,Deepak Obhrai,John Mark Taylor,Dobie To,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Calgary East/Calgary-Est"," 1","Calgary",23,1,3,152,21,22,0,222,395
"Calgary East/Calgary-Est"," 2","Calgary",25,1,1,125,18,41,0,211,455
"Calgary East/Calgary-Est"," 3","Calgary",23,0,0,87,11,23,0,144,347
"Calgary East/Calgary-Est"," 4","Calgary",37,1,1,159,22,40,0,260,411
"Calgary East/Calgary-Est"," 5","Calgary",21,0,0,113,13,22,0,169,323
"Calgary East/Calgary-Est"," 6","Calgary",39,0,1,173,26,31,1,271,460
"Calgary East/Calgary-Est"," 7","Calgary",35,2,0,145,11,14,0,207,332
"Calgary East/Calgary-Est"," 8","Calgary",18,1,2,142,20,28,0,211,383
"Calgary East/Calgary-Est"," 9","Calgary",11,0,1,56,10,11,0,89,230
"Calgary East/Calgary-Est"," 10","Calgary",20,2,0,161,25,28,0,236,431
"Calgary East/Calgary-Est"," 11","Calgary",34,2,0,181,20,21,3,261,400
"Calgary East/Calgary-Est"," 12","Calgary",26,0,1,141,17,31,0,216,359
"Calgary East/Calgary-Est"," 13","Calgary",19,1,1,101,12,31,2,167,387
"Calgary East/Calgary-Est"," 14","Calgary",15,1,3,72,10,29,3,133,411
"Calgary East/Calgary-Est"," 15","Calgary",19,6,0,72,13,36,2,148,461
"Calgary East/Calgary-Est"," 16","Calgary",32,2,4,146,17,40,0,241,532
"Calgary East/Calgary-Est"," 17","Calgary",20,1,0,93,15,21,0,150,373
"Calgary East/Calgary-Est"," 18","Calgary",26,0,0,124,17,24,0,191,509
"Calgary East/Calgary-Est"," 19","Calgary",15,5,0,93,19,20,1,153,483
"Calgary East/Calgary-Est"," 20","Calgary",15,2,0,99,5,19,0,140,318
"Calgary East/Calgary-Est"," 21","Calgary",14,0,1,77,11,31,2,136,372
"Calgary East/Calgary-Est"," 22","Calgary",19,1,1,63,4,20,0,108,412
"Calgary East/Calgary-Est"," 23","Calgary",23,1,1,103,14,23,1,166,355
"Calgary East/Calgary-Est"," 24","Calgary",25,2,2,126,17,32,0,204,375
"Calgary East/Calgary-Est"," 25","Calgary",25,0,1,100,12,36,1,175,435
"Calgary East/Calgary-Est"," 26","Calgary",23,1,0,85,9,30,0,148,416
"Calgary East/Calgary-Est"," 27","Calgary",37,1,0,130,11,36,1,216,437
"Calgary East/Calgary-Est"," 28","Calgary",29,1,0,130,9,44,2,215,472
