Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Herta Barron,Mike Fornssler,Don Kossick,Sonje Kristtorn,D.-Jay Krozser,Lynne Yelich,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Blackstrap/Blackstrap"," 1","Saskatoon",36,9,110,1,4,77,0,237,483
"Blackstrap/Blackstrap"," 2","Saskatoon",35,10,141,0,0,52,0,238,425
"Blackstrap/Blackstrap"," 3","Saskatoon",21,11,88,0,1,34,0,155,287
"Blackstrap/Blackstrap"," 4","Saskatoon",27,10,122,0,1,38,0,198,367
"Blackstrap/Blackstrap"," 5","Saskatoon",34,12,88,0,1,51,0,186,355
"Blackstrap/Blackstrap"," 6","Saskatoon",22,11,68,1,0,59,3,164,354
"Blackstrap/Blackstrap"," 7","Saskatoon",29,17,71,1,3,50,0,171,323
"Blackstrap/Blackstrap"," 8","Saskatoon",33,13,97,2,1,63,0,209,351
"Blackstrap/Blackstrap"," 9","Saskatoon",36,13,135,3,5,73,0,265,513
"Blackstrap/Blackstrap"," 10A","Saskatoon",32,15,89,0,2,54,1,193,346
"Blackstrap/Blackstrap"," 10B","Mobile poll/Bureau itinérant",7,0,5,0,0,21,1,34,20
"Blackstrap/Blackstrap"," 11","Saskatoon",24,9,76,0,3,58,0,170,360
"Blackstrap/Blackstrap"," 12","Saskatoon",24,5,46,0,1,36,0,112,215
"Blackstrap/Blackstrap"," 13","Saskatoon",37,6,90,0,1,65,0,199,338
"Blackstrap/Blackstrap"," 14","Saskatoon",49,16,107,3,1,82,1,259,477
"Blackstrap/Blackstrap"," 15","Saskatoon",39,19,97,0,1,59,0,215,362
"Blackstrap/Blackstrap"," 16","Saskatoon",44,1,76,1,3,51,0,176,308
"Blackstrap/Blackstrap"," 17","Saskatoon",25,4,75,2,2,67,0,175,270
"Blackstrap/Blackstrap"," 18","Saskatoon",20,8,74,1,2,73,0,178,357
