Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Karygiannis,Casey Maple,Bill Redwood,David Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Scarborough--Agincourt/Scarborough--Agincourt"," 1","Scarborough",228,6,75,48,5,362,569
"Scarborough--Agincourt/Scarborough--Agincourt"," 2","Scarborough",117,0,38,11,0,166,294
"Scarborough--Agincourt/Scarborough--Agincourt"," 3","Scarborough",163,5,43,38,2,251,499
"Scarborough--Agincourt/Scarborough--Agincourt"," 4","Scarborough",220,5,90,35,1,351,658
"Scarborough--Agincourt/Scarborough--Agincourt"," 5","Scarborough",151,9,41,26,0,227,440
"Scarborough--Agincourt/Scarborough--Agincourt"," 6","Scarborough",192,8,100,36,2,338,606
"Scarborough--Agincourt/Scarborough--Agincourt"," 7","Scarborough",154,7,47,32,0,240,432
"Scarborough--Agincourt/Scarborough--Agincourt"," 8","Scarborough",160,7,51,36,1,255,452
"Scarborough--Agincourt/Scarborough--Agincourt"," 9","Scarborough",148,6,30,27,0,211,352
"Scarborough--Agincourt/Scarborough--Agincourt"," 10","Scarborough",122,3,43,27,1,196,320
"Scarborough--Agincourt/Scarborough--Agincourt"," 11","Scarborough",147,9,38,9,0,203,385
"Scarborough--Agincourt/Scarborough--Agincourt"," 12","Scarborough",166,5,42,32,1,246,506
"Scarborough--Agincourt/Scarborough--Agincourt"," 13","Scarborough",184,10,52,19,0,265,496
"Scarborough--Agincourt/Scarborough--Agincourt"," 14","Scarborough",151,8,73,16,0,248,491
"Scarborough--Agincourt/Scarborough--Agincourt"," 15A","Scarborough",264,8,83,30,1,386,797
"Scarborough--Agincourt/Scarborough--Agincourt"," 15B","Mobile poll/Bureau itinérant",Merged with No. 422/Fusionné avec le nº 422,,,,,,63
"Scarborough--Agincourt/Scarborough--Agincourt"," 16","Scarborough",133,6,43,27,0,209,492
"Scarborough--Agincourt/Scarborough--Agincourt"," 17","Scarborough",195,3,39,38,2,277,507
"Scarborough--Agincourt/Scarborough--Agincourt"," 18","Scarborough",183,7,42,27,0,259,483
"Scarborough--Agincourt/Scarborough--Agincourt"," 19","Scarborough",146,5,57,12,5,225,391
"Scarborough--Agincourt/Scarborough--Agincourt"," 20","Scarborough",182,8,63,27,1,281,455
"Scarborough--Agincourt/Scarborough--Agincourt"," 21","Scarborough",170,4,46,42,0,262,460
"Scarborough--Agincourt/Scarborough--Agincourt"," 22","Scarborough",207,4,62,29,1,303,601
"Scarborough--Agincourt/Scarborough--Agincourt"," 23","Scarborough",189,3,54,26,0,272,495
"Scarborough--Agincourt/Scarborough--Agincourt"," 24","Scarborough",211,12,81,29,1,334,581
"Scarborough--Agincourt/Scarborough--Agincourt"," 25","Scarborough",175,10,88,22,0,295,535
