Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steve Armes,Bob Callow,Pamela Courtot,Lui Temelkovski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Oak Ridges--Markham/Oak Ridges--Markham"," 125D","Markham",9,70,35,120,2,236,393
"Oak Ridges--Markham/Oak Ridges--Markham"," 125E","Markham",5,64,22,141,1,233,374
"Oak Ridges--Markham/Oak Ridges--Markham"," 125F","Markham",6,74,28,113,1,222,389
"Oak Ridges--Markham/Oak Ridges--Markham"," 125G","Markham",5,57,31,157,0,250,433
"Oak Ridges--Markham/Oak Ridges--Markham"," 125H","Markham",7,65,27,151,0,250,424
"Oak Ridges--Markham/Oak Ridges--Markham"," 125I","Markham",6,48,17,85,1,157,222
"Oak Ridges--Markham/Oak Ridges--Markham"," 125J","Markham",8,62,27,168,1,266,441
"Oak Ridges--Markham/Oak Ridges--Markham"," 125K","Markham",4,39,38,137,0,218,356
"Oak Ridges--Markham/Oak Ridges--Markham"," 125L","Markham",4,71,39,115,1,230,396
"Oak Ridges--Markham/Oak Ridges--Markham"," 126A","Markham",1,82,11,87,1,182,410
"Oak Ridges--Markham/Oak Ridges--Markham"," 126B","Markham",4,80,9,69,0,162,390
"Oak Ridges--Markham/Oak Ridges--Markham"," 127","Markham",35,133,39,142,1,350,328
"Oak Ridges--Markham/Oak Ridges--Markham"," 128","Markham",7,101,22,195,2,327,594
"Oak Ridges--Markham/Oak Ridges--Markham"," 129","Markham",8,80,38,143,1,270,452
"Oak Ridges--Markham/Oak Ridges--Markham"," 130","Markham",8,88,38,182,2,318,550
"Oak Ridges--Markham/Oak Ridges--Markham"," 131A","Markham",7,53,8,124,2,194,354
"Oak Ridges--Markham/Oak Ridges--Markham"," 131B","Markham",2,35,23,97,0,157,273
"Oak Ridges--Markham/Oak Ridges--Markham"," 132","Markham",5,68,24,144,0,241,431
"Oak Ridges--Markham/Oak Ridges--Markham"," 133","Markham",16,76,42,105,0,239,478
"Oak Ridges--Markham/Oak Ridges--Markham"," 134A","Markham",2,56,10,110,0,178,343
"Oak Ridges--Markham/Oak Ridges--Markham"," 134B","Markham",8,42,11,74,2,137,281
"Oak Ridges--Markham/Oak Ridges--Markham"," 135","Markham",12,99,32,169,1,313,494
"Oak Ridges--Markham/Oak Ridges--Markham"," 136","Markham",13,95,36,193,1,338,569
"Oak Ridges--Markham/Oak Ridges--Markham"," 137","Markham",11,92,23,117,1,244,430
"Oak Ridges--Markham/Oak Ridges--Markham"," 138","Markham",0,29,4,36,0,69,189
"Oak Ridges--Markham/Oak Ridges--Markham"," 139A","Markham",4,60,17,77,0,158,328
"Oak Ridges--Markham/Oak Ridges--Markham"," 139B","Markham",4,50,14,71,0,139,286
"Oak Ridges--Markham/Oak Ridges--Markham"," 140","Markham",18,106,45,186,0,355,566
"Oak Ridges--Markham/Oak Ridges--Markham"," 141","Markham",8,95,17,176,0,296,484
"Oak Ridges--Markham/Oak Ridges--Markham"," 142","Markham",5,46,14,132,0,197,369
"Oak Ridges--Markham/Oak Ridges--Markham"," 143","Markham",6,63,22,120,1,212,384
"Oak Ridges--Markham/Oak Ridges--Markham"," 144","Markham",10,13,5,48,0,76,330
"Oak Ridges--Markham/Oak Ridges--Markham"," 145","Markham",10,40,22,53,1,126,333
