Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Virginia Ervin,Doug Moffatt,Bev Oda,Bruce Rogers,Henry Zekveld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Durham/Durham"," 1A","Uxbridge",21,73,99,35,1,3,232,343
"Durham/Durham"," 1B","Uxbridge",13,59,113,41,3,1,230,353
"Durham/Durham"," 2","Uxbridge",23,64,127,40,6,0,260,405
"Durham/Durham"," 3","Uxbridge",31,93,175,56,2,2,359,544
"Durham/Durham"," 4","Uxbridge",11,84,136,37,3,1,272,447
"Durham/Durham"," 5","Uxbridge",16,56,125,34,3,1,235,417
"Durham/Durham"," 6","Uxbridge",30,110,151,39,1,0,331,519
"Durham/Durham"," 7","Uxbridge",16,92,123,26,1,0,258,517
"Durham/Durham"," 8","Uxbridge",14,74,91,29,2,1,211,374
"Durham/Durham"," 9","Uxbridge",23,116,169,40,3,1,352,532
"Durham/Durham"," 10","Uxbridge",18,117,191,54,9,0,389,556
"Durham/Durham"," 11","Uxbridge",18,54,81,9,4,0,166,282
"Durham/Durham"," 12","Uxbridge",8,56,118,34,3,0,219,356
"Durham/Durham"," 13","Uxbridge",12,70,78,30,2,1,193,329
"Durham/Durham"," 14","Uxbridge",20,61,94,38,4,2,219,413
"Durham/Durham"," 15","Uxbridge",4,68,72,39,3,1,187,320
"Durham/Durham"," 16","Uxbridge",14,132,187,41,1,0,375,572
"Durham/Durham"," 17","Uxbridge",22,125,170,58,2,3,380,570
"Durham/Durham"," 18","Uxbridge",5,89,130,34,1,4,263,484
"Durham/Durham"," 19","Uxbridge",6,76,77,21,1,4,185,308
"Durham/Durham"," 20A","Uxbridge",10,35,64,22,2,0,133,223
"Durham/Durham"," 20B","Uxbridge",1,16,14,10,1,0,42,85
"Durham/Durham"," 21","Uxbridge",20,75,112,30,3,0,240,451
"Durham/Durham"," 22","Uxbridge",16,87,116,67,2,1,289,530
"Durham/Durham"," 23","Uxbridge",9,82,102,25,0,0,218,366
"Durham/Durham"," 24","Uxbridge",14,41,77,32,0,1,165,264
"Durham/Durham"," 25A","Uxbridge",13,93,106,29,0,2,243,439
"Durham/Durham"," 25B","Uxbridge",19,85,147,23,1,1,276,471
"Durham/Durham"," 26","Uxbridge",7,58,89,29,2,1,186,325
"Durham/Durham"," 27","Uxbridge",20,60,148,42,0,2,272,430
"Durham/Durham"," 28","Uxbridge",15,115,156,39,4,1,330,507
"Durham/Durham"," 29","Uxbridge",17,69,101,38,1,0,226,404
"Durham/Durham"," 30","Uxbridge",24,87,105,30,1,1,248,472
"Durham/Durham"," 31","Scugog",15,105,122,45,6,2,295,475
"Durham/Durham"," 32","Scugog",15,93,145,37,1,1,292,422
"Durham/Durham"," 33","Scugog",12,71,134,41,4,0,262,507
"Durham/Durham"," 34","Scugog",9,85,142,22,1,0,259,436
"Durham/Durham"," 35","Scugog",14,58,94,35,1,0,202,348
"Durham/Durham"," 36","Scugog",5,70,89,20,0,0,184,321
"Durham/Durham"," 37","Scugog",12,83,126,43,2,1,267,505
"Durham/Durham"," 38","Scugog",14,91,95,31,4,0,235,377
"Durham/Durham"," 39","Scugog",8,73,94,17,1,0,193,358
"Durham/Durham"," 40","Scugog",13,84,128,51,9,1,286,452
"Durham/Durham"," 41","Scugog",13,111,170,62,3,2,361,597
"Durham/Durham"," 42A","Scugog",16,71,101,24,2,0,214,354
"Durham/Durham"," 42B","Scugog",9,71,86,28,1,0,195,350
"Durham/Durham"," 43","Scugog",12,99,90,50,1,0,252,439
"Durham/Durham"," 44","Scugog",8,110,134,33,1,0,286,502
"Durham/Durham"," 45","Scugog",8,72,81,49,1,3,214,361
"Durham/Durham"," 46","Scugog",4,54,99,33,1,0,191,357
"Durham/Durham"," 47","Scugog",12,73,62,29,3,0,179,377
"Durham/Durham"," 48","Scugog",7,52,54,39,0,0,152,286
"Durham/Durham"," 49","Scugog",7,152,152,28,1,0,340,525
"Durham/Durham"," 50","Scugog",10,68,99,51,1,3,232,452
"Durham/Durham"," 51","Scugog",3,69,96,26,1,3,198,345
"Durham/Durham"," 52","Scugog",15,55,61,34,0,0,165,298
"Durham/Durham"," 53","Scugog",8,62,68,28,0,2,168,313
"Durham/Durham"," 54","Scugog",20,57,97,47,1,0,222,389
"Durham/Durham"," 55","Scugog",7,61,63,19,0,1,151,262
"Durham/Durham"," 56","Scugog",21,96,133,40,2,0,292,544
"Durham/Durham"," 57","Scugog",9,59,88,40,0,1,197,394
"Durham/Durham"," 58","Scugog",16,83,142,56,0,0,297,518
"Durham/Durham"," 59","Scugog",18,70,152,42,6,0,288,511
"Durham/Durham"," 60","Scugog",14,85,141,85,5,1,331,507
"Durham/Durham"," 61","Scugog",22,64,107,68,0,2,263,419
"Durham/Durham"," 62","Scugog",17,95,149,68,2,0,331,536
"Durham/Durham"," 63","Scugog",18,56,158,44,7,0,283,441
"Durham/Durham"," 64","Scugog",10,64,121,47,3,3,248,378
"Durham/Durham"," 65","Scugog",15,70,113,26,1,0,225,354
"Durham/Durham"," 66","Scugog",6,55,139,40,0,0,240,348
"Durham/Durham"," 67","Scugog",24,91,138,56,2,0,311,498
"Durham/Durham"," 68","Clarington",13,79,159,68,6,1,326,509
"Durham/Durham"," 69","Clarington",20,100,151,43,5,0,319,484
"Durham/Durham"," 70","Clarington",16,50,132,44,2,1,245,351
"Durham/Durham"," 71","Clarington",23,80,128,49,4,1,285,453
"Durham/Durham"," 72","Clarington",7,82,179,47,1,1,317,504
"Durham/Durham"," 73","Clarington",12,84,163,51,2,0,312,501
"Durham/Durham"," 74","Clarington",13,60,95,53,1,0,222,321
"Durham/Durham"," 75","Clarington",14,69,106,38,1,0,228,346
"Durham/Durham"," 76","Clarington",22,83,129,51,7,1,293,440
"Durham/Durham"," 77","Clarington",4,62,87,32,5,0,190,328
"Durham/Durham"," 78","Clarington",10,73,138,28,9,0,258,414
"Durham/Durham"," 79","Clarington",7,49,98,39,6,0,199,351
"Durham/Durham"," 80","Clarington",12,35,78,32,4,0,161,318
"Durham/Durham"," 81","Clarington",14,50,73,27,1,0,165,306
"Durham/Durham"," 82","Clarington",10,86,148,49,4,1,298,465
"Durham/Durham"," 83","Clarington",12,68,113,44,3,2,242,414
"Durham/Durham"," 84","Clarington",14,109,127,73,2,1,326,532
"Durham/Durham"," 85","Clarington",10,56,107,46,1,0,220,384
"Durham/Durham"," 86","Clarington",15,67,118,47,5,1,253,374
"Durham/Durham"," 87","Clarington",6,105,148,56,3,2,320,533
"Durham/Durham"," 88","Clarington",9,113,110,56,2,1,291,451
"Durham/Durham"," 89","Clarington",16,85,138,61,1,0,301,489
"Durham/Durham"," 90","Clarington",11,69,96,62,4,0,242,463
"Durham/Durham"," 91","Clarington",6,79,141,42,1,0,269,478
"Durham/Durham"," 92A","Clarington",10,55,111,49,2,0,227,408
"Durham/Durham"," 92B","Clarington",7,51,97,50,2,1,208,396
"Durham/Durham"," 93","Clarington",9,69,130,63,1,0,272,441
"Durham/Durham"," 94","Clarington",9,35,58,19,1,1,123,228
"Durham/Durham"," 95","Clarington",2,79,105,73,4,1,264,523
"Durham/Durham"," 96","Clarington",7,82,124,49,1,0,263,450
"Durham/Durham"," 97","Clarington",11,70,108,32,2,0,223,359
"Durham/Durham"," 98","Clarington",6,61,103,57,1,0,228,360
"Durham/Durham"," 99","Clarington",11,69,109,42,3,2,236,394
"Durham/Durham"," 100","Clarington",13,100,81,41,4,2,241,420
"Durham/Durham"," 101","Clarington",10,71,87,38,2,0,208,351
"Durham/Durham"," 102A","Clarington",9,48,77,26,2,0,162,279
"Durham/Durham"," 102B","Clarington",6,70,86,22,2,0,186,311
"Durham/Durham"," 103","Clarington",10,89,102,39,0,0,240,381
"Durham/Durham"," 104","Clarington",12,56,143,51,2,1,265,385
"Durham/Durham"," 105","Clarington",13,44,93,55,0,0,205,362
"Durham/Durham"," 106","Clarington",17,123,152,63,0,0,355,544
"Durham/Durham"," 107","Clarington",12,55,115,54,3,0,239,428
"Durham/Durham"," 108","Clarington",6,60,93,50,2,2,213,353
"Durham/Durham"," 109","Clarington",3,66,134,45,2,0,250,396
"Durham/Durham"," 110","Clarington",17,129,187,47,1,0,381,604
"Durham/Durham"," 111","Clarington",3,78,99,27,7,1,215,310
"Durham/Durham"," 112","Clarington",15,77,158,43,2,1,296,463
"Durham/Durham"," 113","Clarington",7,78,125,57,1,0,268,494
"Durham/Durham"," 114","Clarington",16,64,99,32,1,1,213,366
"Durham/Durham"," 115A","Clarington",12,87,111,37,4,1,252,402
"Durham/Durham"," 115B","Clarington",8,98,113,61,2,1,283,433
"Durham/Durham"," 116A","Clarington",2,53,129,39,3,0,226,433
"Durham/Durham"," 116B","Clarington",9,51,102,45,5,1,213,428
"Durham/Durham"," 117","Clarington",10,97,127,44,4,0,282,520
