Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thom Chapman,Olivia Chow,Sam Goldstein,Asif Hossain,Tony Ianno,Nick Lin,John Riddell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Trinity--Spadina/Trinity--Spadina"," 1","Toronto",9,69,4,2,56,0,0,1,141,230
"Trinity--Spadina/Trinity--Spadina"," 2","Toronto",9,96,6,1,82,0,0,4,198,345
"Trinity--Spadina/Trinity--Spadina"," 3","Toronto",24,131,14,0,81,0,1,1,252,376
"Trinity--Spadina/Trinity--Spadina"," 4","Toronto",8,113,14,0,57,0,0,0,192,320
"Trinity--Spadina/Trinity--Spadina"," 5","Toronto",8,146,12,3,84,0,0,2,255,393
"Trinity--Spadina/Trinity--Spadina"," 6","Toronto",9,149,11,0,86,0,0,1,256,408
"Trinity--Spadina/Trinity--Spadina"," 7","Toronto",4,102,20,0,98,0,0,0,224,395
"Trinity--Spadina/Trinity--Spadina"," 8","Toronto",5,132,11,1,103,1,0,2,255,397
"Trinity--Spadina/Trinity--Spadina"," 9","Toronto",10,121,9,1,96,0,0,2,239,372
"Trinity--Spadina/Trinity--Spadina"," 10","Toronto",3,137,17,1,121,1,0,2,282,457
"Trinity--Spadina/Trinity--Spadina"," 11","Toronto",4,132,9,2,125,0,0,4,276,425
"Trinity--Spadina/Trinity--Spadina"," 12","Toronto",5,74,4,1,39,0,0,5,128,236
"Trinity--Spadina/Trinity--Spadina"," 13","Toronto",5,93,9,0,84,0,1,1,193,306
"Trinity--Spadina/Trinity--Spadina"," 14","Toronto",9,138,8,1,147,2,0,2,307,475
"Trinity--Spadina/Trinity--Spadina"," 15","Toronto",8,138,9,2,126,1,0,0,284,412
"Trinity--Spadina/Trinity--Spadina"," 16A","Toronto",12,100,7,1,67,0,0,1,188,324
"Trinity--Spadina/Trinity--Spadina"," 16B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,,84
"Trinity--Spadina/Trinity--Spadina"," 17","Toronto",12,154,17,2,92,0,0,0,277,448
"Trinity--Spadina/Trinity--Spadina"," 18","Toronto",9,123,7,0,98,2,1,0,240,378
"Trinity--Spadina/Trinity--Spadina"," 19","Toronto",12,112,4,0,65,0,0,2,195,302
"Trinity--Spadina/Trinity--Spadina"," 20A","Toronto",5,48,3,0,39,0,0,0,95,211
"Trinity--Spadina/Trinity--Spadina"," 20B","Toronto",2,1,1,0,19,0,0,1,24,68
"Trinity--Spadina/Trinity--Spadina"," 21","Toronto",14,136,14,1,82,1,0,0,248,419
"Trinity--Spadina/Trinity--Spadina"," 22","Toronto",23,170,20,2,89,0,1,2,307,455
"Trinity--Spadina/Trinity--Spadina"," 23","Toronto",11,97,9,0,69,1,0,0,187,284
"Trinity--Spadina/Trinity--Spadina"," 24","Toronto",8,110,10,1,62,0,0,1,192,313
"Trinity--Spadina/Trinity--Spadina"," 25","Toronto",6,114,11,0,52,0,0,0,183,272
"Trinity--Spadina/Trinity--Spadina"," 26","Toronto",11,120,12,0,91,0,0,2,236,323
"Trinity--Spadina/Trinity--Spadina"," 27","Toronto",11,90,11,1,49,0,0,0,162,260
"Trinity--Spadina/Trinity--Spadina"," 28","Toronto",6,78,8,1,58,0,0,0,151,221
"Trinity--Spadina/Trinity--Spadina"," 29","Toronto",19,130,23,2,90,0,0,0,264,394
"Trinity--Spadina/Trinity--Spadina"," 30","Toronto",8,110,15,1,83,0,0,1,218,340
"Trinity--Spadina/Trinity--Spadina"," 31","Toronto",14,155,27,0,81,0,0,0,277,429
"Trinity--Spadina/Trinity--Spadina"," 32","Toronto",7,111,16,0,67,1,0,0,202,290
"Trinity--Spadina/Trinity--Spadina"," 33","Toronto",7,111,13,2,65,0,1,0,199,282
"Trinity--Spadina/Trinity--Spadina"," 34","Toronto",16,137,14,6,74,0,0,2,249,374
"Trinity--Spadina/Trinity--Spadina"," 35","Toronto",4,137,23,1,102,1,0,0,268,412
"Trinity--Spadina/Trinity--Spadina"," 36","Toronto",2,151,14,1,76,0,0,0,244,374
