Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Edward Guergis,Ron Matsusaki,Joe McGuire,Michael Nesbitt,Regena Kaye Russell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Egmont/Egmont"," 1","Seacow Pond",53,18,81,2,6,3,163,310
"Egmont/Egmont"," 2","Nail Pond",73,15,151,4,5,0,248,464
"Egmont/Egmont"," 3","Judes Point",52,24,98,0,8,0,182,291
"Egmont/Egmont"," 4","Tignish Central",54,18,96,5,15,0,188,302
"Egmont/Egmont"," 5","Tignish South",43,13,50,0,9,3,118,188
"Egmont/Egmont"," 6","Skinners Pond",41,32,102,1,10,4,190,299
"Egmont/Egmont"," 7","Peterville",61,24,113,0,21,1,220,364
"Egmont/Egmont"," 8","St. Felix",64,30,122,0,13,0,229,306
"Egmont/Egmont"," 9","Profits Corner",40,22,88,1,7,1,159,306
"Egmont/Egmont"," 10","Central Kildare",59,33,100,0,11,1,204,357
"Egmont/Egmont"," 11","St. Edward",68,40,159,4,21,2,294,470
"Egmont/Egmont"," 12","Ebbsfleet",49,23,108,1,10,1,192,255
"Egmont/Egmont"," 13","Lauretta",95,14,109,3,23,6,250,361
"Egmont/Egmont"," 14","Elmsdale",70,22,126,0,14,2,234,357
"Egmont/Egmont"," 15","Alberton North",66,34,80,2,11,1,194,296
"Egmont/Egmont"," 16","Mill River East",114,30,106,2,17,0,269,382
"Egmont/Egmont"," 17","Alberton South",57,41,153,3,15,0,269,366
"Egmont/Egmont"," 18","Alberton East",96,34,175,2,13,0,320,460
"Egmont/Egmont"," 19","Campbellton",33,6,31,0,5,3,78,114
"Egmont/Egmont"," 20","Burton",34,6,74,0,14,0,128,224
"Egmont/Egmont"," 21","Duvar",33,15,60,0,19,1,128,222
"Egmont/Egmont"," 22","Fortune Cove",79,15,105,1,30,3,233,352
"Egmont/Egmont"," 23","Freeland",41,6,100,3,18,1,169,269
"Egmont/Egmont"," 24","Unionvale",47,6,51,0,29,1,134,269
"Egmont/Egmont"," 25","O'Leary North",44,4,80,1,26,1,156,305
"Egmont/Egmont"," 26","O'Leary South East",60,3,65,0,15,2,145,316
"Egmont/Egmont"," 27","West Devon",29,2,54,1,9,1,96,229
"Egmont/Egmont"," 28","North Enmore",52,3,80,0,12,2,149,268
"Egmont/Egmont"," 29","O'Leary South",54,7,74,0,29,0,164,408
"Egmont/Egmont"," 30","Knutsford",52,6,80,1,12,1,152,294
"Egmont/Egmont"," 31","Brae",36,5,76,2,21,2,142,316
"Egmont/Egmont"," 32","Dunblane",65,5,62,0,20,1,153,259
"Egmont/Egmont"," 33","East Bideford",82,4,98,1,16,0,201,315
