Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dragan Cimesa,Maria De Angelis-Pater,Paul Ferreira,Steve Halicki,Alan Tonks,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"York South--Weston/York-Sud--Weston"," 1","North York",3,16,47,46,130,2,244,433
"York South--Weston/York-Sud--Weston"," 2","North York",0,8,56,39,105,0,208,337
"York South--Weston/York-Sud--Weston"," 3","North York",1,13,42,38,152,0,246,358
"York South--Weston/York-Sud--Weston"," 4","North York",0,13,57,67,116,2,255,390
"York South--Weston/York-Sud--Weston"," 5","York",1,2,52,51,64,1,171,372
"York South--Weston/York-Sud--Weston"," 6","North York",1,16,65,52,132,0,266,401
"York South--Weston/York-Sud--Weston"," 7","North York",0,6,57,48,123,0,234,331
"York South--Weston/York-Sud--Weston"," 8","North York",1,9,65,65,110,0,250,391
"York South--Weston/York-Sud--Weston"," 9","York",0,2,29,23,38,0,92,236
"York South--Weston/York-Sud--Weston"," 10","York",0,6,18,18,78,0,120,363
"York South--Weston/York-Sud--Weston"," 11","York",1,2,13,29,37,1,83,214
"York South--Weston/York-Sud--Weston"," 12","York",1,7,67,36,113,1,225,462
"York South--Weston/York-Sud--Weston"," 13","York",1,12,70,37,132,0,252,437
"York South--Weston/York-Sud--Weston"," 14","York",1,19,50,24,72,2,168,273
"York South--Weston/York-Sud--Weston"," 15","York",1,15,71,34,110,0,231,339
"York South--Weston/York-Sud--Weston"," 16","York",1,8,60,39,78,0,186,358
"York South--Weston/York-Sud--Weston"," 17A","York",1,9,63,45,222,0,340,650
"York South--Weston/York-Sud--Weston"," 17B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,7
"York South--Weston/York-Sud--Weston"," 18","York",1,4,65,34,75,0,179,276
"York South--Weston/York-Sud--Weston"," 19","York",3,19,66,44,75,0,207,397
"York South--Weston/York-Sud--Weston"," 20","York",1,15,64,55,80,0,215,323
"York South--Weston/York-Sud--Weston"," 21","York",1,7,61,45,88,0,202,328
"York South--Weston/York-Sud--Weston"," 22","York",1,6,41,30,108,1,187,420
"York South--Weston/York-Sud--Weston"," 23","York",3,13,93,45,127,1,282,457
"York South--Weston/York-Sud--Weston"," 24","York",0,9,63,42,95,1,210,374
"York South--Weston/York-Sud--Weston"," 25","York",Void/Supprimé,,,,,,,
"York South--Weston/York-Sud--Weston"," 26","York",1,26,66,78,179,5,355,534
"York South--Weston/York-Sud--Weston"," 27","York",1,1,25,7,68,0,102,310
"York South--Weston/York-Sud--Weston"," 28","York",1,16,51,51,90,6,215,399
"York South--Weston/York-Sud--Weston"," 29","North York",3,5,46,51,166,0,271,427
"York South--Weston/York-Sud--Weston"," 30","North York",4,9,29,41,129,0,212,331
"York South--Weston/York-Sud--Weston"," 30-1","North York",5,3,30,24,253,1,316,582
"York South--Weston/York-Sud--Weston"," 31","North York",2,3,17,10,103,1,136,268
