Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carole Freeman,Charles Ghorayeb,Ehsan Mohammadian,Alain Rioux,Rosaire Turcot,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 1","Châteauguay",105,38,6,12,49,3,213,411
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 2","Châteauguay",164,75,19,13,53,3,327,548
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 3","Châteauguay",68,138,15,13,70,1,305,472
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 4","Châteauguay",106,105,22,10,78,7,328,550
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 5","Châteauguay",99,79,19,20,41,3,261,453
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 6","Châteauguay",107,100,23,12,76,5,323,551
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 7","Châteauguay",96,64,19,22,29,8,238,372
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 8","Châteauguay",88,124,26,21,65,0,324,518
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 9","Châteauguay",53,105,26,11,38,4,237,379
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 10","Châteauguay",132,93,34,24,91,2,376,622
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 11","Châteauguay",80,111,16,11,67,6,291,440
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 12","Châteauguay",108,84,13,15,48,1,269,520
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 13","Châteauguay",75,99,16,13,51,2,256,413
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 14","Châteauguay",122,108,28,18,76,2,354,549
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 15","Châteauguay",73,134,16,20,75,7,325,519
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 16","Châteauguay",121,43,13,12,54,3,246,447
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 17","Châteauguay",82,49,12,11,35,2,191,345
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 18","Châteauguay",73,80,16,9,27,3,208,368
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 19","Léry",137,55,18,12,75,5,302,486
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 20","Léry",96,66,17,12,83,4,278,405
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 21","Léry",116,27,14,30,35,4,226,347
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 22","Léry",129,18,7,10,42,2,208,305
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 23","Léry",124,24,19,20,58,4,249,351
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 24","Châteauguay",130,30,12,21,53,6,252,423
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 25","Châteauguay",165,38,10,19,56,6,294,466
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 26","Châteauguay",134,36,11,10,43,5,239,391
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 27","Châteauguay",115,33,13,8,34,2,205,340
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 28","Châteauguay",103,38,10,10,39,3,203,350
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 29","Châteauguay",78,54,11,10,39,4,196,311
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 30","Châteauguay",121,34,7,9,31,0,202,364
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 31","Châteauguay",129,36,19,23,43,2,252,395
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 32","Châteauguay",111,56,13,10,45,6,241,392
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 33","Châteauguay",117,44,13,10,62,1,247,403
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 34","Châteauguay",95,59,6,7,52,3,222,377
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 35","Châteauguay",99,47,7,15,56,4,228,423
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 36","Châteauguay",84,51,22,14,49,1,221,346
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 37","Châteauguay",187,58,24,19,53,6,347,542
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 38","Châteauguay",77,26,12,12,35,3,165,357
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 39","Châteauguay",90,33,6,15,33,4,181,293
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 40","Châteauguay",96,73,11,2,37,5,224,379
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 41","Châteauguay",80,46,8,9,29,1,173,382
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 42","Châteauguay",147,42,15,16,70,3,293,553
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 43","Châteauguay",127,46,23,11,66,7,280,458
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 44A","Châteauguay",143,12,15,19,49,10,248,487
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 44B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,16
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 45","Châteauguay",94,50,8,7,38,4,201,387
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 46","Châteauguay",105,62,13,8,56,8,252,452
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 47","Châteauguay",61,79,9,3,22,0,174,369
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 48","Châteauguay",51,74,23,11,51,5,215,312
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 49","Châteauguay",78,95,16,21,47,0,257,421
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 50","Châteauguay",64,110,15,4,52,2,247,415
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 51","Châteauguay",65,62,11,18,36,4,196,396
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 52","Châteauguay",126,64,18,17,73,15,313,552
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 53","Châteauguay",102,88,12,11,58,3,274,495
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 54","Châteauguay",76,41,13,10,42,3,185,422
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 55","Châteauguay",110,54,5,9,30,5,213,358
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 56","Châteauguay",73,89,15,10,52,2,241,430
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 57","Châteauguay",78,99,21,7,51,8,264,397
"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 58","Châteauguay",115,54,13,14,49,2,247,468
