Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Banov,Mike Bocking,Keith Henry,Robert Hornsey,Randy Kamp,Erin Knipstrom,Frank Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 20-1","Pitt Meadows",1,46,28,3,48,0,0,0,126,233
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 21","Pitt Meadows",3,82,69,14,105,1,2,0,276,456
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 22","Pitt Meadows",1,92,73,7,87,3,2,0,265,448
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 23","Pitt Meadows",0,81,38,4,81,0,0,0,204,314
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 24","Pitt Meadows",0,114,91,13,131,0,0,0,349,542
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 25A","Pitt Meadows",1,71,44,7,96,0,1,1,221,390
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 25B","Pitt Meadows",0,59,51,8,84,1,0,0,203,350
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 26A","Maple Ridge",2,69,34,5,113,1,0,0,224,392
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 26B","Maple Ridge",0,74,49,12,101,2,1,0,239,392
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 27","Maple Ridge",Void/Supprimé,,,,,,,,,
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 28","Maple Ridge",0,39,38,8,75,2,1,2,165,340
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 29","Maple Ridge",1,60,61,10,128,0,0,1,261,444
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 30","Maple Ridge",3,87,51,11,125,2,1,1,281,491
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 31","Maple Ridge",0,66,42,12,82,1,0,0,203,311
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 31-1","Maple Ridge",4,73,47,7,85,0,0,0,216,370
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 32","Maple Ridge",2,37,28,6,58,0,1,0,132,194
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 32-1","Maple Ridge",0,79,55,6,130,0,0,0,270,424
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 33","Maple Ridge",0,62,30,10,91,0,0,1,194,332
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 34A","Maple Ridge",5,109,55,9,96,3,0,1,278,465
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 34B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,,,,13
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 35","Maple Ridge",0,83,55,8,94,0,0,2,242,442
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 36","Maple Ridge",2,69,35,9,77,2,0,1,195,327
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 36-1","Maple Ridge",1,71,41,15,88,1,0,1,218,368
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 37","Maple Ridge",4,115,59,20,111,1,0,0,310,470
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 38","Maple Ridge",1,75,45,11,87,0,0,0,219,333
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 39","Maple Ridge",1,72,64,12,101,1,0,0,251,408
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 40","Maple Ridge",1,98,33,3,111,3,0,0,249,388
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 41","Maple Ridge",1,96,50,16,126,1,1,0,291,515
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 42","Maple Ridge",1,90,57,6,112,0,0,1,267,536
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 43","Maple Ridge",2,103,68,9,110,0,0,0,292,501
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 44","Maple Ridge",0,39,50,3,68,0,0,1,161,285
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 44-1","Maple Ridge",4,76,76,13,115,4,0,0,288,515
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 45","Maple Ridge",0,38,40,6,68,1,0,2,155,292
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 46","Maple Ridge",1,48,47,1,91,1,1,0,190,360
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 47","Maple Ridge",0,90,74,10,150,2,1,1,328,539
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 48A","Maple Ridge",0,50,50,5,86,2,0,1,194,325
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 48B","Maple Ridge",0,43,47,4,76,1,0,0,171,301
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 49A","Maple Ridge",2,100,56,10,118,1,0,0,287,432
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 49B","Maple Ridge",1,75,66,7,114,1,0,0,264,424
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 49C","Maple Ridge",0,91,55,4,126,3,0,1,280,475
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 49-1","Maple Ridge",4,77,84,11,134,0,1,0,311,512
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 50","Maple Ridge",2,90,43,11,70,0,0,0,216,395
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 51","Maple Ridge",3,95,36,12,108,0,0,1,255,414
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 52","Maple Ridge",0,76,38,15,124,0,0,1,254,426
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 53","Maple Ridge",2,70,35,3,76,0,0,0,186,302
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 54","Maple Ridge",2,94,52,8,135,2,1,0,294,485
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 55","Maple Ridge",0,41,37,3,84,0,0,0,165,271
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 55-1","Maple Ridge",1,68,49,3,69,1,0,0,191,314
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 56","Maple Ridge",0,92,51,10,131,1,0,0,285,469
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 57","Maple Ridge",3,74,51,3,94,0,0,0,225,352
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 58","Maple Ridge",1,113,35,13,75,4,0,2,243,382
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 59","Maple Ridge",0,100,62,12,85,6,1,1,267,476
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 60","Maple Ridge",1,95,49,6,86,0,0,0,237,436
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 61","Maple Ridge",1,86,33,5,102,1,2,1,231,387
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 62","Maple Ridge",0,87,43,5,91,1,1,0,228,337
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 63","Maple Ridge",0,68,61,5,99,0,0,0,233,412
