Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Banov,Mike Bocking,Keith Henry,Robert Hornsey,Randy Kamp,Erin Knipstrom,Frank Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 158A","Mission",2,60,23,4,41,1,2,1,134,292
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 158B","Mission",2,63,33,8,58,0,1,0,165,307
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 159","Mission",0,46,24,4,39,2,0,0,115,273
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 160","Mission",0,78,35,9,87,1,0,0,210,423
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 161","Mission",0,90,19,8,44,3,0,0,164,336
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 162","Mission",2,37,27,12,56,0,0,0,134,309
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 163","Mission",3,84,39,6,87,1,0,0,220,435
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 164","Mission",1,116,39,5,85,1,1,0,248,426
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 165","Mission",3,56,43,9,75,0,0,0,186,319
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 166A","Mission",1,72,40,6,82,0,0,2,203,376
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 166B","Mission",0,74,41,4,88,0,0,0,207,356
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 167","Mission",0,69,34,5,50,1,0,0,159,283
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 168","Mission",1,67,23,5,74,0,0,0,170,323
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 169A","Mission",2,91,48,9,77,4,1,2,234,541
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 169B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,,75
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 170","Mission",9,91,35,12,83,1,0,0,231,452
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 171","Mission",0,84,69,12,96,0,2,2,265,405
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 172","Mission",2,104,67,6,102,2,1,1,285,496
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 173","Mission",0,54,38,5,66,0,1,0,164,292
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 174","Mission",1,90,28,5,70,0,1,2,197,387
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 175","Mission",1,76,31,5,65,0,0,0,178,343
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 176","Mission",4,67,39,7,43,1,2,0,163,379
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 177","Mission",2,59,46,10,52,0,0,0,169,399
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 178","Mission",2,95,24,0,84,2,0,0,207,401
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 179","Mission",2,71,32,2,54,3,2,1,167,330
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 400","Maple Ridge",1,33,20,2,16,4,1,0,77,138
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 500","Mobile poll/Bureau itinérant",1,10,16,0,9,0,2,0,38,153
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 501A","Mobile poll/Bureau itinérant",0,28,33,3,36,2,2,4,108,152
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 501B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,,54
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 502","Mobile poll/Bureau itinérant",2,24,10,2,11,1,0,1,51,98
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 503","Mobile poll/Bureau itinérant",3,39,23,3,41,1,1,3,114,102
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 600","Hatzic",0,8,9,1,17,0,0,0,35,
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 601","Pitt Meadows",4,246,151,17,393,3,1,3,818,
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 602","Maple Ridge",4,163,152,22,498,5,0,0,844,
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 603","Maple Ridge",3,160,91,11,263,0,0,1,529,
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 604","Maple Ridge",2,229,110,12,345,4,2,2,706,
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 605","Maple Ridge",1,255,200,20,442,1,0,1,920,
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 606","Mission",3,196,115,15,381,3,2,2,717,
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 607","Mission",3,197,100,12,338,1,0,1,652,
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission",,Group 1/Groupe 1,1,22,28,5,30,0,0,6,92,151
"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission",,Group 2/Groupe 2,3,141,115,12,321,3,1,12,608,
