Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Jamieson,John Weston,Blair Wilson,Judith Wilson,Silvaine Zimmermann,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 58","Selma Park",0,96,96,61,15,0,268,444
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 59","Davis Bay",1,62,100,97,12,1,273,404
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 60","Davis Bay",0,82,70,103,17,0,272,436
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 61","Davis Bay",0,84,124,123,18,1,350,559
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 62","Roberts Creek",1,84,90,105,27,0,307,461
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 63","Roberts Creek",0,53,98,114,19,0,284,449
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 64","Roberts Creek",1,38,73,83,23,0,218,306
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 65","Roberts Creek",2,89,125,134,39,0,389,613
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 66","Gibsons",0,89,78,87,20,0,274,520
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 67","Gibsons",2,73,65,71,8,0,219,322
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 68","Gibsons",1,110,110,124,19,1,365,545
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 69A","Gibsons",4,148,121,176,20,3,472,789
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 69B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,24
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 70","Gower Point",0,54,60,94,15,0,223,362
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 71","Gibsons",1,55,55,61,17,0,189,277
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 72A","Gibsons",1,137,116,87,16,0,357,597
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 72B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,45
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 73","Gower Point",0,59,65,90,13,1,228,340
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 74","Gibsons",0,68,72,104,22,0,266,461
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 75","Gibsons",1,37,60,49,12,1,160,305
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 76","Gibsons",1,82,68,86,22,1,260,415
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 77","Gibsons",0,68,74,83,42,2,269,462
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 78","Gibsons",1,51,64,78,16,0,210,353
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 79","Granthams Landing",0,70,90,101,14,2,277,483
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 80","Gibsons",1,39,29,35,10,0,114,198
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 81","Granthams Landing",0,69,65,53,17,2,206,353
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 82","Langdale",0,99,120,95,17,2,333,510
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 83","Gambier Harbour",0,11,29,25,14,0,79,116
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 84","Squamish",1,58,127,84,26,0,296,994
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 85","Britannia",2,68,63,32,12,0,177,371
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 86","Squamish",0,37,89,63,17,0,206,437
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 87","Squamish",0,68,92,85,30,0,275,504
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 88","Squamish",1,58,79,60,17,0,215,424
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 89","Squamish",0,81,109,95,12,0,297,525
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 90","Squamish",0,80,134,56,31,0,301,545
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 91","Squamish",1,36,61,61,16,3,178,347
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 92","Squamish",2,38,83,72,12,2,209,425
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 93","Squamish",0,42,64,42,20,0,168,336
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 94","Squamish",1,107,175,79,39,1,402,654
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 95","Squamish",0,75,159,54,19,0,307,527
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 96","Squamish",0,50,115,57,18,0,240,411
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 97","Squamish",0,70,105,66,11,0,252,444
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 98","Squamish",0,116,170,113,17,0,416,821
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 99","Squamish",0,63,76,85,18,1,243,436
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 100","Squamish",0,71,108,80,36,0,295,575
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 101","Squamish",0,79,129,101,13,0,322,562
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 102","Squamish",2,27,71,43,11,0,154,294
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 103","Squamish",0,45,83,54,4,0,186,340
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 104","Squamish",0,53,95,70,15,0,233,445
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 105","Squamish",0,49,84,68,17,0,218,450
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 106","Whistler",1,79,253,71,62,0,466,826
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 107","Whistler",0,53,211,50,59,0,373,677
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 108","Whistler",2,18,81,26,24,0,151,329
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 109","Whistler",0,20,40,3,10,0,73,207
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 110","Whistler",0,34,123,30,45,2,234,466
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 111","Whistler",0,18,54,10,15,0,97,163
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 112","Whistler",0,47,106,17,34,0,204,369
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 113","Whistler",0,52,108,28,38,0,226,415
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 114","Whistler",2,51,86,21,25,0,185,362
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 115","Whistler",1,45,119,58,43,1,267,519
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 116","Whistler",0,46,111,41,28,0,226,368
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 117","Whistler",0,22,75,10,14,0,121,213
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 118","Whistler",0,30,64,11,9,0,114,272
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 119","Whistler",0,31,123,41,34,1,230,385
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 120","Whistler",0,47,133,44,40,1,265,482
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 121","Whistler",0,28,96,16,18,0,158,301
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 122","Whistler",1,62,113,31,53,0,260,434
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 123","Bowen Island",0,64,126,53,28,0,271,494
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 124","Bowen Island",Void/Supprimé,,,,,,,
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 125","Bowen Island",1,78,198,53,37,1,368,643
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 126","Bowen Island",0,25,57,28,15,2,127,246
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 127A","Bowen Island",3,67,147,30,34,1,282,455
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 127B","Bowen Island",0,56,148,44,32,0,280,460
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 128","Lions Bay",0,133,89,9,26,0,257,370
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 129","Lions Bay",0,117,101,25,28,0,271,378
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 130","Lions Bay",0,72,92,33,19,0,216,314
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 131","West Vancouver",0,118,98,17,18,0,251,397
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 132","West Vancouver",1,57,76,20,28,0,182,334
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 133","West Vancouver",1,99,68,14,16,0,198,307
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 134","West Vancouver",1,127,154,24,14,2,322,485
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 135","West Vancouver",2,134,109,11,28,0,284,433
