Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Valérie Giguère,Richard Marceau,Isabelle Martineau,Les Parsons,Daniel Pelletier,Daniel Petit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 1","Lac-Saint-Charles",12,108,21,11,4,88,2,246,439
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 2","Lac-Saint-Charles",11,132,17,9,5,105,3,282,529
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 3","Charlesbourg",14,106,19,6,15,86,1,247,513
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 4","Charlesbourg",12,119,18,12,13,131,3,308,540
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 5","Charlesbourg",7,47,12,4,3,80,3,156,354
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 6","Charlesbourg",13,143,7,8,9,119,2,301,532
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 7","Lac-Saint-Charles",16,86,20,7,8,132,5,274,521
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 8","Lac-Saint-Charles",31,80,13,6,5,115,1,251,421
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 9","Lac-Saint-Charles",13,75,18,6,8,111,1,232,412
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 10","Lac-Saint-Charles",20,91,15,3,7,90,3,229,419
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 11","Lac-Saint-Charles",8,85,16,3,7,102,3,224,447
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 12","Lac-Saint-Charles",11,90,15,13,14,89,4,236,439
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 13","Lac-Saint-Charles",15,114,14,4,11,136,8,302,554
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 14","Lac-Saint-Charles",10,78,14,10,5,80,3,200,442
"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 15","Lac-Saint-Charles",9,81,9,3,0,71,1,174,402
