Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Glenn Albrecht,Len Carter,Lynn Myers,Kristine Yvonne Stapleton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kitchener--Conestoga/Kitchener--Conestoga"," 1","Floradale",70,10,43,10,0,133,312
"Kitchener--Conestoga/Kitchener--Conestoga"," 2","Woolwich",51,11,45,3,0,110,389
"Kitchener--Conestoga/Kitchener--Conestoga"," 3","West Montrose",102,23,105,12,0,242,457
"Kitchener--Conestoga/Kitchener--Conestoga"," 4","Winterbourne",41,15,62,8,0,126,237
"Kitchener--Conestoga/Kitchener--Conestoga"," 5","Winterbourne",179,33,167,21,1,401,652
"Kitchener--Conestoga/Kitchener--Conestoga"," 6","Maryhill",124,37,118,10,0,289,425
"Kitchener--Conestoga/Kitchener--Conestoga"," 7","Maryhill",129,40,106,16,2,293,421
"Kitchener--Conestoga/Kitchener--Conestoga"," 8","Breslau",65,16,43,9,0,133,238
"Kitchener--Conestoga/Kitchener--Conestoga"," 9","Breslau",101,42,91,9,1,244,360
"Kitchener--Conestoga/Kitchener--Conestoga"," 10","Breslau",60,18,58,10,1,147,205
"Kitchener--Conestoga/Kitchener--Conestoga"," 11","Bloomingdale",101,23,75,17,0,216,331
"Kitchener--Conestoga/Kitchener--Conestoga"," 12","Conestogo",112,27,127,25,0,291,457
"Kitchener--Conestoga/Kitchener--Conestoga"," 13","Woolwich",169,37,130,9,1,346,660
"Kitchener--Conestoga/Kitchener--Conestoga"," 14","St. Jacobs",136,27,150,23,0,336,459
"Kitchener--Conestoga/Kitchener--Conestoga"," 15","St. Jacobs",23,7,40,2,0,72,116
"Kitchener--Conestoga/Kitchener--Conestoga"," 16","St. Jacobs",77,29,86,12,0,204,274
"Kitchener--Conestoga/Kitchener--Conestoga"," 17","Woolwich",47,20,55,9,0,131,229
"Kitchener--Conestoga/Kitchener--Conestoga"," 18","Woolwich",35,6,24,1,0,66,200
"Kitchener--Conestoga/Kitchener--Conestoga"," 19","Heidelberg",147,32,128,21,0,328,547
"Kitchener--Conestoga/Kitchener--Conestoga"," 20","Woolwich",36,6,17,0,0,59,355
"Kitchener--Conestoga/Kitchener--Conestoga"," 21","Woolwich",103,38,115,23,0,279,430
"Kitchener--Conestoga/Kitchener--Conestoga"," 22","Woolwich",72,35,84,13,0,204,385
"Kitchener--Conestoga/Kitchener--Conestoga"," 23","Woolwich",102,30,88,17,1,238,390
"Kitchener--Conestoga/Kitchener--Conestoga"," 24","Woolwich",77,27,78,16,0,198,335
"Kitchener--Conestoga/Kitchener--Conestoga"," 25","Woolwich",45,32,85,11,0,173,281
"Kitchener--Conestoga/Kitchener--Conestoga"," 26","Woolwich",209,61,116,20,0,406,643
"Kitchener--Conestoga/Kitchener--Conestoga"," 27","Woolwich",115,32,92,16,3,258,418
"Kitchener--Conestoga/Kitchener--Conestoga"," 28","Woolwich",103,29,103,16,0,251,402
"Kitchener--Conestoga/Kitchener--Conestoga"," 29","Woolwich",107,15,84,7,0,213,327
"Kitchener--Conestoga/Kitchener--Conestoga"," 30","Woolwich",92,13,61,4,0,170,323
"Kitchener--Conestoga/Kitchener--Conestoga"," 31","Woolwich",133,23,106,12,1,275,428
"Kitchener--Conestoga/Kitchener--Conestoga"," 32","Woolwich",105,40,64,13,0,222,356
"Kitchener--Conestoga/Kitchener--Conestoga"," 33","Woolwich",61,26,68,7,0,162,304
"Kitchener--Conestoga/Kitchener--Conestoga"," 34","Woolwich",101,45,96,13,0,255,415
"Kitchener--Conestoga/Kitchener--Conestoga"," 35","Woolwich",176,38,120,14,0,348,544
"Kitchener--Conestoga/Kitchener--Conestoga"," 36","Woolwich",96,25,67,8,0,196,329
"Kitchener--Conestoga/Kitchener--Conestoga"," 37","Wellesley",92,13,32,1,0,138,354
"Kitchener--Conestoga/Kitchener--Conestoga"," 38","Wellesley",19,0,12,1,0,32,361
"Kitchener--Conestoga/Kitchener--Conestoga"," 39","Linwood",76,13,78,4,0,171,395
"Kitchener--Conestoga/Kitchener--Conestoga"," 40","Linwood",67,38,102,5,1,213,500
"Kitchener--Conestoga/Kitchener--Conestoga"," 41","Wellesley",35,6,23,1,1,66,246
"Kitchener--Conestoga/Kitchener--Conestoga"," 42","Wellesley",75,15,25,5,0,120,288
"Kitchener--Conestoga/Kitchener--Conestoga"," 43","Wellesley",232,42,126,26,2,428,648
"Kitchener--Conestoga/Kitchener--Conestoga"," 44","Wellesley",154,25,72,17,0,268,386
"Kitchener--Conestoga/Kitchener--Conestoga"," 45","Wellesley",168,37,115,17,0,337,519
"Kitchener--Conestoga/Kitchener--Conestoga"," 46","Wellesley",70,16,45,4,0,135,343
"Kitchener--Conestoga/Kitchener--Conestoga"," 47","Wellesley",111,17,110,8,0,246,495
"Kitchener--Conestoga/Kitchener--Conestoga"," 48","St. Clements",121,22,114,21,1,279,396
"Kitchener--Conestoga/Kitchener--Conestoga"," 49","St. Clements",145,50,110,20,1,326,518
"Kitchener--Conestoga/Kitchener--Conestoga"," 50","Wellesley",101,45,109,16,0,271,529
"Kitchener--Conestoga/Kitchener--Conestoga"," 51","Wilmot",98,14,69,12,0,193,335
"Kitchener--Conestoga/Kitchener--Conestoga"," 52","Wilmot",89,22,63,24,3,201,352
"Kitchener--Conestoga/Kitchener--Conestoga"," 53","Baden",164,34,140,37,0,375,591
"Kitchener--Conestoga/Kitchener--Conestoga"," 54","Wilmot",135,12,75,7,0,229,398
"Kitchener--Conestoga/Kitchener--Conestoga"," 55","St. Agatha",113,42,113,17,2,287,428
"Kitchener--Conestoga/Kitchener--Conestoga"," 56","St. Agatha",94,20,86,15,0,215,323
"Kitchener--Conestoga/Kitchener--Conestoga"," 57","Wilmot",104,37,113,19,1,274,384
"Kitchener--Conestoga/Kitchener--Conestoga"," 58","Mannheim",169,23,136,17,0,345,518
"Kitchener--Conestoga/Kitchener--Conestoga"," 59","Wilmot",114,28,81,11,0,234,379
"Kitchener--Conestoga/Kitchener--Conestoga"," 60","Baden",157,44,140,35,2,378,588
"Kitchener--Conestoga/Kitchener--Conestoga"," 61A","Baden",110,27,106,19,0,262,395
