Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Navdeep Bains,Nirvan Balkissoon,Arnjeet Sangha,Tim Sullivan,Grace Yogaretnam,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 1","Brampton",111,16,42,3,4,3,179,365
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 2","Brampton",130,15,64,0,9,1,219,384
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 3","Brampton",80,31,97,1,9,0,218,410
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 4","Brampton",102,35,64,1,11,3,216,432
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 5","Brampton",74,17,57,6,3,0,157,326
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 6","Brampton",145,27,57,0,7,2,238,477
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 7A","Brampton",79,19,30,0,5,0,133,291
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 7B","Brampton",83,16,36,0,2,1,138,310
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 8","Brampton",131,27,69,4,9,2,242,555
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 9","Brampton",156,32,78,3,6,2,277,595
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 10A","Brampton",186,30,96,3,12,1,328,616
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 10B","Mobile poll/Bureau itinérant",Merged with No. 406/Fusionné avec le nº 406,,,,,,,62
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 11","Brampton",79,29,49,3,2,1,163,332
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 12","Brampton",151,20,60,1,7,3,242,436
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 13","Brampton",135,12,61,2,7,3,220,423
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 14","Brampton",159,18,68,4,3,2,254,559
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 15","Brampton",83,12,38,0,4,0,137,236
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 16","Brampton",120,13,53,0,3,0,189,405
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 17","Brampton",125,8,75,0,8,0,216,515
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 18","Brampton",108,7,42,1,1,3,162,403
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 19","Brampton",90,27,43,1,4,1,166,361
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 20","Mississauga",93,16,51,3,8,0,171,397
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 21","Mississauga",75,16,35,0,1,0,127,294
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 22","Mississauga",93,14,79,0,14,0,200,354
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 23","Mississauga",127,25,70,3,6,0,231,412
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 24","Mississauga",103,11,74,0,13,3,204,456
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 25","Mississauga",150,29,65,0,7,0,251,467
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 26","Mississauga",140,18,74,1,8,0,241,436
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 27","Mississauga",129,27,55,2,13,1,227,433
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 28","Mississauga",110,26,39,2,11,0,188,348
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 29","Mississauga",111,15,58,2,14,0,200,358
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 30","Mississauga",85,21,78,0,10,3,197,366
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 31","Mississauga",80,23,56,0,5,0,164,329
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 32","Mississauga",43,28,56,0,11,0,138,302
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 33","Mississauga",115,11,79,1,7,2,215,464
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 34","Mississauga",135,47,93,1,27,1,304,563
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 35","Mississauga",73,23,61,2,9,0,168,293
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 36","Mississauga",112,22,62,2,14,1,213,408
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 37","Mississauga",128,48,72,0,19,3,270,495
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 38","Mississauga",127,28,72,1,12,0,240,481
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 39","Mississauga",94,26,52,3,2,0,177,335
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 40","Mississauga",107,26,73,2,6,2,216,328
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 41A","Mississauga",120,22,72,3,6,0,223,314
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 41B","Mobile poll/Bureau itinérant",Merged with No. 46B/Fusionné avec le nº 46B,,,,,,,56
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 42","Mississauga",69,18,44,1,6,0,138,327
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 43A","Mississauga",113,26,80,0,15,4,238,521
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 43B","Mississauga",85,29,83,3,7,2,209,478
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 44","Mississauga",119,27,62,1,3,2,214,371
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 45","Mississauga",199,25,114,3,15,2,358,512
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 46A","Mississauga",123,16,83,1,10,1,234,402
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 46B","Mobile poll/Bureau itinérant",38,8,22,8,1,1,78,68
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 47","Mississauga",142,15,107,1,18,0,283,486
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 48","Mississauga",75,14,43,0,2,0,134,290
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 49","Mississauga",96,17,61,1,3,0,178,374
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 50","Mississauga",164,30,96,1,8,1,300,460
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 51","Mississauga",92,26,97,2,7,0,224,372
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 51-1","Mississauga",28,10,13,3,2,4,60,127
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 52","Mississauga",145,21,62,5,13,1,247,414
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 53","Mississauga",158,24,100,3,22,0,307,544
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 54","Mississauga",156,56,91,5,9,1,318,463
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 55","Mississauga",93,28,60,2,8,0,191,365
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 56","Mississauga",123,25,49,4,10,5,216,390
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 57","Mississauga",131,65,92,1,6,4,299,490
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 58","Mississauga",145,33,65,2,6,1,252,415
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 59","Mississauga",89,33,65,0,11,2,200,351
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 60","Mississauga",89,49,58,2,22,2,222,419
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 61","Mississauga",88,62,81,3,6,0,240,407
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 62","Mississauga",52,14,20,0,10,1,97,214
"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 63","Mississauga",81,25,45,0,5,2,158,364
