Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Welsford Bethell,Danny Gay,Charles Isaac Hubbard,Jeannette Manuel-Allain,Mike Morrison,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Miramichi/Miramichi"," 1","Belledune",6,8,85,67,62,4,232,380
"Miramichi/Miramichi"," 2","Jacquet River",5,5,77,41,38,0,166,296
"Miramichi/Miramichi"," 3","Lorne",5,5,46,44,36,5,141,362
"Miramichi/Miramichi"," 4","Jacquet River",6,0,74,39,53,4,176,319
"Miramichi/Miramichi"," 5","Belledune",5,7,71,39,43,8,173,316
"Miramichi/Miramichi"," 6","Nash Creek",7,4,96,36,65,5,213,328
"Miramichi/Miramichi"," 7","Lorne",7,8,58,47,32,19,171,316
"Miramichi/Miramichi"," 8","Lorne",12,0,62,58,41,6,179,315
"Miramichi/Miramichi"," 9","Benjamin River",4,3,66,47,51,0,171,265
"Miramichi/Miramichi"," 10","Curventon",3,6,64,20,50,2,145,216
"Miramichi/Miramichi"," 11","Exmoor",4,4,84,16,67,2,177,267
"Miramichi/Miramichi"," 12","Trout Brook",5,9,65,31,75,0,185,340
"Miramichi/Miramichi"," 13","Maple Glen",7,12,67,33,80,0,199,300
"Miramichi/Miramichi"," 14","Sunny Corner",3,4,79,20,68,0,174,253
"Miramichi/Miramichi"," 15","Boom Road",5,8,70,19,72,0,174,282
"Miramichi/Miramichi"," 16","Whitney",4,12,74,27,78,2,197,302
"Miramichi/Miramichi"," 17","Strathadam",0,10,86,21,66,0,183,262
"Miramichi/Miramichi"," 18","Eel Ground",5,4,136,8,36,0,189,345
"Miramichi/Miramichi"," 19","Bellefond--Beaver Brook",9,17,123,79,76,4,308,460
"Miramichi/Miramichi"," 20","Lower Newcastle",7,9,68,37,59,1,181,300
"Miramichi/Miramichi"," 21A","Lavillette",7,20,122,57,34,0,240,341
"Miramichi/Miramichi"," 21B","Lavillette",3,7,66,32,35,0,143,207
"Miramichi/Miramichi"," 22","Bartibog Bridge",3,21,85,25,87,2,223,374
"Miramichi/Miramichi"," 23","New Jersey",2,18,57,32,61,0,170,272
"Miramichi/Miramichi"," 24","Lagacéville",3,27,173,56,52,4,315,437
"Miramichi/Miramichi"," 25","Saint-Wilfred",4,14,129,41,36,4,228,307
"Miramichi/Miramichi"," 26A","Fairisle",3,27,89,42,21,5,187,275
"Miramichi/Miramichi"," 26B","Fairisle",0,16,109,56,53,0,234,353
