Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Boulianne,Yvan Corriveau,Jean François Hamel,Christian Paradis,Isabelle Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Mégantic--L'Érable/Mégantic--L'Érable"," 1","Princeville",79,17,12,123,14,3,248,471
"Mégantic--L'Érable/Mégantic--L'Érable"," 2","Princeville",82,19,9,114,8,4,236,415
"Mégantic--L'Érable/Mégantic--L'Érable"," 3","Princeville",76,12,5,130,12,4,239,413
"Mégantic--L'Érable/Mégantic--L'Érable"," 4","Princeville",61,15,9,98,12,3,198,394
"Mégantic--L'Érable/Mégantic--L'Érable"," 5A","Princeville",53,14,6,81,2,0,156,284
"Mégantic--L'Érable/Mégantic--L'Érable"," 5B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,75
"Mégantic--L'Érable/Mégantic--L'Érable"," 6","Princeville",74,31,10,124,16,7,262,431
"Mégantic--L'Érable/Mégantic--L'Érable"," 7","Princeville",101,31,13,119,21,0,285,500
"Mégantic--L'Érable/Mégantic--L'Érable"," 8","Princeville",66,16,7,92,10,0,191,389
"Mégantic--L'Érable/Mégantic--L'Érable"," 9","Princeville",79,23,11,134,16,3,266,443
"Mégantic--L'Érable/Mégantic--L'Érable"," 10","Princeville",91,22,7,115,6,4,245,426
"Mégantic--L'Érable/Mégantic--L'Érable"," 11","Villeroy",72,27,7,148,12,3,269,387
"Mégantic--L'Érable/Mégantic--L'Érable"," 12","Notre-Dame-de-Lourdes",44,9,4,69,4,6,136,179
"Mégantic--L'Érable/Mégantic--L'Érable"," 13","Sainte-Julie",69,27,13,185,17,4,315,479
"Mégantic--L'Érable/Mégantic--L'Érable"," 14","Laurierville",61,19,7,81,13,1,182,307
"Mégantic--L'Érable/Mégantic--L'Érable"," 15","Laurierville",61,33,4,134,10,8,250,368
"Mégantic--L'Érable/Mégantic--L'Érable"," 16","Notre-Dame-de-Lourdes",82,18,6,113,7,9,235,354
"Mégantic--L'Érable/Mégantic--L'Érable"," 17","Plessisville",89,19,8,132,10,10,268,485
"Mégantic--L'Érable/Mégantic--L'Érable"," 18","Plessisville",87,13,7,118,9,7,241,386
"Mégantic--L'Érable/Mégantic--L'Érable"," 19","Plessisville",101,16,9,138,16,0,280,490
"Mégantic--L'Érable/Mégantic--L'Érable"," 20","Plessisville",72,16,4,92,16,2,202,294
"Mégantic--L'Érable/Mégantic--L'Érable"," 21","Plessisville",48,10,5,79,6,2,150,245
"Mégantic--L'Érable/Mégantic--L'Érable"," 22","Sainte-Sophie",44,6,4,71,15,0,140,191
"Mégantic--L'Érable/Mégantic--L'Érable"," 23","Sainte-Sophie",75,16,9,93,11,4,208,311
"Mégantic--L'Érable/Mégantic--L'Érable"," 24","Plessisville",77,21,6,102,4,5,215,412
"Mégantic--L'Érable/Mégantic--L'Érable"," 25","Plessisville",106,23,7,128,11,2,277,454
"Mégantic--L'Érable/Mégantic--L'Érable"," 26","Plessisville",77,33,3,132,10,5,260,429
"Mégantic--L'Érable/Mégantic--L'Érable"," 27","Plessisville",94,27,6,168,20,1,316,491
"Mégantic--L'Érable/Mégantic--L'Érable"," 28","Plessisville",62,21,6,116,7,2,214,416
"Mégantic--L'Érable/Mégantic--L'Érable"," 29","Plessisville",65,22,5,93,8,4,197,347
"Mégantic--L'Érable/Mégantic--L'Érable"," 30","Plessisville",72,32,10,77,15,4,210,450
"Mégantic--L'Érable/Mégantic--L'Érable"," 31","Plessisville",86,21,8,111,14,4,244,378
"Mégantic--L'Érable/Mégantic--L'Érable"," 32","Plessisville",79,17,7,97,4,4,208,354
"Mégantic--L'Érable/Mégantic--L'Érable"," 33","Plessisville",56,17,3,81,9,1,167,267
"Mégantic--L'Érable/Mégantic--L'Érable"," 34","Plessisville",65,17,5,86,7,3,183,370
"Mégantic--L'Érable/Mégantic--L'Érable"," 35","Plessisville",69,21,8,111,6,1,216,368
"Mégantic--L'Érable/Mégantic--L'Érable"," 36","Plessisville",74,24,5,126,12,2,243,388
"Mégantic--L'Érable/Mégantic--L'Érable"," 37","Plessisville",38,20,2,70,5,1,136,224
"Mégantic--L'Érable/Mégantic--L'Érable"," 38","Lyster",54,23,11,134,18,0,240,411
"Mégantic--L'Érable/Mégantic--L'Érable"," 39","Lyster",61,31,8,117,5,1,223,319
"Mégantic--L'Érable/Mégantic--L'Érable"," 40","Lyster",99,27,10,194,9,6,345,509
"Mégantic--L'Érable/Mégantic--L'Érable"," 41","Inverness",63,21,13,128,19,2,246,375
"Mégantic--L'Érable/Mégantic--L'Érable"," 42","Inverness",46,20,3,117,9,1,196,263
"Mégantic--L'Érable/Mégantic--L'Érable"," 43","Saint-Pierre-Baptiste",91,14,15,114,5,5,244,392
"Mégantic--L'Érable/Mégantic--L'Érable"," 44","Halifax-Sud",79,22,18,172,9,1,301,489
"Mégantic--L'Érable/Mégantic--L'Érable"," 45","Saint-Ferdinand",46,16,13,101,4,3,183,297
"Mégantic--L'Érable/Mégantic--L'Érable"," 46","Saint-Ferdinand",37,20,17,119,3,3,199,306
"Mégantic--L'Érable/Mégantic--L'Érable"," 47","Saint-Ferdinand",29,13,11,108,7,2,170,256
"Mégantic--L'Érable/Mégantic--L'Érable"," 48","Saint-Ferdinand",47,9,20,139,7,2,224,381
"Mégantic--L'Érable/Mégantic--L'Érable"," 49","Saint-Jacques-de-Leeds",15,2,5,39,3,0,64,99
"Mégantic--L'Érable/Mégantic--L'Érable"," 50","Saint-Jacques-de-Leeds",55,21,7,242,9,5,339,481
"Mégantic--L'Érable/Mégantic--L'Érable"," 51","Saint-Pierre-de-Broughton",57,20,15,138,6,1,237,335
"Mégantic--L'Érable/Mégantic--L'Érable"," 52","Saint-Pierre-de-Broughton",72,32,7,104,10,7,232,347
