Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Blake,Mike Janssens,Jim Johnston,Bev Shipley,Jeff Wesley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 1","Grand Bend",29,0,12,89,91,0,221,381
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 2","Grand Bend",14,0,5,68,35,0,122,244
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 3","Bosanquet",18,1,10,83,72,0,184,292
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 4","Bosanquet",29,2,6,137,88,0,262,462
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 5","Bosanquet",37,1,9,124,82,0,253,484
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 6","Bosanquet",48,2,9,125,89,1,274,587
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 7","Bosanquet",28,1,4,107,71,1,212,510
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 8","Bosanquet",53,6,16,106,76,0,257,498
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 9","Bosanquet",47,0,9,51,64,1,172,394
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 10","Bosanquet",32,0,8,82,57,1,180,374
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 11","Kettle Point 44",30,5,6,60,109,0,210,346
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 12","Kettle Point 44",25,6,0,13,217,1,262,373
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 13","Bosanquet",38,3,8,102,66,0,217,437
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 14","Forest",60,3,6,94,63,0,226,383
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 15","Forest",47,2,9,70,64,0,192,377
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 16","Forest",67,10,15,184,116,0,392,762
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 17","Forest",45,5,11,103,81,2,247,441
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 18","Forest",54,2,12,105,81,1,255,437
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 19","Bosanquet",26,1,14,86,46,2,175,358
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 20","Bosanquet",42,5,6,146,79,0,278,457
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 21","Thedford",20,1,13,86,51,0,171,267
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 22","Thedford",32,2,11,93,47,1,186,359
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 23","Arkona",24,2,3,55,34,0,118,172
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 24","Arkona",28,3,5,110,40,0,186,270
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 25","West Williams",13,6,11,122,49,0,201,344
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 26","West Williams",24,5,8,101,53,1,192,291
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 27","Parkhill",39,3,15,100,64,1,222,393
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 28","Parkhill",31,2,8,58,32,2,133,263
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 29","Parkhill",35,8,6,84,51,0,184,309
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 30A","Parkhill",24,3,5,43,37,1,113,200
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 30B","Mobile poll/Bureau itinérant",11,5,4,44,29,6,99,81
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 31","McGillivray",17,2,11,110,48,1,189,297
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 32","McGillivray",20,4,5,99,22,2,152,276
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 33","McGillivray",21,1,5,119,54,1,201,291
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 34","Mooresville",26,7,18,111,37,0,199,360
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 35","Elginfield",27,2,9,110,48,2,198,396
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 36","Granton",47,1,46,135,73,1,303,478
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 37","Lucan",51,2,21,116,81,1,272,452
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 38","Lucan",33,0,10,69,39,0,151,219
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 39","Lucan",18,3,6,68,32,0,127,219
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 40","Lucan",67,3,28,180,75,2,355,591
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 41A","Clandeboye",40,2,13,109,57,2,223,368
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 41B","Mobile poll/Bureau itinérant",Merged with No. 30B/Fusionné avec le nº 30B,,,,,,,32
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 42","McGillivray",22,4,16,119,65,0,226,345
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 43","Ailsa Craig",36,2,12,121,59,2,232,397
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 44","Ailsa Craig",66,3,12,170,73,6,330,478
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 45","East Williams",50,9,13,129,77,1,279,415
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 46","Granton",9,1,5,66,16,1,98,157
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 47","East Williams",28,5,9,103,57,0,202,291
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 48","Denfield",37,0,16,164,76,0,293,455
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 49","Bryanston",30,0,10,156,74,1,271,380
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 50","Bryanston",35,4,20,156,102,0,317,510
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 51","Arva",40,1,12,159,78,0,290,482
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 52","Birr",28,7,18,151,82,0,286,475
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 53","Ilderton",31,0,14,171,135,3,354,543
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 54","Ilderton",50,3,16,126,101,2,298,459
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 55","Telfer",42,2,17,204,145,0,410,641
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 56","Evelyn",20,2,16,97,85,1,221,359
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 57","Evelyn",20,1,9,92,52,1,175,333
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 58","Lobo",31,4,9,153,56,1,254,395
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 59A","Lobo",54,6,12,159,115,0,346,515
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 59B","Mobile poll/Bureau itinérant",Merged with No. 79B/Fusionné avec le nº 79B,,,,,,,35
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 60","Lobo",30,5,12,86,62,0,195,295
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 61","Lobo",39,2,22,167,62,0,292,427
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 62","Lobo",24,0,7,83,79,1,194,291
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 63","Lobo",51,0,21,118,80,1,271,413
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 64","Lobo",36,0,19,103,84,0,242,367
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 65","Komoka",21,1,13,159,91,0,285,455
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 66","Lobo",48,0,15,192,130,1,386,640
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 67A","Komoka",28,1,5,86,53,1,174,249
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 67B","Mobile poll/Bureau itinérant",Merged with No. 73B/Fusionné avec le nº 73B,,,,,,,92
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 68","Komoka",49,4,12,123,70,2,260,351
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 69","Komoka",35,1,7,55,69,2,169,236
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 70A","Delaware",42,3,6,113,69,0,233,366
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 70B","Mobile poll/Bureau itinérant",Merged with No. 73B/Fusionné avec le nº 73B,,,,,,,107
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 71","Delaware",62,0,23,149,102,0,336,442
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 72","Delaware",50,2,13,102,112,1,280,370
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 73A","Delaware",23,2,9,97,60,0,191,307
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 73B","Mobile poll/Bureau itinérant",9,2,5,38,54,3,111,110
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 74","Delaware",23,1,8,84,41,1,158,230
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 75","Strathroy",29,5,3,117,95,1,250,413
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 76","Strathroy",14,1,13,61,53,0,142,254
"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 77","Strathroy",24,2,5,68,55,2,156,246
