Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lou Grimshaw,Rob Hutchison,Peter Milliken,Don Rogers,Karl Eric Walker,Eric Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kingston and the Islands/Kingston et les Îles"," 1","Kingston",76,33,94,3,0,9,0,215,354
"Kingston and the Islands/Kingston et les Îles"," 2","Kingston",62,27,38,0,1,4,0,132,246
"Kingston and the Islands/Kingston et les Îles"," 3","Kingston",70,44,78,1,0,17,0,210,380
"Kingston and the Islands/Kingston et les Îles"," 4","Kingston",68,39,80,0,3,18,3,211,428
"Kingston and the Islands/Kingston et les Îles"," 5","Kingston",68,23,67,0,1,8,1,168,369
"Kingston and the Islands/Kingston et les Îles"," 6","Kingston",52,19,63,8,1,11,1,155,311
"Kingston and the Islands/Kingston et les Îles"," 7","Kingston",64,41,87,0,3,22,0,217,452
"Kingston and the Islands/Kingston et les Îles"," 8","Kingston",66,34,100,1,1,8,0,210,332
"Kingston and the Islands/Kingston et les Îles"," 9","Kingston",56,36,83,0,1,16,0,192,292
"Kingston and the Islands/Kingston et les Îles"," 10A","Kingston",62,48,93,1,2,17,0,223,354
"Kingston and the Islands/Kingston et les Îles"," 10B","Mobile poll/Bureau itinérant",29,6,24,0,0,2,1,62,76
"Kingston and the Islands/Kingston et les Îles"," 11","Kingston",66,35,87,1,1,13,0,203,315
"Kingston and the Islands/Kingston et les Îles"," 12","Kingston",79,36,110,2,3,15,1,246,421
"Kingston and the Islands/Kingston et les Îles"," 13","Kingston",67,37,68,0,1,14,0,187,367
"Kingston and the Islands/Kingston et les Îles"," 14","Kingston",52,16,59,1,0,5,2,135,260
"Kingston and the Islands/Kingston et les Îles"," 15","Kingston",40,33,43,2,0,7,0,125,274
"Kingston and the Islands/Kingston et les Îles"," 16","Kingston",93,23,83,0,1,9,0,209,407
"Kingston and the Islands/Kingston et les Îles"," 17","Kingston",64,38,76,1,0,10,1,190,378
"Kingston and the Islands/Kingston et les Îles"," 18A","Kingston",58,22,82,0,0,6,2,170,354
"Kingston and the Islands/Kingston et les Îles"," 18B","Kingston",40,17,69,1,0,6,1,134,266
"Kingston and the Islands/Kingston et les Îles"," 19A","Kingston",83,34,116,1,3,7,2,246,385
"Kingston and the Islands/Kingston et les Îles"," 19B","Kingston",55,25,100,1,0,14,0,195,323
"Kingston and the Islands/Kingston et les Îles"," 20","Kingston",93,44,99,2,0,9,1,248,455
"Kingston and the Islands/Kingston et les Îles"," 21","Kingston",61,49,124,0,0,16,1,251,391
"Kingston and the Islands/Kingston et les Îles"," 22A","Kingston",72,36,79,0,2,7,0,196,362
"Kingston and the Islands/Kingston et les Îles"," 22B","Kingston",70,38,93,1,3,7,0,212,361
"Kingston and the Islands/Kingston et les Îles"," 23","Kingston",69,50,128,2,1,12,0,262,414
"Kingston and the Islands/Kingston et les Îles"," 24A","Kingston",42,39,68,0,2,9,0,160,249
"Kingston and the Islands/Kingston et les Îles"," 24B","Kingston",35,31,59,0,0,3,0,128,235
"Kingston and the Islands/Kingston et les Îles"," 25","Kingston",75,63,103,0,1,11,1,254,468
"Kingston and the Islands/Kingston et les Îles"," 26A","Kingston",41,26,63,0,1,12,0,143,309
"Kingston and the Islands/Kingston et les Îles"," 26B","Kingston",29,30,71,0,0,11,0,141,272
"Kingston and the Islands/Kingston et les Îles"," 27A","Kingston",105,65,175,2,0,11,1,359,664
"Kingston and the Islands/Kingston et les Îles"," 27B","Kingston",30,15,52,1,0,4,2,104,217
"Kingston and the Islands/Kingston et les Îles"," 27C","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,18
"Kingston and the Islands/Kingston et les Îles"," 28","Kingston",82,47,120,2,0,12,1,264,451
"Kingston and the Islands/Kingston et les Îles"," 29","Kingston",78,41,113,1,2,17,1,253,453
"Kingston and the Islands/Kingston et les Îles"," 30","Kingston",78,29,117,1,1,21,1,248,415
