Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ken Dryden,Marco Iacampo,Constantine Kritsonis,Michael Mostyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"York Centre/York-Centre"," 1A","North York",32,31,3,35,1,102,221
"York Centre/York-Centre"," 1B","North York",82,23,10,26,1,142,257
"York Centre/York-Centre"," 2","North York",Void/Supprimé,,,,,,
"York Centre/York-Centre"," 3","North York",148,35,9,94,2,288,488
"York Centre/York-Centre"," 4","North York",138,35,13,46,0,232,380
"York Centre/York-Centre"," 5","North York",127,40,20,71,0,258,469
"York Centre/York-Centre"," 6","North York",113,23,12,59,0,207,370
"York Centre/York-Centre"," 7","North York",127,26,14,50,1,218,375
"York Centre/York-Centre"," 8","North York",100,34,4,67,1,206,376
"York Centre/York-Centre"," 9","North York",105,34,13,78,0,230,455
"York Centre/York-Centre"," 10","North York",74,23,7,53,0,157,294
"York Centre/York-Centre"," 11A","North York",57,11,1,55,4,128,211
"York Centre/York-Centre"," 11B","North York",38,10,6,30,3,87,162
"York Centre/York-Centre"," 12","North York",90,26,13,77,0,206,424
"York Centre/York-Centre"," 13","North York",44,8,0,14,0,66,155
"York Centre/York-Centre"," 14A","North York",54,11,6,57,1,129,321
"York Centre/York-Centre"," 14B","North York",32,9,7,36,0,84,158
"York Centre/York-Centre"," 15","North York",84,18,8,65,0,175,350
"York Centre/York-Centre"," 16","North York",121,15,9,80,2,227,436
"York Centre/York-Centre"," 17","North York",117,35,15,91,0,258,413
"York Centre/York-Centre"," 18","North York",122,26,7,57,1,213,362
"York Centre/York-Centre"," 19","North York",118,23,6,47,1,195,446
"York Centre/York-Centre"," 20","North York",100,23,11,62,2,198,480
"York Centre/York-Centre"," 21","North York",168,35,10,77,0,290,559
"York Centre/York-Centre"," 22","North York",130,17,7,77,0,231,406
"York Centre/York-Centre"," 23","North York",133,29,8,97,0,267,426
"York Centre/York-Centre"," 24","North York",93,28,6,61,0,188,352
"York Centre/York-Centre"," 25","North York",90,36,4,89,0,219,407
"York Centre/York-Centre"," 26A","North York",21,6,0,4,3,34,116
"York Centre/York-Centre"," 26B","North York",65,2,3,55,0,125,232
"York Centre/York-Centre"," 27","North York",81,16,1,52,1,151,310
"York Centre/York-Centre"," 28","North York",89,11,6,39,4,149,301
"York Centre/York-Centre"," 29","North York",67,5,7,158,23,260,374
"York Centre/York-Centre"," 30A","North York",25,7,1,14,0,47,132
"York Centre/York-Centre"," 30B","North York",132,19,5,77,1,234,361
"York Centre/York-Centre"," 31A","North York",27,11,5,38,0,81,157
"York Centre/York-Centre"," 31B","North York",71,13,1,33,2,120,189
"York Centre/York-Centre"," 32","North York",78,17,12,91,2,200,438
"York Centre/York-Centre"," 33","North York",51,25,12,89,2,179,305
"York Centre/York-Centre"," 34","North York",68,11,4,29,0,112,303
"York Centre/York-Centre"," 35","North York",75,17,13,122,1,228,483
"York Centre/York-Centre"," 36","North York",160,34,16,100,1,311,559
"York Centre/York-Centre"," 37","North York",99,17,12,107,1,236,460
"York Centre/York-Centre"," 38","North York",82,15,0,123,0,220,422
"York Centre/York-Centre"," 39","North York",134,29,18,126,4,311,535
"York Centre/York-Centre"," 40","North York",71,17,14,91,1,194,436
"York Centre/York-Centre"," 41A","North York",32,10,2,21,1,66,142
"York Centre/York-Centre"," 41B","North York",28,15,6,26,3,78,168
"York Centre/York-Centre"," 41C","North York",38,16,4,32,1,91,147
"York Centre/York-Centre"," 42","North York",59,25,10,59,0,153,264
"York Centre/York-Centre"," 43A","North York",20,5,0,29,0,54,102
"York Centre/York-Centre"," 43B","North York",46,9,0,21,0,76,139
"York Centre/York-Centre"," 43C","North York",19,15,5,32,1,72,131
"York Centre/York-Centre"," 44","North York",53,17,4,70,1,145,268
"York Centre/York-Centre"," 45","North York",152,17,10,116,0,295,508
"York Centre/York-Centre"," 46","North York",96,26,9,50,2,183,358
"York Centre/York-Centre"," 47","North York",78,12,5,62,0,157,223
"York Centre/York-Centre"," 48","North York",97,21,8,90,1,217,387
"York Centre/York-Centre"," 49A","North York",78,13,4,56,0,151,265
"York Centre/York-Centre"," 49B","North York",74,14,2,76,2,168,316
"York Centre/York-Centre"," 50A","North York",113,33,7,59,1,213,468
"York Centre/York-Centre"," 50B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,52
"York Centre/York-Centre"," 51","North York",144,15,9,105,3,276,545
"York Centre/York-Centre"," 52","North York",92,21,6,74,0,193,411
"York Centre/York-Centre"," 53","North York",118,28,10,97,2,255,488
"York Centre/York-Centre"," 54A","North York",65,16,6,41,0,128,280
"York Centre/York-Centre"," 54B","North York",43,15,5,31,0,94,177
"York Centre/York-Centre"," 55A","North York",16,10,1,15,0,42,162
"York Centre/York-Centre"," 55B","Mobile poll/Bureau itinérant",32,8,2,6,0,48,64
"York Centre/York-Centre"," 56A","North York",64,16,7,60,5,152,260
"York Centre/York-Centre"," 56B","Mobile poll/Bureau itinérant",Merged with No. 55B/Fusionné avec le nº 55B,,,,,,48
"York Centre/York-Centre"," 57","North York",Void/Supprimé,,,,,,
"York Centre/York-Centre"," 58A","North York",57,24,3,45,3,132,171
