Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Armand Caouette,Pierre M. Denis,Gilles Gagnon,Yvon Lévesque,Dominique Vaillancourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 37A","Mistissini",72,8,10,9,7,1,107,563
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 37B","Mistissini",99,10,14,23,6,3,155,642
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 37C","Mistissini",74,7,11,16,2,0,110,503
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 38","Chibougamau",9,4,25,84,4,0,126,234
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 39","Chibougamau",9,2,63,140,12,2,228,374
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 40","Chibougamau",13,9,42,119,9,3,195,339
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 41","Chibougamau",17,5,45,112,13,1,193,402
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 42","Chibougamau",7,2,20,92,0,1,122,307
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 43","Chibougamau",11,4,17,67,4,2,105,267
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 44","Chibougamau",15,3,30,71,4,5,128,308
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 45","Chibougamau",11,6,37,84,10,4,152,291
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 46","Chibougamau",6,4,28,90,6,3,137,321
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 47","Chibougamau",25,9,53,121,11,4,223,413
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 48","Chibougamau",20,4,57,122,10,4,217,377
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 49","Chibougamau",8,3,29,80,5,2,127,231
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 50","Chibougamau",12,2,33,141,9,4,201,388
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 51","Chibougamau",12,9,44,141,9,1,216,425
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 52","Chibougamau",13,5,62,122,19,3,224,406
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 53A","Chibougamau",11,8,43,118,15,2,197,356
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 53B","Chibougamau",10,1,57,109,9,2,188,372
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 54","Chibougamau",53,5,10,14,8,0,90,337
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 55","Chapais",7,4,49,87,13,5,165,300
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 56","Chapais",9,1,24,65,5,0,104,213
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 57","Chapais",6,2,31,76,7,3,125,246
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 58","Chapais",20,2,28,94,7,1,152,282
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 59","Chapais",9,2,22,65,5,3,106,242
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 60","Desmaraisville",1,0,0,6,0,0,7,16
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 61","Waswanipi",272,17,34,25,21,0,369,860
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 62","Miquelon",0,0,1,5,0,0,6,6
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 63","Lebel-sur-Quévillon",22,6,56,188,8,4,284,486
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 64","Lebel-sur-Quévillon",15,5,37,133,7,2,199,377
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 65","Lebel-sur-Quévillon",13,4,25,104,8,1,155,285
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 66","Lebel-sur-Quévillon",6,3,33,143,8,4,197,348
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 67","Lebel-sur-Quévillon",14,3,29,114,8,1,169,298
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 68","Lebel-sur-Quévillon",7,4,19,143,6,1,180,341
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 69","Senneterre",37,9,67,94,9,4,220,436
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 70","Belcourt",11,5,27,75,1,3,122,199
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 71","Senneterre",33,5,59,102,15,4,218,400
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 72","Senneterre",31,4,71,66,11,3,186,347
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 73","Senneterre",29,12,85,103,17,3,249,519
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 74","Senneterre",33,4,35,87,10,4,173,308
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 75","Senneterre",26,3,44,74,13,5,165,395
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 76","Senneterre",28,4,51,64,13,1,161,344
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 77","Senneterre",14,1,30,35,8,1,89,184
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 78","Senneterre",10,4,16,58,8,1,97,240
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 79A","Kitcisakik",29,0,0,10,0,0,39,71
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 79B","Kitcisakik",24,1,23,28,6,0,82,177
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 80","Lac-Simon",128,2,5,9,1,3,148,645
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 81","Vassan",28,11,58,160,32,5,294,531
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 82","Vassan",4,7,30,51,6,3,101,193
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 83","Sullivan",33,11,77,149,27,6,303,546
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 84","Sullivan",42,11,76,196,16,6,347,644
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 85","Sullivan",47,17,67,184,31,8,354,615
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 86","Sullivan",10,5,19,65,2,3,104,194
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 87","Val-d'Or",18,5,30,76,9,4,142,301
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 88","Val-d'Or",25,5,72,115,9,5,231,440
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 89","Val-d'Or",40,10,90,189,14,4,347,583
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 90","Val-d'Or",25,8,53,109,7,6,208,469
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 91","Val-Senneville",18,8,48,87,12,4,177,398
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 92","Val-Senneville",15,3,34,104,13,5,174,349
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 93","Val-Senneville",39,18,50,171,23,2,303,573
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 94","Val-d'Or",42,13,40,124,23,10,252,475
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 95","Val-d'Or",23,7,46,83,7,2,168,412
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 96","Val-d'Or",37,11,39,87,16,3,193,418
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 97","Val-d'Or",32,11,29,90,20,9,191,379
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 98","Val-d'Or",20,9,36,79,7,1,152,359
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 99","Val-d'Or",37,12,46,112,16,7,230,483
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 100","Val-d'Or",24,1,31,64,5,0,125,375
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 101","Val-d'Or",27,6,19,63,5,2,122,330
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 102","Val-d'Or",28,5,27,75,2,3,140,341
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 103","Val-d'Or",34,6,37,106,5,6,194,417
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 104","Val-d'Or",25,3,44,86,10,3,171,337
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 105","Val-d'Or",26,5,34,83,10,7,165,352
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 106","Val-d'Or",48,10,59,110,15,6,248,426
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 107","Val-d'Or",41,4,47,91,19,8,210,357
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 108","Val-d'Or",28,8,27,84,8,2,157,309
