Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Allan H. Bezanson,Alexis MacDonald,Peter G. MacKay,David Orton,Dan Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Central Nova/Nova-Centre"," 50","Westville",1,63,60,4,47,0,175,276
"Central Nova/Nova-Centre"," 51","Westville",2,52,52,4,41,0,151,259
"Central Nova/Nova-Centre"," 52","Westville",1,57,62,1,41,1,163,283
"Central Nova/Nova-Centre"," 53","Westville",1,53,47,0,47,2,150,247
"Central Nova/Nova-Centre"," 54","Westville",0,78,60,4,42,1,185,298
"Central Nova/Nova-Centre"," 55","Westville",1,83,64,4,50,0,202,331
"Central Nova/Nova-Centre"," 56","Westville",0,89,84,3,33,0,209,343
"Central Nova/Nova-Centre"," 57","Stellarton",0,58,84,7,42,0,191,374
"Central Nova/Nova-Centre"," 58","Stellarton",2,76,70,2,30,0,180,333
"Central Nova/Nova-Centre"," 59","Stellarton",0,56,46,3,34,0,139,250
"Central Nova/Nova-Centre"," 60","Stellarton",1,62,69,0,41,0,173,302
"Central Nova/Nova-Centre"," 61","Stellarton",0,77,69,3,42,0,191,374
"Central Nova/Nova-Centre"," 62","Stellarton",0,54,82,4,33,0,173,335
"Central Nova/Nova-Centre"," 63","Stellarton",0,45,76,2,41,3,167,279
"Central Nova/Nova-Centre"," 64","Stellarton",0,60,83,1,45,1,190,329
"Central Nova/Nova-Centre"," 65","Stellarton",0,49,77,2,37,0,165,272
"Central Nova/Nova-Centre"," 66","Stellarton",0,53,124,1,54,0,232,378
"Central Nova/Nova-Centre"," 67A","Stellarton",0,58,92,5,25,1,181,369
"Central Nova/Nova-Centre"," 67B","Stellarton",0,43,84,5,42,0,174,388
"Central Nova/Nova-Centre"," 68","New Glasgow",0,61,136,2,76,0,275,423
"Central Nova/Nova-Centre"," 69A","New Glasgow",0,32,76,2,40,0,150,246
"Central Nova/Nova-Centre"," 69B","New Glasgow",0,30,88,0,37,0,155,238
"Central Nova/Nova-Centre"," 70","New Glasgow",1,47,135,0,45,1,229,416
"Central Nova/Nova-Centre"," 71","New Glasgow",1,58,107,0,52,1,219,397
"Central Nova/Nova-Centre"," 72","New Glasgow",2,66,98,2,43,0,211,378
"Central Nova/Nova-Centre"," 73","New Glasgow",0,47,79,6,37,1,170,368
"Central Nova/Nova-Centre"," 74","New Glasgow",0,73,90,3,59,2,227,433
"Central Nova/Nova-Centre"," 75","New Glasgow",1,74,92,6,25,0,198,401
"Central Nova/Nova-Centre"," 76","New Glasgow",0,49,85,6,46,0,186,367
"Central Nova/Nova-Centre"," 77","New Glasgow",0,49,96,2,51,0,198,348
"Central Nova/Nova-Centre"," 78","New Glasgow",0,66,79,3,62,1,211,340
"Central Nova/Nova-Centre"," 79","New Glasgow",0,82,119,2,100,0,303,467
"Central Nova/Nova-Centre"," 80","New Glasgow",1,65,75,4,47,2,194,392
"Central Nova/Nova-Centre"," 81","New Glasgow",3,88,112,4,82,1,290,473
"Central Nova/Nova-Centre"," 82","New Glasgow",0,40,77,5,38,0,160,374
"Central Nova/Nova-Centre"," 83","New Glasgow",2,58,61,1,40,1,163,341
"Central Nova/Nova-Centre"," 84A","New Glasgow",0,28,51,1,24,0,104,236
"Central Nova/Nova-Centre"," 84B","New Glasgow",0,32,64,5,27,0,128,255
"Central Nova/Nova-Centre"," 85","New Glasgow",1,50,77,2,46,0,176,334
"Central Nova/Nova-Centre"," 86","New Glasgow",0,48,61,1,23,0,133,240
"Central Nova/Nova-Centre"," 86-1","New Glasgow",1,28,72,1,40,8,150,208
"Central Nova/Nova-Centre"," 87","New Glasgow",0,55,88,3,59,0,205,390
"Central Nova/Nova-Centre"," 88","Little Harbour",0,84,157,5,77,0,323,496
"Central Nova/Nova-Centre"," 89","Greens Point",0,74,80,9,53,0,216,411
"Central Nova/Nova-Centre"," 90","Little Harbour",0,72,100,0,34,0,206,284
"Central Nova/Nova-Centre"," 91","Linacy",0,57,98,1,55,0,211,350
"Central Nova/Nova-Centre"," 92","Linacy",0,59,100,1,55,2,217,368
"Central Nova/Nova-Centre"," 93","Coalburn",0,24,26,1,16,0,67,141
"Central Nova/Nova-Centre"," 94","Plymouth Park",0,68,113,2,64,0,247,365
"Central Nova/Nova-Centre"," 95","Mountville",1,97,94,4,59,0,255,421
"Central Nova/Nova-Centre"," 96","Churchville",1,45,99,1,36,0,182,252
"Central Nova/Nova-Centre"," 97","Bridgeville",0,69,87,1,44,0,201,335
"Central Nova/Nova-Centre"," 98","Sunnybrae",0,43,41,0,25,0,109,186
"Central Nova/Nova-Centre"," 99","Bailey Brook",0,75,103,4,109,2,293,407
"Central Nova/Nova-Centre"," 100","Merigomish",0,76,87,6,98,2,269,461
"Central Nova/Nova-Centre"," 101","Avondale",0,60,59,3,40,2,164,271
"Central Nova/Nova-Centre"," 102","Pine Tree",0,34,77,2,37,0,150,213
"Central Nova/Nova-Centre"," 103","Thorburn",1,39,67,0,37,0,144,262
"Central Nova/Nova-Centre"," 104","French River",1,43,63,1,15,0,123,216
"Central Nova/Nova-Centre"," 105A","Thorburn",0,39,53,0,35,0,127,210
"Central Nova/Nova-Centre"," 105B","Thorburn",1,59,80,2,43,0,185,280
"Central Nova/Nova-Centre"," 106","McLellan Brook",0,71,110,3,55,0,239,351
"Central Nova/Nova-Centre"," 107","McLellan Mountain",2,80,96,4,65,0,247,371
"Central Nova/Nova-Centre"," 108","Blue Mountain",0,31,29,3,22,0,85,163
"Central Nova/Nova-Centre"," 109","Garden of Eden",0,15,26,1,24,0,66,80
"Central Nova/Nova-Centre"," 109-1","Greens Brook",1,19,29,0,6,0,55,66
"Central Nova/Nova-Centre"," 110","Cape George",1,39,80,7,45,0,172,201
"Central Nova/Nova-Centre"," 111","Morristown",1,95,131,5,58,0,290,456
"Central Nova/Nova-Centre"," 112","Arisaig",0,37,57,4,34,1,133,172
"Central Nova/Nova-Centre"," 113","Maryvale",2,64,91,4,56,1,218,307
"Central Nova/Nova-Centre"," 114A","Maryvale",0,39,46,0,31,0,116,227
"Central Nova/Nova-Centre"," 114B","Maryvale",1,62,75,2,39,0,179,296
"Central Nova/Nova-Centre"," 115","Cloverville",1,139,123,8,51,0,322,455
"Central Nova/Nova-Centre"," 116A","James River",1,139,90,10,80,1,321,329
"Central Nova/Nova-Centre"," 116B","James River",0,122,100,8,87,0,317,346
"Central Nova/Nova-Centre"," 117","James River",0,156,143,22,83,3,407,448
"Central Nova/Nova-Centre"," 118","James River",0,89,92,1,54,1,237,355
"Central Nova/Nova-Centre"," 119","West River",3,92,104,5,86,0,290,435
"Central Nova/Nova-Centre"," 120","Pitchers Farm",0,48,40,0,38,0,126,233
"Central Nova/Nova-Centre"," 121A","Williams Point",0,78,68,2,63,4,215,309
"Central Nova/Nova-Centre"," 121B","Williams Point",1,85,74,4,44,0,208,360
"Central Nova/Nova-Centre"," 122","West River",1,112,85,7,55,2,262,459
"Central Nova/Nova-Centre"," 123","St. Andrews",1,93,94,3,61,0,252,317
"Central Nova/Nova-Centre"," 124","St. Joseph",0,47,59,0,21,0,127,236
"Central Nova/Nova-Centre"," 125","Lochaber",1,72,76,6,27,0,182,255
"Central Nova/Nova-Centre"," 126A","Pomquet",1,74,98,4,70,1,248,567
"Central Nova/Nova-Centre"," 126B","Pomquet",1,57,58,1,38,1,156,418
"Central Nova/Nova-Centre"," 127","Pomquet",3,43,60,0,25,1,132,185
"Central Nova/Nova-Centre"," 128","Pomquet",2,86,93,2,77,1,261,367
"Central Nova/Nova-Centre"," 129","Heatherton",0,39,104,0,43,0,186,280
"Central Nova/Nova-Centre"," 130","St. Andrews",0,141,137,4,49,1,332,497
"Central Nova/Nova-Centre"," 131","St. Andrews",0,20,29,0,19,0,68,106
"Central Nova/Nova-Centre"," 132A","Antigonish",0,56,42,3,35,0,136,264
"Central Nova/Nova-Centre"," 132B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,119
"Central Nova/Nova-Centre"," 133","Antigonish",0,122,92,3,60,1,278,493
"Central Nova/Nova-Centre"," 134","Antigonish",0,56,51,5,38,0,150,321
"Central Nova/Nova-Centre"," 135","Antigonish",0,95,58,2,57,0,212,460
"Central Nova/Nova-Centre"," 136","Antigonish",1,68,47,4,40,0,160,288
"Central Nova/Nova-Centre"," 137","St. Andrews",0,130,71,8,70,0,279,431
"Central Nova/Nova-Centre"," 138","Antigonish",0,79,64,5,36,2,186,330
"Central Nova/Nova-Centre"," 139","Antigonish",0,75,80,4,43,3,205,345
"Central Nova/Nova-Centre"," 140A","Antigonish",1,46,44,1,32,1,125,246
"Central Nova/Nova-Centre"," 140B","Antigonish",0,63,63,2,54,0,182,316
"Central Nova/Nova-Centre"," 141","Antigonish",1,111,77,1,47,1,238,471
"Central Nova/Nova-Centre"," 142","Antigonish",0,110,45,7,64,0,226,555
"Central Nova/Nova-Centre"," 143","Antigonish",3,232,128,13,139,2,517,529
"Central Nova/Nova-Centre"," 144","Havre Boucher",0,44,68,0,48,1,161,282
"Central Nova/Nova-Centre"," 145","Havre Boucher",1,54,85,2,80,4,226,401
"Central Nova/Nova-Centre"," 146","Havre Boucher",1,39,72,0,58,0,170,233
"Central Nova/Nova-Centre"," 147","Havre Boucher",1,52,83,2,74,2,214,333
"Central Nova/Nova-Centre"," 148","Monastery",1,28,66,2,30,0,127,234
"Central Nova/Nova-Centre"," 149A","Tracadie",0,35,103,2,56,0,196,277
"Central Nova/Nova-Centre"," 149B","Tracadie",2,37,58,1,48,0,146,197
"Central Nova/Nova-Centre"," 150","Tracadie",2,41,112,1,55,1,212,385
"Central Nova/Nova-Centre"," 151","Pomquet and Afton 23",0,30,8,0,40,0,78,138
"Central Nova/Nova-Centre"," 152","Heatherton",2,76,104,3,73,0,258,423
"Central Nova/Nova-Centre"," 153","Caledonia",1,18,16,1,1,0,37,38
"Central Nova/Nova-Centre"," 154","Aspen",1,46,78,12,62,0,199,313
"Central Nova/Nova-Centre"," 155","Goshen",1,51,139,1,29,0,221,328
"Central Nova/Nova-Centre"," 156","Ecum Secum",1,58,55,3,33,0,150,265
"Central Nova/Nova-Centre"," 157","Liscomb",0,40,54,1,43,0,138,217
"Central Nova/Nova-Centre"," 158","Sherbrooke",2,74,94,1,53,1,225,333
"Central Nova/Nova-Centre"," 159A","Sherbrooke",0,25,56,2,13,0,96,138
"Central Nova/Nova-Centre"," 159B","Sherbrooke",0,52,80,2,15,0,149,182
"Central Nova/Nova-Centre"," 160","Port Bickerton",4,49,87,1,31,1,173,272
"Central Nova/Nova-Centre"," 161","Necum Teuch",0,45,47,1,34,1,128,201
"Central Nova/Nova-Centre"," 162","Moser River",1,43,65,1,31,0,141,230
"Central Nova/Nova-Centre"," 163","Port Dufferin--Beaver Harbour--West Quoddy",0,44,66,4,33,1,148,236
"Central Nova/Nova-Centre"," 164","Sheet Harbour",1,69,112,1,62,2,247,457
"Central Nova/Nova-Centre"," 165","Sheet Harbour",0,53,88,7,61,0,209,403
"Central Nova/Nova-Centre"," 166","Sheet Harbour",2,51,39,3,46,1,142,230
"Central Nova/Nova-Centre"," 167","Spry Harbour",1,12,19,1,23,0,56,97
"Central Nova/Nova-Centre"," 167-1","Mushaboom",0,15,19,1,19,0,54,128
"Central Nova/Nova-Centre"," 168","Mooseland",0,23,10,4,0,0,37,50
"Central Nova/Nova-Centre"," 169","Tangier--Spry Harbour",3,52,74,3,44,2,178,306
"Central Nova/Nova-Centre"," 170","East Ship Harbour--Pleasant Harbour",0,53,49,0,47,1,150,236
"Central Nova/Nova-Centre"," 171","Lake Charlotte",0,42,34,1,31,0,108,286
"Central Nova/Nova-Centre"," 172","Ship Harbour",2,57,62,2,68,0,191,285
"Central Nova/Nova-Centre"," 173","Clam Harbour",0,53,56,2,26,0,137,239
"Central Nova/Nova-Centre"," 174","East Jeddore",1,84,123,5,66,2,281,397
"Central Nova/Nova-Centre"," 500","Mobile poll/Bureau itinérant",0,27,46,1,23,1,98,175
"Central Nova/Nova-Centre"," 501","Mobile poll/Bureau itinérant",2,11,20,0,17,1,51,59
"Central Nova/Nova-Centre"," 502","Mobile poll/Bureau itinérant",7,10,24,1,22,1,65,225
"Central Nova/Nova-Centre"," 503","Mobile poll/Bureau itinérant",2,41,45,1,80,1,170,153
"Central Nova/Nova-Centre"," 504","Mobile poll/Bureau itinérant",0,3,15,1,18,1,38,57
"Central Nova/Nova-Centre"," 600","River John",0,39,66,1,34,1,141,
"Central Nova/Nova-Centre"," 601","Pictou",0,135,201,12,113,4,465,
"Central Nova/Nova-Centre"," 602","Trenton",0,49,110,4,64,0,227,
"Central Nova/Nova-Centre"," 603","Westville",0,94,116,4,70,1,285,
"Central Nova/Nova-Centre"," 604","Stellarton--Plymouth",0,39,143,1,33,3,219,
"Central Nova/Nova-Centre"," 605","New Glasgow",1,115,300,6,142,1,565,
"Central Nova/Nova-Centre"," 606","Stellarton--Plymouth",0,54,167,4,82,0,307,
"Central Nova/Nova-Centre"," 607","Thorburn",0,48,129,2,73,0,252,
"Central Nova/Nova-Centre"," 608","Beech Hill",3,215,325,4,223,2,772,
"Central Nova/Nova-Centre"," 609","Antigonish",0,215,220,7,165,0,607,
"Central Nova/Nova-Centre"," 610","Tracadie",1,27,71,3,59,0,161,
"Central Nova/Nova-Centre"," 611","Sherbrooke",0,23,46,2,30,0,101,
"Central Nova/Nova-Centre"," 612","Sheet Harbour",1,45,88,2,81,1,218,
"Central Nova/Nova-Centre"," 613","East Ship Harbour",0,38,41,1,26,0,106,
"Central Nova/Nova-Centre",,Group 1/Groupe 1,1,27,91,7,32,3,161,361
"Central Nova/Nova-Centre",,Group 2/Groupe 2,0,211,416,14,262,8,911,
