Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew J. Chisholm,David Lobie Daughton,Tom DeBlois,Baird Judson,Shawn Murphy,Brian Pollard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Charlottetown/Charlottetown"," 1A","Charlottetown",1,3,57,2,72,16,0,151,264
"Charlottetown/Charlottetown"," 1B","Charlottetown",2,4,71,0,81,21,0,179,284
"Charlottetown/Charlottetown"," 2","Charlottetown",1,10,92,0,124,23,0,250,398
"Charlottetown/Charlottetown"," 3","Charlottetown",1,6,114,4,109,14,1,249,417
"Charlottetown/Charlottetown"," 4A","Charlottetown",1,3,63,0,97,13,1,178,327
"Charlottetown/Charlottetown"," 4B","Charlottetown",0,2,86,0,97,23,2,210,362
"Charlottetown/Charlottetown"," 5","Charlottetown",4,6,89,1,105,18,0,223,380
"Charlottetown/Charlottetown"," 6","Charlottetown",2,6,75,0,110,19,6,218,400
"Charlottetown/Charlottetown"," 7A","Charlottetown",1,3,34,0,63,19,1,121,249
"Charlottetown/Charlottetown"," 7B","Charlottetown",1,6,26,0,58,13,1,105,244
"Charlottetown/Charlottetown"," 8","Charlottetown",0,3,35,2,65,15,1,121,248
"Charlottetown/Charlottetown"," 9","Charlottetown",4,1,45,1,78,14,1,144,237
"Charlottetown/Charlottetown"," 10","Charlottetown",0,4,60,1,96,8,0,169,312
"Charlottetown/Charlottetown"," 11","Charlottetown",2,8,34,0,98,24,0,166,373
"Charlottetown/Charlottetown"," 12","Charlottetown",3,5,62,0,85,34,2,191,345
"Charlottetown/Charlottetown"," 13","Charlottetown",1,4,50,1,82,19,0,157,258
"Charlottetown/Charlottetown"," 14","Charlottetown",5,7,47,0,68,19,1,147,274
"Charlottetown/Charlottetown"," 15","Charlottetown",3,0,50,0,110,12,1,176,297
"Charlottetown/Charlottetown"," 16","Charlottetown",1,6,39,1,62,11,0,120,217
"Charlottetown/Charlottetown"," 17","Charlottetown",1,4,51,0,81,20,2,159,284
"Charlottetown/Charlottetown"," 18","Charlottetown",1,6,89,1,117,11,4,229,331
"Charlottetown/Charlottetown"," 19","Charlottetown",0,6,83,2,101,33,1,226,379
"Charlottetown/Charlottetown"," 20","Charlottetown",5,12,93,2,162,19,2,295,465
"Charlottetown/Charlottetown"," 21","Charlottetown",0,3,41,0,74,7,0,125,243
"Charlottetown/Charlottetown"," 22","Charlottetown",2,2,55,0,85,24,0,168,248
