Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bernard Cleary,Robert Donnelly,Lucien Gravelle,Isa Gros-Louis,Christian Légaré,Josée Verner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 1","Québec",58,10,7,2,6,72,3,158,289
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 2","Québec",58,12,7,13,4,136,1,231,390
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 3","Québec",16,3,3,7,2,75,2,108,195
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 4","Québec",50,19,8,8,3,107,2,197,377
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 5","Québec",81,14,10,23,7,172,4,311,600
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 5-1A","Québec",72,13,2,11,2,128,0,228,409
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 5-1B","Québec",38,6,2,4,2,60,1,113,205
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 6A","Québec",50,3,5,7,2,100,5,172,312
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 6B","Québec",43,10,9,11,1,94,1,169,321
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 7A","Québec",53,8,3,8,5,111,0,188,367
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 7B","Québec",43,9,5,16,9,111,2,195,340
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 7-1","Québec",32,7,3,7,2,99,0,150,291
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 8","Québec",47,14,9,10,10,106,4,200,412
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 9","Québec",60,10,9,8,9,114,2,212,347
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 10","Québec",70,19,6,15,10,120,2,242,428
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 11","Québec",58,16,11,15,3,140,0,243,406
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 12","Québec",48,23,8,8,11,130,2,230,377
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 13","Québec",46,19,8,10,7,117,1,208,439
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 14","Québec",64,6,6,9,4,131,0,220,430
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 15","Québec",27,7,6,6,2,50,0,98,202
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 16","Québec",88,20,9,16,6,131,1,271,595
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 17","Québec",72,11,6,19,1,230,2,341,573
"Louis-Saint-Laurent/Louis-Saint-Laurent"," 18","Québec",88,17,8,8,4,176,1,302,521
